@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-2

@attribute Tipster {'Jorge Aragundy','Anton Ebdon','Daniel Larsen','Simeone Tassini','Chris Tomas','Christopher Silenos','Jeremy Price','Gabriel Elias','Jason Mills','Darijo Belic','Eduardo Borrero','Silvio Bonatti','Robert Volkan','Achille Piecheur','Ivan Kacic','Amar Sidran','Radek Kovar','Neil Baxter','Burke Ziobro','Sony Luiz','Hubert Tisci',Bettingspaintips,'Charlie Bryson','Eli Pickard','Rosario Barone',Knipser,'Aurelien Delon','Francesco Alinari','Frankie Geary','Owen Garth','Blake Foss','Rufus Rasco'}
@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric
@attribute Take numeric

@data
'Jorge Aragundy','MATCH ODDS',2.3,1751.456954,80
'Jorge Aragundy','OVER / UNDER',2.95,1794.466766,80
'Jorge Aragundy','MATCH ODDS',3.2,1715.279787,60
'Jorge Aragundy','MATCH ODDS',1.8,1770.787666,80
'Jorge Aragundy','ASIAN HANDICAP',2.78,2016.54531,80
'Jorge Aragundy','ASIAN HANDICAP',3.09,1383.18324,80
'Jorge Aragundy','MATCH ODDS',2.1,1770.462993,80
'Jorge Aragundy','MATCH ODDS',1.8,1398.082164,80
'Jorge Aragundy','MATCH ODDS',2.2,1755.94202,80
'Jorge Aragundy','MATCH ODDS',2.25,1753.609423,80
'Jorge Aragundy','ASIAN HANDICAP',2.77,1492.774587,100
'Jorge Aragundy','MATCH ODDS',2.1,1340.078869,60
'Jorge Aragundy','OVER / UNDER',2.9,1783.644318,80
'Jorge Aragundy','ASIAN HANDICAP',3,1958.164703,60
'Jorge Aragundy','ASIAN HANDICAP',3.63,1933.334014,60
'Jorge Aragundy','OVER / UNDER',3.08,1767.757253,60
'Jorge Aragundy','ASIAN HANDICAP',3.38,1942.866676,80
'Jorge Aragundy','OVER / UNDER',2.88,1783.805504,80
'Jorge Aragundy','OVER / UNDER',2.89,1633.874969,80
'Jorge Aragundy','ASIAN HANDICAP',2.74,1359.773484,80
'Jorge Aragundy','ASIAN HANDICAP',3.02,1383.18324,80
'Jorge Aragundy','OVER / UNDER',2.9,1794.382289,80
'Jorge Aragundy','ASIAN HANDICAP',3.11,2001.777957,80
'Jorge Aragundy','ASIAN HANDICAP',3.08,1959.592861,80
'Jorge Aragundy','ASIAN HANDICAP',2.73,1929.371535,100
'Jorge Aragundy','MATCH ODDS',1.91,1461.402604,80
'Jorge Aragundy','OVER / UNDER',3.05,1768.160699,80
'Jorge Aragundy','MATCH ODDS',2,1768.300972,80
'Jorge Aragundy','OVER / UNDER',2.85,1794.001959,80
'Jorge Aragundy','OVER / UNDER',2.68,1633.874969,80
'Jorge Aragundy','ASIAN HANDICAP',2.87,1451.624936,100
'Jorge Aragundy','ASIAN HANDICAP',3.08,2075.109606,80
'Jorge Aragundy','ASIAN HANDICAP',3.14,1383.18324,80
'Jorge Aragundy','OVER / UNDER',2.95,1783.778572,80
'Jorge Aragundy','ASIAN HANDICAP',2.67,1921.346294,100
'Jorge Aragundy','ASIAN HANDICAP',2.82,1962.413979,100
'Jorge Aragundy','OVER / UNDER',3.07,1638.571429,100
'Jorge Aragundy','OVER / UNDER',3,1638.571429,80
'Jorge Aragundy','ASIAN HANDICAP',3.11,1625.076007,100
'Jorge Aragundy','ASIAN HANDICAP',3.02,2003.804108,80
'Jorge Aragundy','ASIAN HANDICAP',2.8,1994.606529,80
'Jorge Aragundy','MATCH ODDS',1.91,1398.082164,80
'Jorge Aragundy','OVER / UNDER',2.83,1632.933201,80
'Jorge Aragundy','OVER / UNDER',2.91,1783.621296,80
'Jorge Aragundy','MATCH ODDS',2.1,1455.581857,80
'Jorge Aragundy','ASIAN HANDICAP',2.83,1448.622988,100
'Jorge Aragundy','OVER / UNDER',3.05,1567.55431,100
'Jorge Aragundy','ASIAN HANDICAP',2.85,2076.701117,100
'Jorge Aragundy','ASIAN HANDICAP',2.91,1961.346261,80
'Jorge Aragundy','OVER / UNDER',2.91,1783.621296,80
'Jorge Aragundy','ASIAN HANDICAP',3,1625.076007,80
'Jorge Aragundy','ASIAN HANDICAP',3.19,1383.18324,100
'Jorge Aragundy','ASIAN HANDICAP',3.07,1944.419474,80
'Jorge Aragundy','ASIAN HANDICAP',2.97,1492.774587,80
'Jorge Aragundy','ASIAN HANDICAP',3.12,1364.713092,80
'Jorge Aragundy','OVER / UNDER',3.17,1638.571429,80
'Jorge Aragundy','OVER / UNDER',2.91,1794.359267,80
'Jorge Aragundy','OVER / UNDER',2.88,1783.805504,80
'Jorge Aragundy','ASIAN HANDICAP',3,1973.696175,80
'Jorge Aragundy','ASIAN HANDICAP',2.89,1475.024784,100
'Jorge Aragundy','MATCH ODDS',2,1455.581857,80
'Jorge Aragundy','ASIAN HANDICAP',2.96,1492.774587,100
'Jorge Aragundy','ASIAN HANDICAP',2.9,2050.665302,100
'Jorge Aragundy','OVER / UNDER',2.92,1755.120945,100
'Jorge Aragundy','OVER / UNDER',2.87,1632.933201,60
'Jorge Aragundy','ASIAN HANDICAP',2.97,1359.773484,80
'Jorge Aragundy','OVER / UNDER',3,1788.733225,80
