@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'MATCH ODDS',2.3,1751.456954
'OVER / UNDER',1.95,1794.466766
'MATCH ODDS',3.2,1715.279787
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',1.78,2016.54531
'ASIAN HANDICAP',2.09,1383.18324
'MATCH ODDS',2.1,1770.462993
'MATCH ODDS',1.8,1398.082164
'MATCH ODDS',2.2,1755.94202
'MATCH ODDS',2.25,1753.609423
'ASIAN HANDICAP',1.77,1492.774587
'MATCH ODDS',2.1,1340.078869
'OVER / UNDER',1.9,1783.644318
'ASIAN HANDICAP',2,1958.164703
'ASIAN HANDICAP',2.63,1933.334014
'OVER / UNDER',2.08,1767.757253
'ASIAN HANDICAP',2.38,1942.866676
'OVER / UNDER',1.88,1783.805504
'OVER / UNDER',1.89,1633.874969
'ASIAN HANDICAP',1.74,1359.773484
'ASIAN HANDICAP',2.02,1383.18324
'OVER / UNDER',1.9,1794.382289
'ASIAN HANDICAP',2.11,2001.777957
'ASIAN HANDICAP',2.08,1959.592861
'ASIAN HANDICAP',1.73,1929.371535
'MATCH ODDS',1.91,1461.402604
'OVER / UNDER',2.05,1768.160699
'MATCH ODDS',2,1768.300972
'OVER / UNDER',1.85,1794.001959
'OVER / UNDER',1.68,1633.874969
'ASIAN HANDICAP',1.87,1451.624936
'ASIAN HANDICAP',2.08,2075.109606
'ASIAN HANDICAP',2.14,1383.18324
'OVER / UNDER',1.95,1783.778572
'ASIAN HANDICAP',1.67,1921.346294
'ASIAN HANDICAP',1.82,1962.413979
'OVER / UNDER',2.07,1638.571429
'OVER / UNDER',2,1638.571429
'ASIAN HANDICAP',2.11,1625.076007
'ASIAN HANDICAP',2.02,2003.804108
'ASIAN HANDICAP',1.8,1994.606529
'MATCH ODDS',1.91,1398.082164
'OVER / UNDER',1.83,1632.933201
'OVER / UNDER',1.91,1783.621296
'MATCH ODDS',2.1,1455.581857
'ASIAN HANDICAP',1.83,1448.622988
'OVER / UNDER',2.05,1567.55431
'ASIAN HANDICAP',1.85,2076.701117
'ASIAN HANDICAP',1.91,1961.346261
'OVER / UNDER',1.91,1783.621296
'ASIAN HANDICAP',2,1625.076007
'ASIAN HANDICAP',2.19,1383.18324
'ASIAN HANDICAP',2.07,1944.419474
'ASIAN HANDICAP',1.97,1492.774587
'ASIAN HANDICAP',2.12,1364.713092
'OVER / UNDER',2.17,1638.571429
'OVER / UNDER',1.91,1794.359267
'OVER / UNDER',1.88,1783.805504
'ASIAN HANDICAP',2,1973.696175
'ASIAN HANDICAP',1.89,1475.024784
'MATCH ODDS',2,1455.581857
'ASIAN HANDICAP',1.96,1492.774587
'ASIAN HANDICAP',1.9,2050.665302
'OVER / UNDER',1.92,1755.120945
'OVER / UNDER',1.87,1632.933201
'ASIAN HANDICAP',1.97,1359.773484
'OVER / UNDER',2,1788.733225
'OVER / UNDER',1.97,1771.858218
'ASIAN HANDICAP',1.97,1947.830462
'OVER / UNDER',1.82,1783.442384
'MATCH ODDS',1.97,1461.402604
'MATCH ODDS',2.1,1770.462993
'MATCH ODDS',1.75,1768.998886
'OVER / UNDER',1.95,1772.067482
'OVER / UNDER',1.88,1624.656309
'ASIAN HANDICAP',1.83,1992.595293
'ASIAN HANDICAP',1.8,1359.773484
'OVER / UNDER',1.94,1632.933201
'OVER / UNDER',2.06,749.056645
'ASIAN HANDICAP',1.88,749.056645
'ASIAN HANDICAP',1.95,1359.773484
'OVER / UNDER',1.73,1789.90293
'OVER / UNDER',1.91,1629.548704
'OVER / UNDER',2.05,1567.55431
'OVER / UNDER',2,1567.55431
'ASIAN HANDICAP',1.98,1451.624936
'OVER / UNDER',2.35,1748.267019
'MATCH ODDS',2.11,1340.078869
'ASIAN HANDICAP',2.12,2002.939065
'MATCH ODDS',1.84,749.056645
'OVER / UNDER',2.02,1750.152638
'ASIAN HANDICAP',2.03,2001.504447
'ASIAN HANDICAP',2.26,1981.773186
'OVER / UNDER',1.87,1765.67366
'ASIAN HANDICAP',1.92,2050.476722
'OVER / UNDER',1.92,1794.191792
'MATCH ODDS',2.38,1751.695256
'OVER / UNDER',1.97,1771.858218
'ASIAN HANDICAP',2.11,1943.26468
'ASIAN HANDICAP',2.19,1982.045027
'ASIAN HANDICAP',1.96,2001.44713
'ASIAN HANDICAP',2.19,1969.457272
'ASIAN HANDICAP',2.07,1959.587079
'OVER / UNDER',2.07,1767.75147
'ASIAN HANDICAP',1.87,2023.113169
'ASIAN HANDICAP',2.14,1993.30959
'ASIAN HANDICAP',1.92,2002.126419
'ASIAN HANDICAP',2.08,1974.896017
'MATCH ODDS',2.18,1340.078869
'ASIAN HANDICAP',1.85,2062.40456
'ASIAN HANDICAP',1.94,2081.080113
'ASIAN HANDICAP',2.03,1942.99117
'OVER / UNDER',2,1788.733225
'ASIAN HANDICAP',1.94,2051.071063
'OVER / UNDER',1.83,1794.180355
'ASIAN HANDICAP',1.9,1451.624936
'ASIAN HANDICAP',1.98,2065.84717
'ASIAN HANDICAP',2.08,749.056645
'MATCH ODDS',1.8,1398.082164
'ASIAN HANDICAP',2.12,749.056645
'OVER / UNDER',1.98,1780.119533
'ASIAN HANDICAP',2,1383.18324
'ASIAN HANDICAP',1.96,1451.624936
'ASIAN HANDICAP',1.9,1359.773484
'OVER / UNDER',1.82,1794.180355
'ASIAN HANDICAP',1.85,1975.920738
'OVER / UNDER',2.02,1766.774889
'OVER / UNDER',1.76,1624.656309
'ASIAN HANDICAP',2.08,2063.013625
'ASIAN HANDICAP',1.96,1451.624936
'OVER / UNDER',2.08,1767.757253
'ASIAN HANDICAP',2,1967.614708
'ASIAN HANDICAP',1.98,1492.986585
'OVER / UNDER',1.85,1783.263988
'MATCH ODDS',2,1340.078869
'ASIAN HANDICAP',1.85,1947.38678
'OVER / UNDER',2.05,1768.160699
'OVER / UNDER',1.82,1783.442384
'ASIAN HANDICAP',2.03,1984.038524
'ASIAN HANDICAP',1.91,2069.299808
'ASIAN HANDICAP',1.75,2072.289441
'ASIAN HANDICAP',1.9,2028.933036
'OVER / UNDER',2.02,1766.774889
'ASIAN HANDICAP',2.05,2048.447094
'OVER / UNDER',1.92,1755.120945
'MATCH ODDS',3.3,1715.260137
'OVER / UNDER',2.05,1768.160699
'OVER / UNDER',1.83,1794.180355
'ASIAN HANDICAP',1.98,1359.773484
'OVER / UNDER',2.11,1766.64549
'MATCH ODDS',1.83,1398.082164
'ASIAN HANDICAP',1.7,1400.441557
'OVER / UNDER',2,1766.786719
'ASIAN HANDICAP',1.93,1946.011181
'ASIAN HANDICAP',1.97,1448.622988
'OVER / UNDER',1.85,1771.690616
'OVER / UNDER',2.16,1761.956023
'ASIAN HANDICAP',1.82,2043.66051
'OVER / UNDER',1.93,1783.453821
'ASIAN HANDICAP',1.9,1983.745124
'ASIAN HANDICAP',1.95,2001.536715
'ASIAN HANDICAP',2.06,2048.04698
'OVER / UNDER',1.96,1794.235875
'OVER / UNDER',1.95,1783.778572
'ASIAN HANDICAP',1.85,2072.641374
'ASIAN HANDICAP',1.98,1998.32801
'OVER / UNDER',1.97,1624.656309
'ASIAN HANDICAP',1.74,748.984773
'ASIAN HANDICAP',1.88,1953.996277
'ASIAN HANDICAP',1.75,748.984773
'OVER / UNDER',1.9,1794.382289
'MATCH ODDS',1.79,1770.439308
'MATCH ODDS',1.75,1770.643224
'MATCH ODDS',1.97,1774.809767
'MATCH ODDS',1.91,1774.286217
'ASIAN HANDICAP',1.71,1967.042745
'MATCH ODDS',1.75,1770.643224
'OVER / UNDER',1.8,1769.126934
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',1.74,375.175853
'MATCH ODDS',1.74,1770.712201
'ASIAN HANDICAP',2.3,1957.100156
'ASIAN HANDICAP',1.74,1973.694516
'OVER / UNDER',2.02,1766.774889
'OVER / UNDER',1.75,1762.366223
'MATCH ODDS',2.4,1753.360257
'ASIAN HANDICAP',1.7,1946.462505
'ASIAN HANDICAP',1.79,1973.996474
'MATCH ODDS',1.65,210.02033
'MATCH ODDS',2.63,1740.824578
'OVER / UNDER',1.91,1772.047228
'ASIAN HANDICAP',1.95,2002.710353
'ASIAN HANDICAP',1.95,2080.822505
