@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'ASIAN HANDICAP','MATCH ODDS','OVER UNDER'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'ASIAN HANDICAP',2.06,2061.801534
'MATCH ODDS',3.2,1715.279787
'ASIAN HANDICAP',1.91,1877.016726
'OVER UNDER',2.05,1666.322981
'ASIAN HANDICAP',1.91,1877.016726
'OVER UNDER',2.35,1647.557028
'ASIAN HANDICAP',2.05,1975.527779
'ASIAN HANDICAP',2.1,1983.496095
'OVER UNDER',2.22,1774.598875
'OVER UNDER',1.67,1293.349907
'OVER UNDER',2.23,1743.386584
'OVER UNDER',1.88,1798.331898
'ASIAN HANDICAP',1.95,2069.715486
'ASIAN HANDICAP',2.01,688.055474
'ASIAN HANDICAP',1.87,757.656475
'ASIAN HANDICAP',2.05,2075.708894
'ASIAN HANDICAP',2.05,1305.826524
'MATCH ODDS',1.55,1729.215011
'ASIAN HANDICAP',2.17,1185.618431
'ASIAN HANDICAP',1.98,2048.773823
'ASIAN HANDICAP',2.12,1980.948112
'OVER UNDER',1.9,1635.359276
'ASIAN HANDICAP',1.9,1983.745124
'ASIAN HANDICAP',1.83,1867.36693
'ASIAN HANDICAP',1.69,1956.104898
'ASIAN HANDICAP',1.76,1948.562118
'ASIAN HANDICAP',2.07,2077.874345
'OVER UNDER',2.08,1719.804762
'ASIAN HANDICAP',1.78,1976.035356
'ASIAN HANDICAP',1.94,1993.509792
'OVER UNDER',2.05,1758.936885
'ASIAN HANDICAP',1.78,1968.007124
'ASIAN HANDICAP',1.92,1246.914127
'MATCH ODDS',3.47,947.444549
'ASIAN HANDICAP',1.86,1256.787315
'ASIAN HANDICAP',1.78,1212.718136
'ASIAN HANDICAP',2.31,1934.121825
'ASIAN HANDICAP',1.98,1955.473433
'ASIAN HANDICAP',1.93,2081.873367
'ASIAN HANDICAP',1.89,1967.71726
'MATCH ODDS',2.1,1768.818655
'MATCH ODDS',1.8,1018.076911
'OVER UNDER',1.79,1059.549744
'OVER UNDER',1.95,1027.746717
'ASIAN HANDICAP',2.07,1305.126211
'ASIAN HANDICAP',1.88,1949.014624
'ASIAN HANDICAP',1.85,1894.353722
'OVER UNDER',1.86,1807.164931
'ASIAN HANDICAP',2.09,1907.719662
'MATCH ODDS',1.49,583.101796
'MATCH ODDS',3.35,1547.892622
'ASIAN HANDICAP',1.9,1773.187636
'ASIAN HANDICAP',1.79,1976.035356
'ASIAN HANDICAP',1.71,2038.575652
'ASIAN HANDICAP',2.14,1044.101449
'ASIAN HANDICAP',1.72,1981.231298
'ASIAN HANDICAP',1.6,1023.127403
'MATCH ODDS',1.7,1768.301361
'ASIAN HANDICAP',1.72,1962.159681
'MATCH ODDS',2.89,1589.014492
'OVER UNDER',1.93,1740.240693
'OVER UNDER',2.16,1124.789606
'ASIAN HANDICAP',1.85,1214.534042
'MATCH ODDS',2.13,860.861657
'MATCH ODDS',2.1,860.221099
'MATCH ODDS',2.17,1765.190018
'MATCH ODDS',2.15,1036.78494
'ASIAN HANDICAP',2.08,1080.14966
'MATCH ODDS',2.2,882.126147
'ASIAN HANDICAP',1.78,1292.81269
'ASIAN HANDICAP',2.11,980.224785
'ASIAN HANDICAP',2.11,1056.31102
'ASIAN HANDICAP',1.87,1937.263887
'ASIAN HANDICAP',1.79,1684.064324
'ASIAN HANDICAP',2.02,805.368652
'MATCH ODDS',4.6,1737.233046
'ASIAN HANDICAP',1.85,684.036414
'ASIAN HANDICAP',1.8,894.93825
'ASIAN HANDICAP',1.98,2024.1398
'ASIAN HANDICAP',1.79,645.986822
'ASIAN HANDICAP',2.08,1875.207221
'MATCH ODDS',2.2,872.116441
'ASIAN HANDICAP',1.86,1992.484596
'ASIAN HANDICAP',1.76,2040.286691
'ASIAN HANDICAP',2.15,1685.639286
'MATCH ODDS',2.2,1294.679169
'OVER UNDER',1.58,1755.180802
