Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
1,2016-05-17 18:45:00,SOC,Ireland,St Patricks Athletic - Finn Harps,0.00,LOST,First Half Away +0.50 (AH),4:0 (2:0),PINNACLE,1833,2.00,-2.00,batigol,2016-05-17 16:12:45
2,2016-05-17 18:45:00,SOC,Ireland,St Patricks Athletic - Finn Harps,0.00,LOST,Full Event Under 2.5 (O/U),4:0 (2:0),PINNACLE,2.07,3.00,-3.00,batigol,2016-05-17 11:32:03
3,2016-05-14 18:30:00,SOC,Ireland,Bray Wanderers - Galway FC,0.00,LOST,Full Event Home +0.25 (AH),1-2,PINNACLE,1746,3.00,-3.00,batigol,2016-05-14 16:48:12
4,2016-05-14 18:45:00,SOC,Ireland,Sligo Rovers - Bohemians,0.00,LOST,Full Event Away +0.50 (AH),1-0,PINNACLE,1806,3.00,-3.00,batigol,2016-05-14 11:58:39
5,2016-05-13 18:45:00,SOC,Ireland,Drogheda United - Shelbourne,0.00,LOST,Full Event Away +0.50 (AH),1:0 (0:0),PINNACLE,1787,3.00,-3.00,batigol,2016-05-13 18:10:14
6,2016-05-13 18:15:00,SOC,Ireland,Limerick FC - Athlone Town FC,5.22,WIN,Full Time Excluding Overtime Home -2.50 (Asian Handicap),3:0 (0:0),SBOBET,1.74,3.00,2.22,batigol,2016-05-13 13:10:35
7,2016-05-13 19:00:00,SOC,Ireland,St Patricks Athletic - Longford Town,0.00,LOST,Full Event Home -1.50 (AH),3:3 (0:0),PINNACLE,1925,3.00,-3.00,batigol,2016-05-13 13:08:11
8,2016-05-10 19:00:00,SOC,Ireland,Shamrock Rovers - Sligo Rovers,1.92,WIN,Full Event Home -0.25 (AH),3:0 (2:0),PINNACLE,1917,1.00,0.92,batigol,2016-05-10 15:30:09
9,2016-05-10 18:45:00,SOC,Ireland,Bohemians - Cork City,1.75,WIN,Full Event Away -0.50 (AH),0:1 (0:0),PINNACLE,1746,1.00,0.75,batigol,2016-05-10 15:14:33
10,2016-05-10 19:00:00,SOC,Ireland,Longford Town - Wexford Youths,0.00,LOST,Full Event Under 2.5 (O/U),2:4 (1:2),PINNACLE,2.16,3.00,-3.00,batigol,2016-05-10 11:36:19
11,2016-05-07 18:30:00,SOC,Ireland,Longford Town - Shamrock Rovers,1.95,WIN,Full Event Under 2.5 (O/U),0:2,PINNACLE,1952,1.00,0.95,batigol,2016-05-07 16:27:38
12,2016-05-07 18:15:00,SOC,Ireland,Cobh Ramblers - Limerick FC,0.00,LOST,Full Event Over 3.5 (O/U),0:3,PINNACLE,2.26,2.00,-2.00,batigol,2016-05-07 16:24:18
13,2016-05-06 19:00:00,SOC,Ireland,Dundalk - Galway FC,0.00,LOST,Full Event Home -1.50 (AH),2:1 (0:0),PINNACLE,1.84,1.00,-1.00,batigol,2016-05-06 18:19:22
14,2016-05-06 18:45:00,SOC,Ireland,Waterford United - UC Dublin,6.12,WIN,Full Event Home +0.50 (AH),3:1 (2:0),PINNACLE,2.04,3.00,3.12,batigol,2016-05-06 12:20:31
15,2016-05-03 18:15:00,SOC,Ireland,Limerick FC - Galway United,1.82,WIN,Full Time Excluding Overtime Home -0.50 (Asian Handicap),2:0 (1:0),188bet,1.82,1.00,0.82,batigol,2016-05-03 17:44:33
16,2016-05-02 18:45:00,SOC,Ireland,Cork City - Derry City,1.88,WIN,Full Event Away +0.75 (AH),1:1 (1:1),PINNACLE,1877,1.00,0.88,batigol,2016-05-02 18:13:41
17,2016-05-02 16:00:00,SOC,Ireland,Shelbourne - Shamrock Rovers,0.00,LOST,Full Event Away -0.75 (AH),1:1 (1:0),PINNACLE,1877,1.00,-1.00,batigol,2016-05-02 15:19:26
18,2016-04-30 17:30:00,SOC,Ireland,Limerick FC - Waterford United,9.13,WIN,Full Event Over 3.75 (O/U),7:2,PINNACLE,1826,5.00,4.13,batigol,2016-04-30 11:33:55
19,2016-04-29 19:00:00,SOC,Livebet,Shamrock Rovers - Bray Wanderers AFC,7.32,WIN,Full Event Home -0.50 (AH) (1 - 0),2:0 (0:0),188bet,2.44,3.00,4.32,batigol,2016-04-29 20:25:35
20,2016-04-29 18:45:00,SOC,Ireland,Bohemians - Dundalk,0.00,LOST,Full Event Home +1.00 (AH),0:2 (0:1),PINNACLE,1.99,3.00,-3.00,batigol,2016-04-29 16:54:42
21,2016-04-29 18:45:00,SOC,Ireland,Galway FC - Longford Town,0.00,LOST,Full Event Home -1.00 (AH),2:2 (2:0),PINNACLE,1862,3.00,-3.00,batigol,2016-04-29 13:22:24
22,2016-04-25 18:45:00,SOC,Ireland,Cork City FC - Shamrock Rovers,0.00,LOST,First Half Under 0.75 (Over/Under),2-0,SBOBET,2.13,1.00,-1.00,batigol,2016-04-25 18:41:57
23,2016-04-25 18:45:00,SOC,Ireland,Cork City - Shamrock Rovers,0.00,LOST,Full Event Away +0.50 (AH),2-0,PINNACLE,1961,3.00,-3.00,batigol,2016-04-25 11:36:35
24,2016-04-23 18:30:00,SOC,Ireland,Bray Wanderers - St Patricks Athletic,0.00,LOST,Full Event Away -0.50 (AH),1:0,PINNACLE,1877,2.00,-2.00,batigol,2016-04-23 07:41:59
25,2016-04-22 18:45:00,SOC,Ireland,UC Dublin - Limerick FC,3.92,WIN,Full Event Home +1.50 (AH),1:2 (1:1),PINNACLE,1961,2.00,1.92,batigol,2016-04-22 15:36:25
26,2016-04-22 19:00:00,SOC,Ireland,Shamrock Rovers - Dundalk,0.00,LOST,Full Event Home +0.25 (AH),0:2 (0:1),PINNACLE,2.01,2.00,-2.00,batigol,2016-04-22 14:36:37
27,2016-04-22 18:45:00,SOC,Ireland,Cork City - Finn Harps,4.3,WIN,Full Event Home -1.75 (AH),3:1 (2:0),PINNACLE,1869,3.00,1.30,batigol,2016-04-22 13:46:56
28,2016-04-22 18:45:00,SOC,Ireland,Waterford United - Drogheda United,5.73,WIN,Full Event Away -0.25 (AH),1:2 (1:1),PINNACLE,1909,3.00,2.73,batigol,2016-04-22 13:29:24
29,2016-04-19 18:45:00,SOC,Livebet,Shamrock Rovers - Athlone Town,4.22,WIN,Full Event Home -0.50 (AH) (2 - 0),3:0 (2:0),188bet,2.11,2.00,2.22,batigol,2016-04-19 20:14:40
30,2016-04-19 18:15:00,SOC,Ireland,Limerick FC - Wexford Youths,0.00,LOST,Full Event Away +1.75 (AH),4:0 (2:0),PINNACLE,1961,2.00,-2.00,batigol,2016-04-19 17:13:17
31,2016-04-18 18:45:00,SOC,Ireland,Cork City - Waterford United,6.24,WIN,Full Event Home -3.00 (AH),7:0 (0:0),PINNACLE,2.08,3.00,3.24,batigol,2016-04-18 10:35:55
32,2016-04-16 17:30:00,SOC,Livebet,Limerick - Cabinteely,0.5,LOST,Full Event Home -0.25 (AH) (3 - 0),3:0,188bet,1.65,1.00,-0.50,batigol,2016-04-16 19:14:44
33,2016-04-16 18:45:00,SOC,Ireland,Longford Town - Derry City,0.00,LOST,Full Event Away -0.75 (AH),1-1,PINNACLE,1826,3.00,-3.00,batigol,2016-04-16 13:32:15
34,2016-04-15 18:45:00,SOC,Ireland,Finn Harps - Bray Wanderers,0.00,LOST,Full Event Away +0.00 (AH),1:0 (1:0),PINNACLE,2.11,1.00,-1.00,batigol,2016-04-15 12:06:51
35,2016-04-15 18:45:00,SOC,Ireland,Waterford United - Shelbourne,5.97,WIN,Full Event Away +0.00 (AH),1:4 (0:2),PINNACLE,1.99,3.00,2.97,batigol,2016-04-15 11:32:41
36,2016-04-15 18:45:00,SOC,Ireland,Dundalk - Sligo Rovers,0.00,LOST,Full Event Home -1.50 (AH),1:0 (1:0),PINNACLE,1884,3.00,-3.00,batigol,2016-04-15 11:31:46
37,2016-04-11 18:45:00,SOC,Ireland,Waterford United - Cobh Ramblers,2.85,WIN,Full Event Away +0.00 (AH),1:2 (1:2),PINNACLE,2.85,1.00,1.85,batigol,2016-04-11 17:47:44
38,2016-04-11 18:45:00,SOC,Ireland,Waterford United - Cobh Ramblers,1.89,WIN,Full Event Away +0.50 (AH),1:2 (1:2),PINNACLE,1892,1.00,0.89,batigol,2016-04-11 17:46:51
39,2016-04-11 18:45:00,SOC,Ireland,Athlone Town - Shelbourne,0.00,LOST,Full Event Home +0.25 (AH),1:3 (0:1),PINNACLE,2.05,2.00,-2.00,batigol,2016-04-11 12:17:06
40,2016-04-09 18:30:00,SOC,Ireland,Bray Wanderers - Bohemians,6.63,WIN,Full Event Away -0.50 (AH),0:2,PINNACLE,2.21,3.00,3.63,batigol,2016-04-09 16:42:54
41,2016-04-08 18:45:00,SOC,Ireland,Galway FC - Finn Harps,0.00,LOST,Full Event Away +0.50 (AH),1:0 (0:0),PINNACLE,2.16,2.00,-2.00,batigol,2016-04-08 13:04:54
42,2016-04-08 18:45:00,SOC,Ireland,St Patricks Athletic - Sligo Rovers,0.00,LOST,Full Event Home -1.00 (AH),1:1 (0:1),PINNACLE,2.08,3.00,-3.00,batigol,2016-04-08 11:34:00
43,2016-04-04 18:45:00,SOC,Ireland,Bohemians - Dundalk,3.87,WIN,Full Event Home +0.50 (AH),4-3,PINNACLE,1934,2.00,1.87,batigol,2016-04-04 17:36:11
44,2016-04-04 19:00:00,SOC,Ireland,Wexford Youths (n) - Longford Town,2.00,PUSH,Full Event Home +0.00 (AH),1-1,PINNACLE,1892,2.00,0.00,batigol,2016-04-04 14:27:32
45,2016-04-02 18:45:00,SOC,Ireland,Sligo Rovers - Cork City,0.00,LOST,Full Event Away -1.00 (AH),0-0,PINNACLE,1.99,3.00,-3.00,batigol,2016-04-02 13:49:05
46,2016-04-02 17:30:00,SOC,Ireland,Limerick FC - Shelbourne,0.00,LOST,Full Event Away +2.00 (AH),5:1,PINNACLE,1877,3.00,-3.00,batigol,2016-04-02 12:49:12
47,2016-04-01 18:45:00,SOC,Ireland,Bohemians - Longford Town,1.72,WIN,Full Event Home -0.75 (AH),2:0 (2:0),PINNACLE,1719,1.00,0.72,batigol,2016-04-01 18:27:54
48,2016-04-01 18:45:00,SOC,Ireland,Dundalk - Derry City,0.00,LOST,Full Event Home -1.00 (AH),1:1 (1:0),PINNACLE,1769,3.00,-3.00,batigol,2016-04-01 17:21:58
49,2016-03-29 18:45:00,SOC,Livebet,Republic Of Ireland - Slovakia,1.00,PUSH,Full Event Away +0.00 (AH) (2 - 2),2:2 (2:2),188bet,2.81,1.00,0.00,batigol,2016-03-29 20:13:19
50,2016-03-29 18:45:00,SOC,Friendly,Republic of Ireland - Slovakia,1.79,WIN,Full Event Away +0.50 (AH),2:2 (2:2),PINNACLE,1793,1.00,0.79,batigol,2016-03-29 12:57:15
51,2016-03-28 16:00:00,SOC,Int'l U21,Slovenia U21 - Republic of Ireland U21,2.08,WIN,Full Event Home (1X2),3:1 (1:0),PINNACLE,2.08,1.00,1.08,batigol,2016-03-28 07:51:21
52,2016-03-26 17:00:00,SOC,Ireland,Wexford Youths - Derry City,0.00,LOST,Full Event Home +0.25 (AH),1:2,PINNACLE,1847,1.00,-1.00,batigol,2016-03-26 12:45:24
53,2016-03-26 19:45:00,SOC,Ireland,Athlone Town - Limerick FC,3.67,WIN,Full Event Over 3 (O/U),0:5,PINNACLE,1833,2.00,1.67,batigol,2016-03-26 12:43:53
54,2016-03-26 20:00:00,SOC,Ireland,Finn Harps - Longford Town,3.74,WIN,Full Event Home -0.25 (AH),1-0,PINNACLE,1869,2.00,1.74,batigol,2016-03-26 12:42:20
55,2016-03-25 19:45:00,SOC,Friendly,Republic of Ireland - Switzerland,0.00,LOST,Full Event Draw (1X2),1:0 (1:0),PINNACLE,3.22,1.00,-1.00,batigol,2016-03-25 09:10:00
56,2016-03-24 19:45:00,SOC,Ireland,St Patricks Athletic - Dundalk,5.63,WIN,Full Event Away -0.25 (AH),0:4 (0:1),PINNACLE,1877,3.00,2.63,batigol,2016-03-24 14:26:49
57,2016-03-22 19:45:00,SOC,Livebet,UC Dublin - Bray Wanderers AFC,1.00,PUSH,Full Event Home +0.25 (AH) (0 - 0),danger-goal,188bet,1.83,1.00,0.00,batigol,2016-03-22 20:35:23
58,2016-03-22 19:15:00,SOC,Ireland,Cobh Ramblers - Limerick,0.00,LOST,First Half Home +0.50 (AH),2:4 (0:2),PINNACLE,2.06,1.00,-1.00,batigol,2016-03-22 19:01:31
59,2016-03-21 19:45:00,SOC,Livebet,Shelbourne - Cabinteely,0.00,LOST,Full Event Under 3.50 (O/U) (3 - 0),5:0 (1:0),188bet,2.02,1.00,-1.00,batigol,2016-03-21 21:14:29
60,2016-03-18 19:45:00,SOC,Ireland,UC Dublin - Waterford United,9.09,WIN,Full Event Away (1X2),1:3 (0:1),PINNACLE,9.09,1.00,8.09,batigol,2016-03-18 12:47:59
61,2016-03-18 19:45:00,SOC,Ireland,UC Dublin - Waterford United,4.6,WIN,Full Event Away +1.00 (AH),1:3 (0:1),PINNACLE,2.3,2.00,2.60,batigol,2016-03-18 12:47:08
62,2016-03-18 19:45:00,SOC,Ireland,Bohemians - Wexford Youths,4,WIN,Full Event Away +0.50 (AH),3:3 (2:2),PINNACLE,2,2.00,2.00,batigol,2016-03-18 12:32:52
63,2016-03-14 20:00:00,SOC,Ireland,Finn Harps - Shamrock Rovers,1.77,WIN,Full Event Under 2.25 (O/U),0:1 (0:0),PINNACLE,1769,1.00,0.77,batigol,2016-03-14 17:19:47
64,2016-03-14 19:45:00,SOC,Ireland,Sligo Rovers - Galway FC,2.82,WIN,Full Event Away +0.25 (AH),1:1 (1:0),PINNACLE,1819,2.00,0.82,batigol,2016-03-14 16:21:56
65,2016-03-14 19:45:00,SOC,Ireland,Bray Wanderers - Derry City,0.00,LOST,Full Event Home +0.25 (AH),0:3 (0:1),PINNACLE,1925,2.00,-2.00,batigol,2016-03-14 13:23:49
66,2016-03-14 19:45:00,SOC,Ireland,St Patricks Athletic - Bohemians,0.00,LOST,Full Event Away +0.25 (AH),3:0 (2:0),PINNACLE,1952,2.00,-2.00,batigol,2016-03-14 12:32:25
67,2016-03-12 19:15:00,SOC,Ireland,Cobh Ramblers - Drogheda United,1.39,WIN,Full Event Away +0.25 (AH),1-1,PINNACLE,1787,1.00,0.39,batigol,2016-03-12 19:13:29
68,2016-03-11 19:45:00,SOC,Ireland,Bohemians - Sligo Rovers,1.98,WIN,Full Event Home -0.25 (AH),1:0 (1:0),PINNACLE,1.98,1.00,0.98,batigol,2016-03-11 13:54:54
69,2016-03-11 19:45:00,SOC,Ireland,Waterford United - Limerick FC,4,WIN,Full Event Over 2.75 (O/U),2:5 (0:3),PINNACLE,2,2.00,2.00,batigol,2016-03-11 13:06:44
70,2016-03-05 19:45:00,SOC,Ireland,Sligo Rovers - Shamrock Rovers,1.65,WIN,Full Event Away +0.00 (AH),0:2,PINNACLE,1649,1.00,0.65,batigol,2016-03-05 19:16:13
71,2016-03-05 18:30:00,SOC,Ireland,Limerick FC - UC Dublin,0.00,LOST,Full Event Away +0.50 (AH),4:1,PINNACLE,2.05,1.00,-1.00,batigol,2016-03-05 17:56:52
72,2016-03-04 19:45:00,SOC,Ireland,Cork City FC - Bohemians,0.00,LOST,Full Event Yes (BTS),2:0,188bet,2.1,1.00,-1.00,batigol,2016-03-04 17:05:32
73,2016-03-04 19:45:00,SOC,Ireland,Cork City - Bohemians,0.00,LOST,Full Event Over 2.5 (O/U),2:0,PINNACLE,2.13,1.00,-1.00,batigol,2016-03-04 16:57:23
74,2016-03-04 20:00:00,SOC,Ireland,Finn Harps - Derry City,5.5,WIN,Full Event Home +0.25 (AH),2:1,PINNACLE,1833,3.00,2.50,batigol,2016-03-04 13:55:23
75,2016-02-27 14:00:00,SOC,Other,Cork City - Dundalk,0.00,LOST,Full Event Over 2.5 (O/U),2:0,PINNACLE,2.33,1.00,-1.00,batigol,2016-02-27 13:34:15
76,2016-02-26 20:00:00,SOC,Friendly,Shamrock Rovers - Shelbourne,1.00,PUSH,Full Event Under 3 (O/U),2:1,PINNACLE,2.03,1.00,0.00,batigol,2016-02-26 16:40:24
77,2016-02-24 19:45:00,SOC,Friendly,Athlone Town - Sligo Rovers,1.79,WIN,Full Event Under 3.5 (O/U),0:2,PINNACLE,1787,1.00,0.79,batigol,2016-02-24 19:23:26
78,2016-02-20 19:30:00,SOC,Ireland,Bray Wanderers - St. Patricks Athletic,1.83,WIN,Home +1 (Match),3:1,PINNACLE,1.83,1.00,0.83,batigol,2016-02-20 19:14:05
79,2016-02-20 19:45:00,SOC,Friendly,Sligo Rovers - Derry City,2.19,WIN,Under 2.5 (Match),1:0,PINNACLE,2.19,1.00,1.19,batigol,2016-02-20 17:51:25
80,2016-02-16 19:45:00,SOC,Friendly,Dundalk - UC Dublin,0.00,LOST,Home -2.5 (Match),2:0,PINNACLE,1.68,1.00,-1.00,batigol,2016-02-16 14:12:56
81,2016-02-12 19:30:00,SOC,Friendly,Cabinteely FC (n) - St. Patricks Athletic,2.02,WIN,Home +2.25 (Match),0:1,PINNACLE,2.02,1.00,1.02,batigol,2016-02-12 18:28:41
82,2016-02-09 19:45:00,SOC,Friendly,Dundalk - Waterford United,8.15,WIN,Over 3.75 (Match),8:1,PINNACLE,1.63,5.00,3.15,batigol,2016-02-09 11:38:34
83,2016-02-05 20:30:00,SOC,Friendly,Cabinteely - Longford Town,1.45,WIN,Cabinteely +1.25 (Asian Handicap-Full Time Excluding Overtime),1:2,188bet,1.89,1.00,0.45,batigol,2016-02-05 17:28:13
84,2016-02-03 19:30:00,SOC,Friendly,Longford Town - Limerick FC,0.00,LOST,Home -0.5 (Match),2:2,PINNACLE,1.83,1.00,-1.00,batigol,2016-02-03 13:00:11
85,2016-02-02 19:45:00,SOC,Friendly,Dundalk - Cliftonville,0.00,LOST,Away +0.5 (1st Half),2-0,PINNACLE,1.85,1.00,-1.00,batigol,2016-02-02 11:17:07
86,2016-01-29 20:45:00,SOC,Friendly,University College Dublin FC - Shamrock Rovers,2.06,WIN,Under 3 (Over Under-Full Time Excluding Overtime),0:2,188bet,2.06,1.00,1.06,batigol,2016-01-29 18:09:37
87,2015-11-26 15:00:00,SOC,Women,Ireland W - Spain W,0.00,LOST,Ireland W +1.25 (Asian Handicap-Full Time Excluding Overtime),0:3,SBOBET,1.93,3.00,-3.00,batigol,2015-11-26 12:26:22
88,2015-11-16 19:45:00,SOC,UEFA EURO Q,Republic of Ireland - Bosnia-Herzegovina,0.00,LOST,Away +0.25 (Match),2:0,PINNACLE,1.79,3.00,-3.00,batigol,2015-11-16 18:52:30
89,2015-11-13 19:45:00,SOC,UEFA EURO Q,Bosnia-Herzegovina - Republic of Ireland,0.00,LOST,Home -0.5 (Match),1:1,PINNACLE,1.92,5.00,-5.00,batigol,2015-11-13 12:43:22
90,2015-11-08 15:30:00,SOC,Ireland,Dundalk (n) - Cork City,0.00,LOST,Home -0.5 (Match),"0:0, 1:0 ET",PINNACLE,2.05,5.00,-5.00,batigol,2015-11-06 16:02:07
91,2015-11-06 20:45:00,SOC,Ireland,Finn Harps FC - Limerick FC,0.00,LOST,Over 2.5 (Over Under-Full Time Excluding Overtime),1:0,SBOBET,2,3.00,-3.00,batigol,2015-11-06 15:56:40
92,2015-11-02 19:45:00,SOC,Ireland,Limerick FC - Finn Harps,2.08,WIN,Home -0.5 (1st Half),1:0,PINNACLE,2.08,1.00,1.08,batigol,2015-11-02 18:10:57
93,2015-11-02 19:45:00,SOC,Ireland,Limerick FC - Finn Harps,0.00,LOST,Over 2.5 (Match),1:0,PINNACLE,1.93,3.00,-3.00,batigol,2015-11-02 18:09:09
94,2015-10-30 19:45:00,SOC,Ireland,Shamrock Rovers - Drogheda United,6.68,WIN,Home -1 (Match),5:3,PINNACLE,1.67,4.00,2.68,batigol,2015-10-30 19:19:45
95,2015-10-30 19:45:00,SOC,Ireland,Bohemians - Cork City,0.00,LOST,Home 0 (Match),0:1,PINNACLE,1.97,3.00,-3.00,batigol,2015-10-30 19:04:00
96,2015-10-30 19:45:00,SOC,Ireland,Sligo Rovers - Limerick FC,2.24,WIN,Over 3.5 (Match),2:3,PINNACLE,2.24,1.00,1.24,batigol,2015-10-30 18:59:14
97,2015-10-30 19:45:00,SOC,Ireland,Longford Town - Derry City,5.55,WIN,Home +0.25 (Match),4:2,PINNACLE,1.85,3.00,2.55,batigol,2015-10-30 12:33:43
98,2015-10-30 19:45:00,SOC,Ireland,Galway FC - St Patricks Athletic,0.00,LOST,Home +0.5 (Match),0:1,PINNACLE,1.89,3.00,-3.00,batigol,2015-10-30 11:34:26
99,2015-10-26 17:00:00,SOC,Ireland,Dundalk - Shamrock Rovers,0.00,LOST,Away +0.5 (Match),3:1,PINNACLE,1.75,2.00,-2.00,batigol,2015-10-26 09:06:06
100,2015-10-24 16:45:00,SOC,Ireland,Bray Wanderers - Galway FC,4.5,WIN,Away +0.25 (Match),1:1,PINNACLE,2,3.00,1.50,batigol,2015-10-23 20:42:54
101,2015-10-23 18:45:00,SOC,Ireland,Cork City - Dundalk,5,PUSH,Away 0 (Match),2:2,PINNACLE,1.63,5.00,0.00,batigol,2015-10-23 18:01:20
102,2015-10-23 18:45:00,SOC,Ireland,Limerick FC - Shamrock Rovers,0.00,LOST,Home +0.5 (Match),0:2,PINNACLE,1.83,3.00,-3.00,batigol,2015-10-23 15:06:09
103,2015-10-23 18:45:00,SOC,Ireland,Drogheda United - Longford Town,5.67,WIN,Away +0.25 (Match),0:3,PINNACLE,1.89,3.00,2.67,batigol,2015-10-23 12:45:51
104,2015-10-19 18:45:00,SOC,Ireland,St Patricks Athletic - Cork City,0.00,LOST,Home -0.5 (Match),1:2,PINNACLE,2.15,3.00,-3.00,batigol,2015-10-19 11:33:41
105,2015-10-17 18:45:00,SOC,Ireland,Waterford United - UC Dublin,4.18,WIN,Away -0.5 (Match),0-1,PINNACLE,2.09,2.00,2.18,batigol,2015-10-17 17:57:55
106,2015-10-17 17:30:00,SOC,Ireland,Limerick FC - Derry City,0.00,LOST,Home -0.5 (Match),0-2,PINNACLE,2.05,3.00,-3.00,batigol,2015-10-17 14:03:10
107,2015-10-16 18:45:00,SOC,Ireland,St Patricks Athletic - Drogheda United,3.76,WIN,Away +1.5 (Match),2:1,PINNACLE,1.88,2.00,1.76,batigol,2015-10-16 17:25:48
108,2015-10-16 18:45:00,SOC,Ireland,Cork City - Longford Town,0.00,LOST,Under 2.5 (Match),2:3,PINNACLE,2.08,2.00,-2.00,batigol,2015-10-16 15:40:52
109,2015-10-11 18:45:00,SOC,UEFA EURO Q,Poland - Republic of Ireland,0.00,LOST,Away +0.5 (Match),2:1,PINNACLE,1.99,1.00,-1.00,batigol,2015-10-11 10:00:54
110,2015-10-10 18:30:00,SOC,Ireland,Longford Town - Sligo Rovers,1.51,WIN,Home +0.25 (Match),1:1,PINNACLE,2.02,1.00,0.51,batigol,2015-10-10 16:14:14
111,2015-10-09 18:45:00,SOC,Ireland,Bohemians - St Patricks Athletic,2.05,WIN,Home +0.25 (Match),2:0,PINNACLE,2.05,1.00,1.05,batigol,2015-10-09 18:18:28
112,2015-10-09 19:00:00,SOC,Ireland,Shamrock Rovers - Dundalk,0.00,LOST,Away -0.5 (Match),1:1,PINNACLE,2.38,3.00,-3.00,batigol,2015-10-09 13:09:29
113,2015-10-08 18:45:00,SOC,UEFA EURO Q,Republic of Ireland - Germany,0.00,LOST,Away -1 (Match),1-0,PINNACLE,1.76,3.00,-3.00,batigol,2015-10-08 12:03:32
114,2015-10-02 18:45:00,SOC,Ireland,Galway FC - Sligo Rovers,2.12,WIN,Home +0.25 (Match),2:1,PINNACLE,2.12,1.00,1.12,batigol,2015-10-02 05:02:31
115,2015-09-26 18:45:00,SOC,Ireland,Sligo Rovers - Bray Wanderers,0.00,LOST,Under 2.5 (Match),3-1,PINNACLE,1.88,1.00,-1.00,batigol,2015-09-26 09:58:02
116,2015-09-25 19:00:00,SOC,Ireland,Shamrock Rovers - Galway FC,4.02,WIN,Home -1.5 (Match),2:0,PINNACLE,2.01,2.00,2.02,batigol,2015-09-25 12:57:36
117,2015-09-25 18:25:00,SOC,Ireland,Cork City - Derry City,3.78,WIN,Away +1 (Match),0:0,PINNACLE,1.89,2.00,1.78,batigol,2015-09-25 12:56:44
118,2015-09-22 19:00:00,SOC,Ireland,Shamrock Rovers - Bray Wanderers,1.86,WIN,Under 2.5 (Match),1:0,PINNACLE,1.86,1.00,0.86,batigol,2015-09-22 18:51:13
119,2015-09-18 18:25:00,SOC,Ireland,Dundalk - Drogheda United,0.00,LOST,Away +2 (Match),6:0,PINNACLE,1.95,1.00,-1.00,batigol,2015-09-18 09:37:05
120,2015-09-18 18:45:00,SOC,Ireland,UC Dublin - Wexford Youths,1.78,WIN,Away +0.5 (Match),1:2,PINNACLE,1.78,1.00,0.78,batigol,2015-09-18 09:35:16
121,2015-09-11 19:00:00,SOC,Ireland,Wexford Youths - UC Dublin,4.1,WIN,Home 0 (Match),1:0,PINNACLE,2.05,2.00,2.10,batigol,2015-09-11 11:28:37
122,2015-09-11 18:45:00,SOC,Ireland,Derry City - Cork City,1.91,WIN,Home +0.5 (Match),1:1,PINNACLE,1.91,1.00,0.91,batigol,2015-09-11 09:58:47
123,2015-09-08 15:00:00,SOC,Int'l U21,Andorra U21 - Republic of Ireland U21,2.03,WIN,Under 3 (Match),0-2,PINNACLE,2.03,1.00,1.03,batigol,2015-09-08 11:04:15
124,2015-09-05 18:45:00,SOC,Ireland,Shelbourne - Cabinteely,1.9,WIN,Away +2 (Match),0:0,PINNACLE,1.9,1.00,0.90,batigol,2015-09-05 13:51:58
