Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
1,2016-04-08 09:40:00,SOC,Australia,Melbourne City FC - Adelaide United FC,0.00,LOST,Full Time Excluding Overtime Under 11.0 (Corners Over/Under),5-10,Bet365,1.8,1.00,-1.00,number14,2016-04-07 13:46:24
2,2016-04-09 14:00:00,SOC,Eng. League Two,Northampton Town - Bristol Rovers,0.00,LOST,Full Time Excluding Overtime Over 10.5 (Corners Over/Under),8,Bet365,1.95,1.00,-1.00,number14,2016-04-07 13:32:43
3,2016-04-09 13:00:00,SOC,Ita. Serie B,Salernitana - Latina Calcio,0.00,LOST,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),3:2,Bet365,1.98,1.00,-1.00,number14,2016-04-04 16:37:59
4,2016-04-10 15:00:00,SOC,Spa. Segunda,Real Oviedo - CD Numancia,0.00,LOST,Full Time Excluding Overtime Under 10.0 (Corners Over/Under),7:5,Bet365,1.85,1.00,-1.00,number14,2016-04-04 16:22:47
5,2016-04-10 15:00:00,SOC,Spa. Segunda,SD Huesca - Gimnastic de Tarragona,0.00,LOST,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),5:4,Bet365,1.88,1.00,-1.00,number14,2016-04-04 16:20:02
6,2016-04-10 10:00:00,SOC,Spa. Segunda,Real Zaragoza - Real Mallorca,0.00,LOST,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),4:4,Bet365,1.8,1.00,-1.00,number14,2016-04-04 16:13:19
7,2016-04-03 16:00:00,SOC,Greece,Panionios NFC - FC PAOK Thessaloniki,0.00,LOST,Full Time Excluding Overtime Under 10.0 (Corners Over/Under),13,Bet365,1.8,1.00,-1.00,number14,2016-04-03 15:34:04
8,2016-04-03 16:00:00,SOC,Greece,PAE APS Atromitos Athens - Panaitolikos Agrinio,1.00,PUSH,Full Time Excluding Overtime Under 10.0 (Corners Over/Under),10,Bet365,1.95,1.00,0.00,number14,2016-04-03 15:16:40
9,2016-04-03 15:00:00,SOC,Azerbaijan,FK Qabala - Inter Baku,2,WIN,Full Time Excluding Overtime Over 9.0 (Corners Over/Under),9:2,Bet365,2,1.00,1.00,number14,2016-04-03 14:49:57
10,2016-04-04 18:00:00,SOC,Por. Superliga,FC Porto - CD Tondela,2,WIN,Full Time Excluding Overtime Over 10.5 (Corners Over/Under),11-4,Bet365,2,1.00,1.00,number14,2016-03-30 00:05:29
11,2016-04-03 15:00:00,SOC,Spa. Segunda,CD Numancia - SD Huesca,1.85,WIN,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),12,Bet365,1.85,1.00,0.85,number14,2016-03-29 21:50:38
12,2016-04-02 13:00:00,SOC,Ita. Serie B,Pescara - Calcio Como,1.83,WIN,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),6:7,Bet365,1.83,1.00,0.83,number14,2016-03-29 21:41:15
13,2016-04-04 18:30:00,SOC,Ita. Serie B,Bari - Cesena,1.8,WIN,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),10-6,Bet365,1.8,1.00,0.80,number14,2016-03-29 21:39:44
14,2016-03-28 10:00:00,SOC,Women,Suwon FMC (W) - Icheon Daekyo (W),1.85,WIN,Full Time Excluding Overtime Under 8.5 (Corners Over/Under),0-5,Bet365,1.85,1.00,0.85,number14,2016-03-28 02:56:25
15,2016-03-26 15:00:00,SOC,Por. Other,Freamunde - Sporting Covilha,1.8,WIN,Full Time Excluding Overtime Under 10.0 (Corners Over/Under),3:4,Bet365,1.8,1.00,0.80,number14,2016-03-23 16:49:09
16,2016-03-23 17:00:00,SOC,Denmark,Silkeborg IF - Vendsyssel FF,0.00,LOST,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),4-5,Bet365,1.98,1.00,-1.00,number14,2016-03-22 16:56:05
17,2016-03-26 15:00:00,SOC,Eng. League One,Bradford City - Millwall,0.00,LOST,Full Time Excluding Overtime Over 10.5 (Corners Over/Under),4,Bet365,1.73,1.00,-1.00,number14,2016-03-22 13:06:57
18,2016-03-22 19:45:00,SOC,Eng. Other,Ramsbottom United - Marine,0.00,LOST,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),2-7,Bet365,1.93,1.00,-1.00,number14,2016-03-22 12:31:27
19,2016-03-22 19:30:00,SOC,Spa. Other,Oberena - CD Beti Onak,0.00,LOST,Full Time Excluding Overtime Under 8.5 (Corners Over/Under),3-6,Bet365,2,1.00,-1.00,number14,2016-03-22 12:05:00
20,2016-03-26 14:00:00,SOC,Ita. Serie B,Calcio Como - ACD Virtus Entella,0.00,LOST,Full Time Excluding Overtime Over 10.0 (Corners Over/Under),7:2,Bet365,2,1.00,-1.00,number14,2016-03-21 17:49:56
21,2016-03-26 14:00:00,SOC,Ita. Serie B,Cesena - Latina Calcio,1.85,WIN,Full Time Excluding Overtime Over 9.5 (Corners Over/Under),7:6,Bet365,1.85,1.00,0.85,number14,2016-03-21 17:43:03
