Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
1,2016-05-19 17:00:00,SOC,Turkey,Genclerbirligi - Eskisehirspor,0.00,LOST,Full Event Draw (1X2),3:1 (2:1),PINNACLE,3.67,10.00,-10.00,onlydraw1,2016-05-19 11:13:58
2,2016-05-19 17:00:00,SOC,Turkey,Sivasspor - Fenerbahce,37.3,WIN,Full Event Draw (1X2),2:2 (2:1),PINNACLE,3.73,10.00,27.30,onlydraw1,2016-05-19 11:13:44
3,2016-05-15 16:00:00,SOC,Poland,Piast Gliwice - Zaglebie Lubin,0.00,LOST,Full Event Draw (1X2),0:1,PINNACLE,3.59,10.00,-10.00,onlydraw1,2016-05-15 09:18:20
4,2016-05-15 16:00:00,SOC,Poland,Cracovia Krakow - Lechia Gdansk,0.00,LOST,Full Event Draw (1X2),2:0,PINNACLE,3.53,10.00,-10.00,onlydraw1,2016-05-15 09:17:57
5,2016-05-15 17:00:00,SOC,Spa. Segunda,UE Llagostera - Cordoba,0.00,LOST,Full Event Draw (1X2),1:0,PINNACLE,3.31,10.00,-10.00,onlydraw1,2016-05-15 09:17:38
6,2016-05-15 15:00:00,SOC,Spa. Segunda,Elche - Girona,31.8,WIN,Full Event Draw (1X2),1-1,PINNACLE,3.18,10.00,21.80,onlydraw1,2016-05-15 09:17:23
7,2016-05-15 16:00:00,SOC,Ita. Serie A,Empoli - Torino,0.00,LOST,Full Event Draw (1X2),2:1,PINNACLE,3.7,10.00,-10.00,onlydraw1,2016-05-15 09:16:57
8,2016-05-15 13:00:00,SOC,Sweden,Orebro - Elfsborg,0.00,LOST,Full Event Draw (1X2),1:0,PINNACLE,3.76,10.00,-10.00,onlydraw1,2016-05-15 09:14:57
9,2016-05-14 18:45:00,SOC,Ita. Serie A,AC Milan - AS Roma,0.00,LOST,Full Event Draw (1X2),1-3,PINNACLE,3.73,10.00,-10.00,onlydraw1,2016-05-14 09:54:41
10,2016-05-14 19:00:00,SOC,Fra. Ligue 1,Caen - Bordeaux,0.00,LOST,Full Event Draw (1X2),1-0,PINNACLE,3.51,10.00,-10.00,onlydraw1,2016-05-14 09:54:14
11,2016-05-14 19:00:00,SOC,Fra. Ligue 1,Lorient - Gazelec Ajaccio,0.00,LOST,Full Event Draw (1X2),1-0,PINNACLE,3.56,10.00,-10.00,onlydraw1,2016-05-14 09:54:02
12,2016-05-14 13:30:00,SOC,Poland,Podbeskidzie Bielsko Biala - Wisla Krakow,0.00,LOST,Full Event Draw (1X2),3:4,PINNACLE,3.67,10.00,-10.00,onlydraw1,2016-05-14 09:53:14
13,2016-05-14 13:30:00,SOC,Poland,LKS Nieciecza - Gornik Zabrze,35.3,WIN,Full Event Draw (1X2),1:1,PINNACLE,3.53,10.00,25.30,onlydraw1,2016-05-14 09:53:04
14,2016-05-14 13:30:00,SOC,Czech Rep.,FK Jablonec - FK Pribram,31.6,WIN,Full Event Draw (1X2),0:0,PINNACLE,3.16,10.00,21.60,onlydraw1,2016-05-14 09:52:36
15,2016-05-12 17:00:00,SOC,Norway,Hodd - Sandefjord,0.00,LOST,Full Event Draw (1X2),1:3 (0:0),PINNACLE,3.53,10.00,-10.00,onlydraw1,2016-05-12 14:37:24
16,2016-05-12 17:00:00,SOC,Norway,Stabaek - Viking,0.00,LOST,Full Event Draw (1X2),1:0 (0:0),PINNACLE,3.54,10.00,-10.00,onlydraw1,2016-05-12 14:36:54
17,2016-05-10 19:00:00,SOC,Ireland,Longford Town - Wexford Youths,0.00,LOST,Full Event Draw (1X2),2:4 (1:2),PINNACLE,3.6,10.00,-10.00,onlydraw1,2016-05-10 16:40:58
18,2016-05-10 18:45:00,SOC,Ireland,Galway FC - St Patricks Athletic,0.00,LOST,Full Event Draw (1X2),0:3 (0:1),PINNACLE,3.12,10.00,-10.00,onlydraw1,2016-05-10 16:40:48
19,2016-05-08 13:00:00,SOC,Ita. Serie A,Atalanta - Udinese,34.5,WIN,Full Event Draw (1X2),1:1,PINNACLE,3.45,10.00,24.50,onlydraw1,2016-05-08 09:06:21
20,2016-05-08 13:30:00,SOC,Poland,Pogon Szczecin - Zaglebie Lubin,0.00,LOST,Full Event Draw (1X2),1:3,PINNACLE,3.14,10.00,-10.00,onlydraw1,2016-05-08 09:06:03
21,2016-05-09 15:00:00,SOC,Finland,Lahti - Seinajoen JK,0.00,LOST,Full Event Draw (1X2),3:0 (1:0),PINNACLE,3.05,10.00,-10.00,onlydraw1,2016-05-08 09:05:43
22,2016-05-09 15:00:00,SOC,Finland,HIFK Helsinki - RoPS Rovaniemi,32.4,WIN,Full Event Draw (1X2),1:1 (1:0),PINNACLE,3.24,10.00,22.40,onlydraw1,2016-05-08 09:05:29
23,2016-05-08 16:00:00,SOC,Belgium,KAA Gent - Club Brugge,0.00,LOST,Full Event Draw (1X2),1:4,PINNACLE,3.42,10.00,-10.00,onlydraw1,2016-05-08 09:05:13
24,2016-05-08 11:00:00,SOC,Denmark,Viborg - Aalborg,0.00,LOST,Full Event Draw (1X2),0:2,PINNACLE,3.55,10.00,-10.00,onlydraw1,2016-05-08 09:04:42
25,2016-05-07 18:00:00,SOC,Switzerland,FC Zurich - Basel,0.00,LOST,Full Event Draw (1X2),2:3,PINNACLE,3.59,10.00,-10.00,onlydraw1,2016-05-07 08:35:41
