Count,Game date,Sport,Competition,Bet,Return,Result,Pick,Score,Bookmaker,Odd,Stake,Profit,Tipster,CST
1,2016-05-16 17:30:00,SOC,Romania,Botosani - CSU Craiova,9.72,WIN,Full Event Over 2.5 (O/U),2:1 (1:0),PINNACLE,1943,5.00,4.72,rooney27,2016-05-16 17:09:30
2,2016-05-11 17:30:00,SOC,Romania,ACS Poli Timisoara - CS U Craiova,5.00,PUSH,Full Time Excluding Overtime Away 0 (Asian Handicap),2:2 (0:1),SBOBET,1.74,5.00,0.00,rooney27,2016-05-11 09:16:07
3,2016-05-10 15:00:00,SOC,Romania,CS Concordia Chiajna - FC Botosani,5.00,PUSH,Full Time Excluding Overtime Home 0 (Asian Handicap),1:1 (1:0),SBOBET,1.78,5.00,0.00,rooney27,2016-05-10 06:59:03
4,2016-05-09 17:30:00,SOC,Romania,Pandurii Targu Jiu - Astra Giurgiu,0.00,LOST,Full Event Over 3 (O/U),2:0 (1:0),PINNACLE,2.19,5.00,-5.00,rooney27,2016-05-09 10:11:06
5,2016-05-06 17:30:00,SOC,Livebet,Dinamo Bucuresti - Viitorul Constanta,10.55,WIN,Full Event Over 5.00 (O/U) (1 - 2),3:3 (1:2),188bet,2.11,5.00,5.55,rooney27,2016-05-06 18:09:23
6,2016-05-02 17:30:00,SOC,Romania,Astra Giurgiu - Dinamo Bucuresti,0.00,LOST,Full Event Away +0.50 (AH),4:2 (1:2),PINNACLE,2.19,5.00,-5.00,rooney27,2016-05-01 19:27:37
7,2016-05-01 15:00:00,SOC,Romania,CSU Craiova - Concordia Chiajna,0.00,LOST,Full Event Away +0.50 (AH),2:0,PINNACLE,1961,5.00,-5.00,rooney27,2016-04-30 12:06:02
8,2016-05-02 15:00:00,SOC,Romania,Viitorul Constanta - ASA Targu Mures,9.63,WIN,Full Event Home -0.50 (AH),6:1 (3:1),PINNACLE,1925,5.00,4.63,rooney27,2016-04-29 17:13:41
9,2016-05-01 17:30:00,SOC,Romania,Steaua Bucuresti - Pandurii Targu-Jiu,2.45,WIN,Full Event Away +0.50 (AH),1:1,PINNACLE,2.45,1.00,1.45,rooney27,2016-04-29 14:23:19
10,2016-05-01 17:30:00,SOC,Romania,Steaua Bucuresti - Pandurii Targu-Jiu,9.27,WIN,Full Event Away +1.00 (AH),1:1,PINNACLE,1854,5.00,4.27,rooney27,2016-04-29 13:58:08
11,2016-04-30 16:30:00,SOC,Romania,CFR Cluj - ACS Poli Timisoara,9.39,WIN,Full Event Home -0.50 (AH),5:1,PINNACLE,1877,5.00,4.39,rooney27,2016-04-28 17:42:10
12,2016-04-23 15:00:00,SOC,Romania,ACS Poli Timisoara - Concordia Chiajna,9.76,WIN,Full Event Away +0.25 (AH),1-3,PINNACLE,1952,5.00,4.76,rooney27,2016-04-23 14:41:13
13,2016-04-22 17:30:00,SOC,Romania,Petrolul Ploiesti - Botosani,8.97,WIN,Full Event Over 2 (O/U),0:4 (0:3),PINNACLE,1793,5.00,3.97,rooney27,2016-04-22 07:34:43
14,2016-04-18 17:30:00,SOC,Romania,Viitorul Constanta - Pandurii Targu Jiu,10.4,WIN,Full Event Away +0.00 (AH),0:2 (0:0),PINNACLE,2.08,5.00,5.40,rooney27,2016-04-18 14:33:01
15,2016-04-18 15:00:00,SOC,Romania,CSMS Iasi - ACS Poli Timisoara,0.00,LOST,Full Time Excluding Overtime Home -0.50 (Asian Handicap),0:0 (0:0),SBOBET,1.91,5.00,-5.00,rooney27,2016-04-17 15:42:06
16,2016-04-16 15:00:00,SOC,Romania,CFR Cluj - Botosani,9.72,WIN,Full Event Home -0.50 (AH),6:0,PINNACLE,1943,5.00,4.72,rooney27,2016-04-16 10:28:27
17,2016-04-11 17:30:00,SOC,Livebet,Pandurii Targu Jiu v FC Targu Mures,0.00,LOST,Pandurii Targu Jiu -0.5 (Asian Handicap In-Play) (1-1),3:3 (2:1),Bet365,1.92,5.00,-5.00,rooney27,2016-04-11 18:06:46
18,2016-04-10 14:30:00,SOC,Romania,ACS Poli Timisoara - Voluntari,0.00,LOST,Full Event Away +0.00 (AH),2:1,PINNACLE,2.15,5.00,-5.00,rooney27,2016-04-08 18:26:32
19,2016-04-10 14:30:00,SOC,Romania,ACS Poli Timisoara - Voluntari,0.00,LOST,Full Event Away +0.25 (AH),2:1,PINNACLE,1775,5.00,-5.00,rooney27,2016-04-08 18:26:19
20,2016-04-09 17:30:00,SOC,Romania,Viitorul Constanta - Astra Giurgiu,8.97,WIN,Full Event Away +0.00 (AH),1:3,PINNACLE,1793,5.00,3.97,rooney27,2016-04-08 10:39:02
