Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 17:00:00,France,Ligue 1,PARIS ST GERMAIN vs LILLE OSC,0-0 (0-0),Asian handicap,LILLE OSC +1.25,2.02,,100,102.00,Win,Aurelien Delon,Football,2016-02-13 04:15:02
2016-02-13 16:00:00,England,Premier League,EVERTON FC vs WEST BROMWICH ALBION,0-1 (0-1),Asian handicap,EVERTON FC -1.00,1.87,,100,-100.00,Lost,Aurelien Delon,Football,2016-02-13 04:01:01
2016-02-13 15:30:00,Germany,Bundesliga,VFL WOLFSBURG vs FC INGOLSTADT,2-0 (2-0),Asian handicap,VFL WOLFSBURG -0.75,1.99,,100,99.00,Win,Aurelien Delon,Football,2016-02-13 14:44:05
2016-02-12 20:30:00,France,Ligue 1,STADE RENNES vs SCO ANGERS,1-0 (0-0),Asian handicap,STADE RENNES -0.50,1.93,,100,93.00,Win,Aurelien Delon,Football,2016-02-12 16:29:05
2016-02-10 21:00:00,Spain,Copa del Rey,VALENCIA CF vs FC BARCELONA,1-1 (1-0),Asian handicap,VALENCIA CF +0.25,2.03,,100,51.50,Half win,Aurelien Delon,Football,2016-02-10 17:53:02
2016-02-10 19:00:00,France,Coupe de France,TROYES AC vs AS SAINT ETIENNE,1-1 (0-0),Match Odds,AS SAINT ETIENNE,1.95,,100,-100.00,Lost,Aurelien Delon,Football,2016-02-10 15:54:03
2016-02-09 20:45:00,England,Championship,MILTON KEYNES DONS vs MIDDLESBROUGH FC,1-1 (1-0),Asian handicap,MIDDLESBROUGH FC -0.50,1.83,,100,-100.00,Lost,Aurelien Delon,Football,2016-02-09 19:47:02
2016-02-07 16:00:00,Spain,Liga BBVA,BETIS SEVILLA vs VALENCIA CF,1-0 (0-0),Asian handicap,VALENCIA CF -0.25,2.47,,100,-100.00,Lost,Aurelien Delon,Football,2016-02-07 13:41:07
2016-02-07 14:30:00,England,Premier League,BOURNEMOUTH AFC vs ARSENAL FC,0-2 (0-2),Asian handicap,ARSENAL FC -0.50,1.95,,100,95.00,Win,Aurelien Delon,Football,2016-02-07 13:31:02
2016-02-06 20:00:00,France,Ligue 1,SC BASTIA vs TROYES AC,2-0 (1-0),Asian handicap,TROYES AC +0.50,2.15,,100,-100.00,Lost,Aurelien Delon,Football,2016-02-06 19:16:04
2016-02-06 16:00:00,England,Premier League,NEWCASTLE UNITED vs WEST BROMWICH ALBION,1-0 (1-0),Match Odds,NEWCASTLE UNITED,2.21,,100,121.00,Win,Aurelien Delon,Football,2016-02-06 14:28:04
2016-02-06 15:30:00,Germany,Bundesliga,EINTRACHT FRANKFURT vs VFB STUTTGART,2-4 (0-2),Asian handicap,VFB STUTTGART +0,1.89,,100,89.00,Win,Aurelien Delon,Football,2016-02-06 14:25:03
2016-02-06 14:00:00,France,Ligue 1,AS MONACO vs OGC NICE,1-0 (0-0),Asian handicap,AS MONACO -0.75,2.19,,100,59.50,Half win,Aurelien Delon,Football,2016-02-06 10:19:01
2016-02-05 20:30:00,Germany,Bundesliga,MONCHENGLADBACH vs WERDER BREMEN,5-1 (2-0),Asian handicap,MONCHENGLADBACH -1.00,2.19,,100,119.00,Win,Aurelien Delon,Football,2016-02-05 19:55:02
2016-02-03 20:45:00,Italy,Serie A,HELLAS VERONA vs ATALANTA BERGAMASCA,2-1 (1-1),Asian Handicap 1st Half,HELLAS VERONA -0.25 Half time,2.56,,100,-50.00,Half lost,Aurelien Delon,Football,2016-02-03 19:51:01
2016-02-02 20:45:00,England,Premier League,ARSENAL FC vs SOUTHAMPTON FC,0-0 (0-0),Asian handicap,ARSENAL FC -0.75,2.03,,100,-100.00,Lost,Aurelien Delon,Football,2016-02-02 16:00:02
2016-01-31 16:00:00,Spain,Liga BBVA,VALENCIA CF vs SPORTING GIJON,0-1 (0-0),Asian handicap,VALENCIA CF -0.75,1.94,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-31 13:48:05
2016-01-31 15:30:00,Germany,Bundesliga,VFL WOLFSBURG vs 1 FC COLOGNE,1-1 (0-0),Asian handicap,VFL WOLFSBURG -1.00,2.10,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-31 11:52:01
2016-01-30 20:00:00,France,Ligue 1,SC BASTIA vs OLYMPIQUE LYON,1-0 (0-0),Asian handicap,OLYMPIQUE LYON -0.75,1.96,,100,-100.00,Lost,Aurelien Delon,Football,2016-01-30 15:51:05
