Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-07 18:00:00,Spain,Segunda B Group III,FUENLABRADA vs CD TOLEDO SAD,0-1,Match Odds,CD TOLEDO SAD,2.00,,80,80.00,Win,Bettingspaintips,Football,2016-05-07 12:37:06
2016-05-07 18:00:00,Spain,Segunda B Group III,CD GUIJUELO vs CD IZARRA,1-0,Asian handicap,CD GUIJUELO -0.75,1.76,,80,30.40,Half win,Bettingspaintips,Football,2016-05-07 11:29:04
2016-05-07 18:00:00,Spain,Segunda B Group III,SD COMPOSTELA vs ATLETICO ASTORGA FC,4-1,Asian handicap,SD COMPOSTELA +0.50,1.90,,80,72.00,Win,Bettingspaintips,Football,2016-05-07 11:17:09
2016-05-04 20:45:00,European cups,UEFA Champions League,REAL MADRID vs MANCHESTER CITY,1-0 (1-0),Over / Under Team,MANCHESTER CITY Over +0.75,1.92,,80,-80.00,Lost,Bettingspaintips,Football,2016-05-04 00:50:02
2016-05-03 20:45:00,European cups,UEFA Champions League,BAYERN MUNICH vs ATLETICO MADRID,2-1 (1-0),Asian handicap,BAYERN MUNICH -0.75,1.80,,80,32.00,Half win,Bettingspaintips,Football,2016-05-03 19:33:02
2016-05-01 17:00:00,Spain,Segunda B Group III,REAL UNION DE IRUN vs SD GERNIKA,1-1,Match Odds,REAL UNION DE IRUN,1.80,,80,-80.00,Lost,Bettingspaintips,Football,2016-05-01 12:22:02
2016-05-01 12:00:00,Spain,Segunda B Group III,JUMILLA CF vs CADIZ CF,0-0,Asian handicap,CADIZ CF +0,1.92,,80,0.00,Void,Bettingspaintips,Football,2016-05-01 00:38:02
2016-04-30 18:00:00,Spain,Liga Adelante,SD HUESCA vs UE LLAGOSTERA,3-1 (3-0),Asian handicap,SD HUESCA -0.75,1.85,,80,68.00,Win,Bettingspaintips,Football,2016-04-30 02:07:02
2016-04-28 21:05:00,European cups,UEFA Europa League,VILLARREAL CF vs LIVERPOOL FC,1-0 (0-0),Asian handicap,VILLARREAL CF +0,1.85,,80,68.00,Win,Bettingspaintips,Football,2016-04-28 19:13:08
2016-04-26 20:45:00,European cups,UEFA Champions League,MANCHESTER CITY vs REAL MADRID,0-0 (0-0),Over / Under,Over +2.50,1.89,,80,-80.00,Lost,Bettingspaintips,Football,2016-04-26 19:16:03
2016-04-24 18:15:00,Spain,Liga BBVA,GETAFE CF vs VALENCIA CF,2-2 (0-0),Asian handicap,VALENCIA CF +0,1.76,,80,0.00,Void,Bettingspaintips,Football,2016-04-23 23:13:04
