Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 16:00:00,England,Premier League,CRYSTAL PALACE vs WATFORD FC,1-2 (1-1),Asian handicap,WATFORD FC +0,2.62,,100,162.00,Win,Blake Foss,Football,2016-02-13 12:12:02
2016-02-13 16:00:00,England,Premier League,BOURNEMOUTH AFC vs STOKE CITY,1-3 (0-1),Match Odds,Draw,3.55,,100,-100.00,Lost,Blake Foss,Football,2016-02-13 12:08:04
2016-02-13 16:00:00,England,Premier League,NORWICH CITY vs WEST HAM UNITED,2-2 (0-0),Asian handicap,WEST HAM UNITED +0,2.20,,100,0.00,Void,Blake Foss,Football,2016-02-13 12:02:07
2016-02-13 16:00:00,England,Premier League,SWANSEA CITY vs SOUTHAMPTON FC,0-1 (0-0),Match Odds,SOUTHAMPTON FC,2.47,,100,147.00,Win,Blake Foss,Football,2016-02-13 12:01:04
2016-02-13 16:00:00,England,Championship,CHARLTON ATHLETIC vs CARDIFF CITY,0-0 (0-0),Asian handicap,CARDIFF CITY -1.00,3.55,,100,-100.00,Lost,Blake Foss,Football,2016-02-13 11:59:02
2016-02-09 20:45:00,England,Championship,MILTON KEYNES DONS vs MIDDLESBROUGH FC,1-1 (1-0),Match Odds,Draw,3.60,,100,260.00,Win,Blake Foss,Football,2016-02-09 14:44:02
2016-02-09 20:45:00,Scotland,Second Division,COWDENBEATH FC vs ALBION ROVERS FC,1-2 (1-1),Match Odds,Draw,3.60,,100,-100.00,Lost,Blake Foss,Football,2016-02-09 14:42:07
2016-02-09 19:15:00,Peru,"Primera Division, Apertura",SPORT HUANCAYO vs UTC DE CAJAMARCA,2-2 (0-0),Asian handicap,UTC DE CAJAMARCA +0,4.80,,100,0.00,Void,Blake Foss,Football,2016-02-09 14:45:04
2016-02-08 23:00:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",ESTUDIANTES DE LA PLATA vs ATLETICO LANUS,0-1 (0-0),Asian handicap,ATLETICO LANUS -1.00,6.20,,100,0.00,Void,Blake Foss,Football,2016-02-08 15:29:08
2016-02-08 20:30:00,Italy,Serie B,TRAPANI CALCIO vs COMO CALCIO,2-2 (0-1),Asian handicap,COMO CALCIO +0,3.63,,100,0.00,Void,Blake Foss,Football,2016-02-08 15:34:02
2016-02-08 20:00:00,Netherlands,Jupiler League,GO AHEAD EAGLES vs FC DEN BOSCH,0-0 (0-0),Asian handicap,FC DEN BOSCH +0,3.29,,100,0.00,Void,Blake Foss,Football,2016-02-08 15:27:04
2016-02-07 20:30:00,Spain,Liga BBVA,GRANADA CF vs REAL MADRID,1-2 (0-1),Asian handicap,REAL MADRID -2.50,2.95,,100,-100.00,Lost,Blake Foss,Football,2016-02-07 16:00:05
2016-02-07 17:00:00,England,Premier League,CHELSEA FC vs MANCHESTER UNITED,1-1 (0-0),Match Odds,CHELSEA FC,2.23,,100,-100.00,Lost,Blake Foss,Football,2016-02-07 15:57:05
2016-02-07 16:00:00,Spain,Liga BBVA,BETIS SEVILLA vs VALENCIA CF,1-0 (0-0),Match Odds,VALENCIA CF,2.90,,100,-100.00,Lost,Blake Foss,Football,2016-02-07 15:55:08
2016-02-06 18:00:00,Spain,Liga Adelante,REAL VALLADOLID vs SD PONFERRADINA,0-0 (0-0),Match Odds,SD PONFERRADINA,5.98,,100,-100.00,Lost,Blake Foss,Football,2016-02-06 16:58:07
2016-02-06 16:00:00,England,Championship,CARDIFF CITY vs MILTON KEYNES DONS,0-0 (0-0),Match Odds 1st Half,MILTON KEYNES DONS Half time,4.75,,60,-60.00,Lost,Blake Foss,Football,2016-02-06 14:14:06
2016-02-06 16:00:00,England,Premier League,SWANSEA CITY vs CRYSTAL PALACE,1-1 (1-0),Over / Under,Over +2.50,2.45,,100,-100.00,Lost,Blake Foss,Football,2016-02-06 14:12:05
2016-02-06 16:00:00,England,Championship,QUEENS PARK RANGERS vs IPSWICH TOWN,1-0 (0-0),Match Odds,QUEENS PARK RANGERS,2.60,,100,160.00,Win,Blake Foss,Football,2016-02-06 12:25:07
2016-02-06 15:30:00,Germany,Bundesliga,EINTRACHT FRANKFURT vs VFB STUTTGART,2-4 (0-2),Over / Under,Under +2.75,2.23,,100,-100.00,Lost,Blake Foss,Football,2016-02-06 14:24:05
2016-02-03 19:00:00,France,Ligue 1,STADE REIMS vs SCO ANGERS,2-1 (1-1),Match Odds 1st Half,SCO ANGERS Half time,4.00,,100,-100.00,Lost,Blake Foss,Football,2016-02-03 16:39:02
2016-02-02 21:00:00,France,Ligue 2,RED STAR FC vs AC HAVRE,2-1 (1-0),Over / Under,Over +2.50,2.74,,100,174.00,Win,Blake Foss,Football,2016-02-02 15:03:02
2016-02-02 20:45:00,England,Championship,IPSWICH TOWN vs READING FC,2-1 (0-0),Over / Under,Over +2.50,2.28,,100,128.00,Win,Blake Foss,Football,2016-02-02 14:41:03
2016-02-01 20:30:00,Italy,Serie B,SPEZIA CALCIO vs SPORTIVA SALERNITANA,3-1 (0-0),Asian handicap,SPORTIVA SALERNITANA +0,4.25,,100,-100.00,Lost,Blake Foss,Football,2016-02-01 17:06:02
2016-01-31 20:45:00,Italy,Serie A,AC MILAN vs INTER MILAN,3-0 (1-0),Over / Under,Over +2.50,2.43,,100,143.00,Win,Blake Foss,Football,2016-01-31 10:32:02
