Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 18:00:00,Poland,Ekstraklasa,KS CRACOVIA vs KS GORNIK ZABRZE,3-0 (3-0),Draw no bet,KS GORNIK ZABRZE,3.25,,80,-80.00,Lost,Burke Ziobro,Football,2016-02-13 09:57:02
2016-02-13 15:30:00,Poland,Ekstraklasa,GORNIK LECZNA vs GKS PIAST GLIWICE,0-0 (0-0),Match Odds,GKS PIAST GLIWICE,2.55,,80,-80.00,Lost,Burke Ziobro,Football,2016-02-13 09:52:02
2016-02-11 20:45:00,Italy,Serie A,LAZIO ROMA vs HELLAS VERONA,5-2 (1-0),Match Odds,Draw,4.70,,80,-80.00,Lost,Burke Ziobro,Football,2016-02-11 10:58:06
2016-02-10 21:00:00,Spain,Copa del Rey,VALENCIA CF vs FC BARCELONA,1-1 (1-0),Asian handicap,FC BARCELONA -1.50,3.10,,80,-80.00,Lost,Burke Ziobro,Football,2016-02-10 10:00:03
2016-02-09 20:45:00,England,League Two,OXFORD UNITED vs MANSFIELD TOWN,2-2 (1-1),Draw no bet,MANSFIELD TOWN,5.00,,40,0.00,Void,Burke Ziobro,Football,2016-02-09 11:15:03
2016-02-07 21:00:00,France,Ligue 1,OLYMPIQUE MARSEILLE vs PARIS ST GERMAIN,1-2 (1-1),Asian handicap,PARIS ST GERMAIN -1.00,2.52,,80,0.00,Void,Burke Ziobro,Football,2016-02-07 15:35:05
2016-02-07 14:30:00,England,Premier League,BOURNEMOUTH AFC vs ARSENAL FC,0-2 (0-2),Asian handicap,ARSENAL FC -1.00,2.69,,80,135.20,Win,Burke Ziobro,Football,2016-02-07 11:29:04
2016-02-06 18:30:00,Austria,tipp3-Bundesliga,SK RAPID VIENNA vs WOLFSBERGER AC,3-0 (0-0),Asian handicap,WOLFSBERGER AC +0.75,2.46,,80,-80.00,Lost,Burke Ziobro,Football,2016-02-06 10:44:02
2016-02-06 18:30:00,England,Premier League,SOUTHAMPTON FC vs WEST HAM UNITED,1-0 (1-0),Asian handicap,WEST HAM UNITED +0.25,2.66,,80,-80.00,Lost,Burke Ziobro,Football,2016-02-05 20:56:02
2016-02-06 13:45:00,England,Premier League,MANCHESTER CITY vs LEICESTER CITY,1-3 (0-1),Asian handicap,LEICESTER CITY +0.50,2.48,,80,118.40,Win,Burke Ziobro,Football,2016-02-05 20:57:02
