Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 18:30:00,Germany,Bundesliga,1 FC COLOGNE vs EINTRACHT FRANKFURT,3-1 (1-1),Over / Under 1st Half Team,EINTRACHT FRANKFURT Over +0.50,2.50,,60,90.00,Win,Charlie Bryson,Football,2016-02-13 11:46:05
2016-02-13 16:00:00,Spain,Liga BBVA,REAL MADRID vs ATHLETIC BILBAO,4-2 (3-1),Asian handicap,REAL MADRID -1.50,1.95,,60,57.00,Win,Charlie Bryson,Football,2016-02-13 10:33:03
2016-02-12 17:00:00,International Clubs,Club Friendly Games,IK START vs JERV FK,1-1 (0-0),Over / Under,Over +3.00,2.15,,40,-40.00,Lost,Charlie Bryson,Football,2016-02-12 15:24:02
2016-02-11 20:45:00,Italy,Serie A,LAZIO ROMA vs HELLAS VERONA,5-2 (1-0),Both team to score,Yes,2.10,,60,62.70,Win,Charlie Bryson,Football,2016-02-11 10:13:02
2016-02-11 20:30:00,Spain,Copa del Rey,CELTA DE VIGO vs SEVILLA FC,2-2 (1-0),Over / Under,Over +2.75,2.05,,60,63.00,Win,Charlie Bryson,Football,2016-02-10 23:20:02
2016-02-10 20:45:00,Scotland,Premier League,ROSS COUNTY FC vs HEART OF MIDLOTHIAN,0-3 (0-0),Over / Under,Over +2.50,2.00,,60,60.00,Win,Charlie Bryson,Football,2016-02-10 17:30:02
2016-02-07 14:30:00,England,Premier League,BOURNEMOUTH AFC vs ARSENAL FC,0-2 (0-2),Over / Under,Over +2.50,1.99,,60,-60.00,Lost,Charlie Bryson,Football,2016-02-07 12:42:02
2016-02-06 20:30:00,Spain,Liga BBVA,ATHLETIC BILBAO vs VILLARREAL CF,0-0 (0-0),Over / Under,Over +2.50,2.20,,80,-80.00,Lost,Charlie Bryson,Football,2016-02-05 17:09:05
2016-02-06 15:30:00,Germany,Bundesliga,HANNOVER 96 vs 1 FSV MAINZ 05,0-1 (0-1),Asian handicap,HANNOVER 96 +0,2.00,,60,-60.00,Lost,Charlie Bryson,Football,2016-02-04 17:48:04
2016-02-06 15:30:00,Germany,Bundesliga,EINTRACHT FRANKFURT vs VFB STUTTGART,2-4 (0-2),Over / Under,Over +3.50,2.60,,100,160.00,Win,Charlie Bryson,Football,2016-02-04 16:37:02
