Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-15 23:00:00,Peru,"Primera Division, Clausura",UNIVERSITARIO DE DEPORTES vs INTI GAS AYACUCHO,0-2 (0-1),Asian handicap,UNIVERSITARIO DE DEPORTES -1.25,2.06,,100,-100.00,Lost,Chris Tomas,Football,2016-05-15 15:56:05
2016-05-15 17:30:00,Sweden,Allsvenskan,FALKENBERGS FF vs BK HACKEN,1-4 (1-2),Match Odds,BK HACKEN,1.80,,100,80.00,Win,Chris Tomas,Football,2016-05-15 15:58:19
2016-05-08 17:00:00,Spain,Liga BBVA,SEVILLA FC vs GRANADA CF,1-4 (0-1),Asian handicap,GRANADA CF +0,1.81,,100,81.00,Win,Chris Tomas,Football,2016-05-06 20:46:02
2016-05-08 15:30:00,Germany,2. Bundesliga,FORTUNA DUSSELDORF vs FSV FRANKFURT,1-0 (0-0),Match Odds,FORTUNA DUSSELDORF,1.88,,100,88.00,Win,Chris Tomas,Football,2016-05-06 20:48:01
2016-05-08 07:00:00,South Korea,K-League Classic,FC SEOUL vs POHANG STEELERS FC,1-3 (0-2),Asian handicap,FC SEOUL -0.75,1.99,,100,-100.00,Lost,Chris Tomas,Football,2016-05-06 20:43:01
2016-05-07 15:30:00,Germany,Bundesliga,VFB STUTTGART vs 1 FSV MAINZ 05,1-3 (1-1),Asian handicap,1 FSV MAINZ 05 +0.50,1.82,,100,82.00,Win,Chris Tomas,Football,2016-05-06 20:49:02
2016-05-06 18:30:00,Germany,Regionalliga Bavaria,FC AMBERG vs WACKER BURGHAUSEN,0-2 (0-1),Asian handicap,FC AMBERG +0.25,1.84,,100,-100.00,Lost,Chris Tomas,Football,2016-05-06 11:28:01
2016-05-06 18:00:00,Denmark,Superliga,SONDERJYSKE vs ESBJERG FB,2-0 (1-0),Match Odds,SONDERJYSKE,1.67,,100,67.00,Win,Chris Tomas,Football,2016-05-06 11:26:02
2016-04-30 20:30:00,Belgium,Jupiler Pro League,KV KORTRIJK vs STANDARD LIEGE,1-0 (0-0),Match Odds,KV KORTRIJK,1.75,,100,75.00,Win,Chris Tomas,Football,2016-04-30 11:30:04
2016-04-30 17:00:00,France,Ligue 1,AS SAINT ETIENNE vs TOULOUSE FC,0-0 (0-0),Match Odds,AS SAINT ETIENNE,2.00,,100,-100.00,Lost,Chris Tomas,Football,2016-04-30 11:11:02
2016-04-30 16:30:00,Hungary,NB I,PUSKAS AKADEMIA vs BUDAPEST HONVED FC,2-1 (2-0),Match Odds,PUSKAS AKADEMIA,1.88,,100,88.00,Win,Chris Tomas,Football,2016-04-30 11:25:02
2016-04-30 16:00:00,England,Premier League,NEWCASTLE UNITED vs CRYSTAL PALACE,1-0 (0-0),Match Odds,NEWCASTLE UNITED,1.97,,100,97.00,Win,Chris Tomas,Football,2016-04-30 11:16:08
2016-04-30 15:30:00,Germany,Bundesliga,1899 HOFFENHEIM vs FC INGOLSTADT,2-1 (1-1),Match Odds,1899 HOFFENHEIM,1.86,,100,86.00,Win,Chris Tomas,Football,2016-04-29 16:42:02
2016-04-30 15:00:00,Czech Republic,1st Division,SK SIGMA OLOMOUC vs FK BAUMIT JABLONEC,2-1 (1-1),Match Odds,SK SIGMA OLOMOUC,1.91,,100,91.00,Win,Chris Tomas,Football,2016-04-30 11:33:03
2016-04-30 15:00:00,Turkey,Bank Asya 1. Lig,KAYSERI ERCIYESSPOR vs ADANA DEMIRSPOR,2-2 (0-0),Match Odds,ADANA DEMIRSPOR,1.80,,100,-100.00,Lost,Chris Tomas,Football,2016-04-29 17:05:02
2016-04-30 14:00:00,Germany,Regionalliga Southwest,BAHLINGER SC vs FC HOMBURG,1-3 (1-3),Match Odds,BAHLINGER SC,2.40,,100,-100.00,Lost,Chris Tomas,Football,2016-04-30 11:34:03
2016-04-30 14:00:00,Germany,3.Liga,HANSA ROSTOCK vs RW ERFURT,3-1 (2-1),Match Odds,HANSA ROSTOCK,1.87,,100,87.00,Win,Chris Tomas,Football,2016-04-30 11:28:03
2016-04-30 11:30:00,Australia,South Australia Premier League,RAIDERS vs ADELAIDE UNITED YOUTH FC,2-0,Match Odds,RAIDERS,3.40,,100,240.00,Win,Chris Tomas,Football,2016-04-29 16:54:01
2016-04-29 20:00:00,France,Ligue 2,STADE BREST vs EVIAN TG FC,0-2 (0-1),Match Odds,STADE BREST,2.40,,100,-100.00,Lost,Chris Tomas,Football,2016-04-29 17:04:02
2016-04-29 20:00:00,Netherlands,Jupiler League,FC OSS vs FC VOLENDAM,1-2 (1-0),Match Odds,FC VOLENDAM,1.95,,100,95.00,Win,Chris Tomas,Football,2016-04-29 17:00:04
2016-04-29 20:00:00,France,Ligue 2,US CRETEIL vs AC AJACCIO,2-2 (2-1),Match Odds,US CRETEIL,2.05,,100,-100.00,Lost,Chris Tomas,Football,2016-04-29 16:58:03
2016-04-29 19:00:00,Czech Republic,1st Division,1 SC ZNOJMO vs FOTBAL FRYDEK MISTEK,2-1 (1-1),Asian handicap,1 SC ZNOJMO -1.50,1.90,,100,-100.00,Lost,Chris Tomas,Football,2016-04-29 17:01:04
2016-04-29 19:00:00,Romania,"Liga 1,Relegation round",FC BOTOSANI vs CS VOLUNTARI,4-2 (2-1),Match Odds,FC BOTOSANI,1.83,,100,83.00,Win,Chris Tomas,Football,2016-04-29 16:57:02
2016-04-29 19:00:00,Turkey,Turkcell Super Lig,BURSASPOR vs GALATASARAY ISTANBUL,1-1 (1-0),Match Odds,BURSASPOR,2.39,,100,-100.00,Lost,Chris Tomas,Football,2016-04-26 14:40:04
2016-04-29 18:30:00,Germany,2. Bundesliga,SC PADERBORN vs SC FREIBURG,1-2 (0-0),Over / Under,Over +2.50,1.80,,100,80.00,Win,Chris Tomas,Football,2016-04-29 16:44:02
2016-04-26 20:30:00,Argentina,Primera B Nacional,ALMIRANTE BROWN vs UAI URQUIZA,0-2 (0-1),Match Odds,ALMIRANTE BROWN,2.05,,100,-100.00,Lost,Chris Tomas,Football,2016-04-26 14:38:04
2016-04-24 00:00:00,Colombia,Apertura I,CLUB CORTULUA vs ATLETICO NACIONAL MEDELLIN,2-0 (1-0),Match Odds,ATLETICO NACIONAL MEDELLIN,1.70,,100,-100.00,Lost,Chris Tomas,Football,2016-04-20 23:47:02
2016-04-23 17:00:00,Spain,Segunda B Group III,SD COMPOSTELA vs FC CORUXO,1-2,Match Odds,SD COMPOSTELA,2.03,,100,-100.00,Lost,Chris Tomas,Football,2016-04-22 17:12:04
2016-04-22 12:30:00,Australia,Victoria Premier League,PORT MELBOURNE SHARKS vs AVONDALE HEIGHTS SC,1-2,Match Odds,PORT MELBOURNE SHARKS,1.83,,100,-100.00,Lost,Chris Tomas,Football,2016-04-20 23:46:01
2016-04-19 20:45:00,England,League One,WALSALL FC vs SWINDON TOWN,1-1 (0-0),Asian handicap,WALSALL FC -1.00,2.06,,100,-100.00,Lost,Chris Tomas,Football,2016-04-19 00:15:02
2016-04-17 20:45:00,Italy,Serie A,SAMPDORIA GENOA vs AC MILAN,0-1 (0-0),Asian handicap,SAMPDORIA GENOA +0.25,1.89,,100,-100.00,Lost,Chris Tomas,Football,2016-04-14 15:39:02
2016-04-17 20:30:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",CA SAN LORENZO vs CA ROSARIO CENTRAL,2-1 (1-1),Match Odds,Draw,2.60,,100,-100.00,Lost,Chris Tomas,Football,2016-04-14 15:38:01
2016-04-15 02:45:00,Copa Libertadores,Copa Libertadores,DEPORTIVO CALI vs BOLIVAR LA PAZ,1-1 (1-0),Over / Under,Over +2.75,1.97,,100,-100.00,Lost,Chris Tomas,Football,2016-04-14 15:40:01
