Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-10 13:00:00,International Clubs,Club Friendly Games,AIK vs FC COPENHAGEN,0-1 (0-0),Asian handicap,FC COPENHAGEN -0.50,2.07,,100,107.00,Win,Daniel Larsen,Football,2016-02-10 11:00:03
2016-02-03 19:00:00,International Clubs,Club Friendly Games,OREBRO SK vs AGF AARHUS,0-1 (0-0),Asian handicap,AGF AARHUS -0.25,1.86,,100,86.00,Win,Daniel Larsen,Football,2016-02-03 11:00:03
2016-01-31 19:00:00,International Clubs,Club Friendly Games,KALMAR FF vs OREBRO SK,0-1 (0-1),Asian handicap,OREBRO SK +0,1.90,,100,90.00,Win,Daniel Larsen,Football,2016-01-31 13:19:05
2016-01-30 16:00:00,England,Skrill Premier,EASTLEIGH FC vs WREXHAM FC,1-1 (1-1),Asian handicap,EASTLEIGH FC -0.25,2.14,,100,-50.00,Half lost,Daniel Larsen,Football,2016-01-30 09:35:02
2016-01-30 15:00:00,International Clubs,Club Friendly Games,IFK GOTHENBURG vs SARPSBORG FK,,Asian handicap,IFK GOTHENBURG -0.50,1.78,,100,78.00,Win,Daniel Larsen,Football,2016-01-30 13:09:03
2016-01-30 14:00:00,International Clubs,Club Friendly Games,EINTRACHT BRAUNSCHWEIG vs HOBRO IK,2-1 (1-0),Asian handicap,EINTRACHT BRAUNSCHWEIG -1.25,2.08,,100,-50.00,Half lost,Daniel Larsen,Football,2016-01-30 12:40:03
2016-01-29 18:30:00,International Clubs,Club Friendly Games,MALMO FF vs BK FREMAD AMAGER,1-0 (0-0),Asian Handicap 1st Half,MALMO FF -1.00 Half time,1.90,,100,-100.00,Lost,Daniel Larsen,Football,2016-01-29 15:46:05
2016-01-29 17:30:00,Finland,Liigacup Group 1,KUOPIO PS vs SEINAJOEN JK,0-0 (0-0),Asian handicap,SEINAJOEN JK -0.50,1.80,,100,-100.00,Lost,Daniel Larsen,Football,2016-01-29 14:54:09
2016-01-23 16:00:00,England,League One,BURTON ALBION vs SHREWSBURY TOWN,1-2 (1-0),Asian handicap,BURTON ALBION -0.75,1.86,,100,-100.00,Lost,Daniel Larsen,Football,2016-01-23 11:33:06
2016-01-23 13:00:00,International Clubs,Club Friendly Games,KONGSVINGER IL vs VALERENGA IF,0-2 (0-1),Asian handicap,VALERENGA IF -0.75,1.88,,100,88.00,Win,Daniel Larsen,Football,2016-01-23 11:25:06
2016-01-16 16:00:00,England,League Two,PLYMOUTH ARGYLE vs STEVENAGE FC,3-2 (3-1),Asian handicap,PLYMOUTH ARGYLE -0.75,1.96,,100,48.00,Half win,Daniel Larsen,Football,2016-01-16 10:44:02
2016-01-12 20:45:00,England,Championship,DERBY COUNTY vs READING FC,1-1 (1-1),Asian handicap,DERBY COUNTY -0.75,1.94,,100,-100.00,Lost,Daniel Larsen,Football,2016-01-12 13:10:08
