Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 20:30:00,Spain,Liga BBVA,VALENCIA CF vs ESPANYOL BARCELONA,2-1 (0-0),Match Odds,VALENCIA CF,1.78,,80,62.40,Win,Eduardo Borrero,Football,2016-02-12 13:06:06
2016-02-13 16:00:00,Spain,Liga BBVA,REAL MADRID vs ATHLETIC BILBAO,4-2 (3-1),Asian handicap,REAL MADRID -1.50,1.86,,80,68.80,Win,Eduardo Borrero,Football,2016-02-12 12:14:02
2016-02-12 20:30:00,Spain,Liga BBVA,SPORTING GIJON vs RAYO VALLECANO,2-2 (2-1),Asian handicap,RAYO VALLECANO +0.25,1.85,,80,34.00,Half win,Eduardo Borrero,Football,2016-02-12 09:55:02
2016-02-07 20:30:00,Spain,Liga BBVA,GRANADA CF vs REAL MADRID,1-2 (0-1),Asian handicap,REAL MADRID -2.00,2.25,,80,-80.00,Lost,Eduardo Borrero,Football,2016-02-06 11:40:02
2016-02-07 18:15:00,Spain,Liga BBVA,CELTA DE VIGO vs SEVILLA FC,1-1 (0-1),Match Odds,SEVILLA FC,2.40,,80,-80.00,Lost,Eduardo Borrero,Football,2016-02-06 11:57:01
2016-02-07 12:00:00,Spain,Liga BBVA,LEVANTE UD vs FC BARCELONA,0-2 (0-1),Asian handicap,FC BARCELONA -2.50,2.35,,80,-80.00,Lost,Eduardo Borrero,Football,2016-02-06 11:24:05
2016-02-06 20:30:00,Spain,Liga BBVA,ATHLETIC BILBAO vs VILLARREAL CF,0-0 (0-0),Asian handicap,VILLARREAL CF +0.50,2.13,,80,90.40,Win,Eduardo Borrero,Football,2016-02-06 11:09:04
2016-02-06 18:15:00,Spain,Liga BBVA,RAYO VALLECANO vs LAS PALMAS UD,2-0 (1-0),Match Odds,RAYO VALLECANO,1.95,,80,76.00,Win,Eduardo Borrero,Football,2016-02-06 11:00:08
2016-02-06 16:00:00,Spain,Liga BBVA,ATLETICO MADRID vs SD EIBAR,3-1 (0-0),Asian handicap,ATLETICO MADRID -1.50,2.29,,80,103.20,Win,Eduardo Borrero,Football,2016-02-05 19:36:02
2016-02-01 20:30:00,Spain,Liga BBVA,DEPORTIVO LA CORUNA vs RAYO VALLECANO,2-2 (1-2),Match Odds,DEPORTIVO LA CORUNA,1.95,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-31 19:05:06
2016-01-31 20:30:00,Spain,Liga BBVA,REAL MADRID vs ESPANYOL BARCELONA,6-0 (4-0),Asian handicap,REAL MADRID -4.00,4.00,,100,300.00,Win,Eduardo Borrero,Football,2016-01-31 18:29:02
2016-01-31 16:00:00,Spain,Liga BBVA,VALENCIA CF vs SPORTING GIJON,0-1 (0-0),Match Odds,VALENCIA CF,1.73,,100,-100.00,Lost,Eduardo Borrero,Football,2016-01-31 13:54:07
2016-01-31 12:00:00,Spain,Liga BBVA,SEVILLA FC vs LEVANTE UD,3-1 (1-0),Asian handicap,SEVILLA FC -1.50,2.14,,100,114.00,Win,Eduardo Borrero,Football,2016-01-30 20:44:02
2016-01-30 22:05:00,Spain,Liga BBVA,REAL SOCIEDAD vs BETIS SEVILLA,2-1 (2-0),Asian handicap,BETIS SEVILLA +0.50,2.29,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-30 20:01:02
2016-01-30 18:15:00,Spain,Liga BBVA,SD EIBAR vs MALAGA CF,1-2 (0-1),Asian handicap,SD EIBAR +0,1.77,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-28 09:00:03
2016-01-30 16:00:00,Spain,Liga BBVA,FC BARCELONA vs ATLETICO MADRID,2-1 (2-1),Asian handicap,FC BARCELONA -1.00,1.88,,80,0.00,Void,Eduardo Borrero,Football,2016-01-28 08:58:02
2016-01-24 20:30:00,Spain,Liga BBVA,BETIS SEVILLA vs REAL MADRID,1-1 (1-0),Asian handicap,REAL MADRID -2.25,2.65,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-22 20:30:03
2016-01-24 16:00:00,Spain,Liga BBVA,ATLETICO MADRID vs SEVILLA FC,0-0 (0-0),Asian handicap,ATLETICO MADRID -1.00,2.23,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-22 20:25:02
2016-01-23 18:15:00,Spain,Liga BBVA,ESPANYOL BARCELONA vs VILLARREAL CF,2-2 (2-1),Asian handicap,VILLARREAL CF +0,1.86,,80,0.00,Void,Eduardo Borrero,Football,2016-01-22 20:22:02
2016-01-23 16:00:00,Spain,Liga BBVA,MALAGA CF vs FC BARCELONA,1-2 (1-1),Asian handicap,FC BARCELONA -1.50,2.16,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-22 20:17:02
2016-01-18 20:30:00,Spain,Liga BBVA,SD EIBAR vs GRANADA CF,5-1 (2-0),Match Odds,SD EIBAR,1.80,,80,64.00,Win,Eduardo Borrero,Football,2016-01-17 21:08:02
2016-01-17 20:30:00,Spain,Liga BBVA,FC BARCELONA vs ATHLETIC BILBAO,6-0 (2-0),Asian handicap,FC BARCELONA -2.50,2.33,,80,106.40,Win,Eduardo Borrero,Football,2016-01-17 13:07:06
2016-01-17 18:15:00,Spain,Liga BBVA,LAS PALMAS UD vs ATLETICO MADRID,0-3 (0-1),Asian handicap,ATLETICO MADRID -1.50,3.00,,80,160.00,Win,Eduardo Borrero,Football,2016-01-17 13:04:03
2016-01-17 16:00:00,Spain,Liga BBVA,REAL MADRID vs SPORTING GIJON,5-1 (5-0),Asian handicap,REAL MADRID -3.50,2.39,,80,111.20,Win,Eduardo Borrero,Football,2016-01-15 11:09:03
2016-01-17 12:00:00,Spain,Liga BBVA,VALENCIA CF vs RAYO VALLECANO,2-2 (0-1),Asian handicap,VALENCIA CF -1.00,2.07,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-15 11:14:02
2016-01-16 22:05:00,Spain,Liga BBVA,REAL SOCIEDAD vs DEPORTIVO LA CORUNA,1-1 (0-1),Asian handicap,DEPORTIVO LA CORUNA +0.50,1.96,,80,76.80,Win,Eduardo Borrero,Football,2016-01-15 11:08:03
2016-01-16 16:00:00,Spain,Liga BBVA,SEVILLA FC vs MALAGA CF,2-1 (2-0),Asian handicap,MALAGA CF +1.00,1.81,,80,0.00,Void,Eduardo Borrero,Football,2016-01-13 19:59:04
2016-01-10 20:30:00,Spain,Liga BBVA,CELTA DE VIGO vs ATLETICO MADRID,0-2 (0-0),Match Odds,CELTA DE VIGO,1.92,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-10 12:35:03
2016-01-10 18:15:00,Spain,Liga BBVA,SD EIBAR vs ESPANYOL BARCELONA,2-1 (1-1),Match Odds,SD EIBAR,2.04,,80,83.20,Win,Eduardo Borrero,Football,2016-01-08 13:31:05
2016-01-10 16:00:00,Spain,Liga BBVA,REAL SOCIEDAD vs VALENCIA CF,2-0 (0-0),Asian handicap,VALENCIA CF +0.25,2.00,,80,-80.00,Lost,Eduardo Borrero,Football,2016-01-08 13:29:01
