Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-09 17:00:00,Finland,Veikkausliiga,HIFK vs ROVANIEMI PALLOSEURA,1-1 (1-0),Match Odds,ROVANIEMI PALLOSEURA,2.77,,100,-100.00,Lost,El Dorado,Football,2016-05-09 12:47:01
2016-05-09 17:00:00,Finland,Veikkausliiga,FC INTER TURKU vs IFK MARIEHAMN,0-2 (0-1),Match Odds,IFK MARIEHAMN,3.44,,100,244.00,Win,El Dorado,Football,2016-05-09 12:29:02
2016-05-08 20:30:00,Peru,"Primera Division, Apertura",DEFENSOR LA BOCANA vs SPORTING CRISTAL,2-1 (1-1),Match Odds,SPORTING CRISTAL,2.55,,100,-100.00,Lost,El Dorado,Football,2016-05-08 15:58:02
2016-05-08 20:00:00,Spain,Liga Adelante,CORDOBA CF vs GIRONA FC,1-0 (0-0),Match Odds,GIRONA FC,3.08,,100,-100.00,Lost,El Dorado,Football,2016-05-08 14:47:03
2016-05-08 18:30:00,Ecuador,"Serie A, Primera Etapa",LIGA DEP UNIVERSITARIA QUITO vs BARCELONA GUAYAQUIL,2-1 (0-1),Match Odds,BARCELONA GUAYAQUIL,4.80,,100,-100.00,Lost,El Dorado,Football,2016-05-08 13:49:12
2016-05-07 21:00:00,Colombia,Apertura I,FORTALEZA FC vs BOYACA PATRIOTAS,3-2 (0-0),Match Odds,BOYACA PATRIOTAS,2.91,,100,-100.00,Lost,El Dorado,Football,2016-05-07 02:59:02
2016-05-07 18:30:00,Russia,Premier League,FC RUBIN KAZAN vs FC KRASNODAR,1-1 (1-0),Match Odds,FC KRASNODAR,2.14,,100,-100.00,Lost,El Dorado,Football,2016-05-07 02:55:02
2016-05-07 17:00:00,Morocco,Botola Pro,KAC KENITRA vs AS FAR RABAT,0-2 (0-1),Match Odds,AS FAR RABAT,3.55,,100,255.00,Win,El Dorado,Football,2016-05-07 04:56:01
2016-05-07 17:00:00,Czech Republic,1st Division,MAS TABORSKO vs 1 SC ZNOJMO,2-1 (1-0),Match Odds,1 SC ZNOJMO,2.08,,100,-100.00,Lost,El Dorado,Football,2016-05-07 02:51:01
2016-05-04 12:00:00,Japan,League 1,VENTFORET KOFU vs KASHIWA REYSOL,0-2 (0-1),Match Odds,KASHIWA REYSOL,2.18,,100,118.00,Win,El Dorado,Football,2016-05-04 04:36:02
2016-05-04 07:00:00,Japan,League 1,AVISPA FUKUOKA vs OMIYA ARDIJA,1-2 (0-1),Match Odds,OMIYA ARDIJA,2.55,,100,155.00,Win,El Dorado,Football,2016-05-04 04:34:03
2016-05-03 02:05:00,Argentina,Primera B Nacional,DOUGLAS HAIG vs CA TALLERES,0-1 (0-1),Match Odds,CA TALLERES,2.25,,100,125.00,Win,El Dorado,Football,2016-05-02 21:11:02
2016-05-03 00:00:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",CA TIGRE vs ATLETICO LANUS,0-1 (0-1),Match Odds,ATLETICO LANUS,2.14,,100,114.00,Win,El Dorado,Football,2016-05-01 06:00:03
2016-05-02 19:00:00,Turkey,Turkcell Super Lig,KASIMPASA vs OSMANLISPOR FK,1-1 (1-1),Match Odds,OSMANLISPOR FK,2.75,,100,-100.00,Lost,El Dorado,Football,2016-05-01 05:57:02
2016-05-02 19:00:00,Sweden,Allsvenskan,KALMAR FF vs OREBRO SK,3-2 (1-1),Match Odds,OREBRO SK,3.45,,100,-100.00,Lost,El Dorado,Football,2016-05-01 05:52:02
2016-05-01 13:00:00,England,Premier League,SWANSEA CITY vs LIVERPOOL FC,3-1 (2-0),Match Odds,LIVERPOOL FC,2.40,,100,-100.00,Lost,El Dorado,Football,2016-05-01 05:48:02
2016-05-01 00:00:00,Colombia,Apertura I,ENVIGADO FC vs MILLONARIOS FC,2-0 (1-0),Match Odds,MILLONARIOS FC,2.27,,100,-100.00,Lost,El Dorado,Football,2016-04-30 07:17:01
2016-04-30 19:30:00,Portugal,Liga Sagres,FC PORTO vs SPORTING CP,1-3 (1-2),Match Odds,SPORTING CP,2.47,,100,147.00,Win,El Dorado,Football,2016-04-30 07:15:02
2016-04-30 18:00:00,Norway,Eliteserien,MOLDE FK vs AALESUNDS FK,1-0 (0-0),Asian handicap,MOLDE FK -1.50,2.05,,100,-100.00,Lost,El Dorado,Football,2016-04-30 07:11:03
2016-04-30 17:00:00,Portugal,Liga Sagres,CF OS BELENENSES vs FC PACOS FERREIRA,0-2 (0-1),Match Odds,FC PACOS FERREIRA,2.80,,100,180.00,Win,El Dorado,Football,2016-04-30 07:03:02
2016-04-30 16:00:00,England,Premier League,WEST BROMWICH ALBION vs WEST HAM UNITED,0-3 (0-2),Match Odds,WEST HAM UNITED,2.10,,100,110.00,Win,El Dorado,Football,2016-04-30 07:00:03
2016-04-30 14:00:00,Germany,3.Liga,ENERGIE COTTBUS vs FC KICKERS WURZBURG,1-2 (1-0),Match Odds,FC KICKERS WURZBURG,2.25,,100,125.00,Win,El Dorado,Football,2016-04-30 06:56:02
2016-04-27 01:10:00,Paraguay,Primera Division,GENERAL DIAZ vs SOL DE AMERICA,2-1 (1-1),Match Odds,SOL DE AMERICA,2.00,,100,-100.00,Lost,El Dorado,Football,2016-04-26 23:52:02
2016-04-24 20:00:00,Chile,"Primera Division, Clausura",COBRESAL vs O'HIGGINS FC,2-3 (1-1),Match Odds,O'HIGGINS FC,2.29,,100,129.00,Win,El Dorado,Football,2016-04-24 14:11:04
2016-04-24 11:00:00,Japan,League 1,SHONAN BELLMARE vs OMIYA ARDIJA,0-1 (0-0),Match Odds,OMIYA ARDIJA,3.01,,100,201.00,Win,El Dorado,Football,2016-04-21 17:44:02
2016-04-24 07:00:00,South Korea,K-League Classic,ULSAN HYUNDAI vs FC SEOUL,1-2 (1-1),Match Odds,FC SEOUL,2.44,,100,144.00,Win,El Dorado,Football,2016-04-23 12:21:04
2016-04-24 03:30:00,Mexico,"Primera Division, Clausura",ATLAS vs LEON,1-1 (1-0),Match Odds,LEON,2.25,Bwin,100,-100.00,Lost,El Dorado,Football,2016-04-23 12:19:03
2016-04-24 03:00:00,Peru,"Primera Division, Apertura",UNIVERSIDAD CESAR VALLEJO vs UNIVERSITARIO DE DEPORTES,0-2 (0-0),Match Odds,UNIVERSITARIO DE DEPORTES,3.30,,100,230.00,Win,El Dorado,Football,2016-04-23 12:14:04
2016-04-24 02:00:00,Colombia,Apertura I,ATLETICO BUCARAMANGA vs MILLONARIOS FC,1-1 (0-0),Match Odds,MILLONARIOS FC,2.54,,100,-100.00,Lost,El Dorado,Football,2016-04-23 12:11:01
2016-04-24 01:45:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",GIMNASIA Y ESGRIMA vs ESTUDIANTES DE LA PLATA,0-0 (0-0),Match Odds,ESTUDIANTES DE LA PLATA,3.15,,100,-100.00,Lost,El Dorado,Football,2016-04-23 12:06:02
2016-04-23 18:30:00,Germany,Bundesliga,FC SCHALKE 04 vs BAYER LEVERKUSEN,2-3 (2-0),Match Odds,BAYER LEVERKUSEN,2.30,,100,130.00,Win,El Dorado,Football,2016-04-23 11:45:04
2016-04-23 16:00:00,England,League One,PETERBOROUGH UNITED vs SCUNTHORPE UNITED,0-2 (0-0),Match Odds,SCUNTHORPE UNITED,2.70,,100,170.00,Win,El Dorado,Football,2016-04-23 11:39:06
2016-04-23 15:30:00,Norway,Eliteserien,STROMSGODSET vs BODO/GLIMT,2-0 (1-0),Asian handicap,STROMSGODSET IF -1.50,2.18,,100,118.00,Win,El Dorado,Football,2016-04-23 11:57:02
2016-04-20 19:45:00,Switzerland,Axpo Super League,FC ST. GALLEN vs FC SION,2-1 (0-0),Match Odds,FC SION,2.07,,100,-100.00,Lost,El Dorado,Football,2016-04-20 18:39:06
2016-04-20 19:00:00,Denmark,Viasat Sport Divisionen,VENDSYSSEL FF vs AC HORSENS,0-3 (0-2),Match Odds,AC HORSENS,2.88,,100,188.00,Win,El Dorado,Football,2016-04-20 17:58:02
2016-04-14 16:00:00,Turkey,Bank Asya 1. Lig,KARSIYAKA vs GIRESUNSPOR,2-1 (2-0),Match Odds,GIRESUNSPOR,2.21,,100,-100.00,Lost,El Dorado,Football,2016-04-12 07:46:02
2016-04-13 16:00:00,Turkey,Bank Asya 1. Lig,ALTINORDU vs BALIKESIRSPOR,0-0 (0-0),Match Odds,BALIKESIRSPOR,3.00,,100,-100.00,Lost,El Dorado,Football,2016-04-12 07:45:02
2016-04-12 17:30:00,Turkey,Bank Asya 1. Lig,BOLUSPOR vs ADANASPOR,1-2 (1-1),Match Odds,ADANASPOR,2.36,,100,136.00,Win,El Dorado,Football,2016-04-12 07:43:02
2016-04-11 20:45:00,England,Championship,NOTTINGHAM FOREST vs BRIGHTON & HOVE ALBION FC,1-2 (0-1),Match Odds,BRIGHTON & HOVE ALBION FC,2.15,,100,115.00,Win,El Dorado,Football,2016-04-11 14:54:02
2016-04-11 17:00:00,Russia,Premier League,FC KRYLIYA SOVETOV SAMARA vs FC LOKOMOTIV MOSCOW,0-0 (0-0),Match Odds,FC LOKOMOTIV MOSCOW,2.30,,100,-100.00,Lost,El Dorado,Football,2016-04-11 14:52:02
2016-04-10 20:45:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",CA BANFIELD vs ATLETICO LANUS,0-2 (0-1),Match Odds,ATLETICO LANUS,2.40,,100,140.00,Win,El Dorado,Football,2016-04-10 10:42:10
2016-04-10 17:30:00,Sweden,Allsvenskan,KALMAR FF vs IF ELFSBORG,3-2 (3-0),Match Odds,IF ELFSBORG,2.25,,100,-100.00,Lost,El Dorado,Football,2016-04-10 10:28:04
2016-04-10 17:30:00,Germany,Bundesliga,1 FC COLOGNE vs BAYER LEVERKUSEN,0-2 (0-2),Match Odds,BAYER LEVERKUSEN,2.50,,100,150.00,Win,El Dorado,Football,2016-04-10 10:26:09
2016-04-10 12:00:00,Japan,League 1,KASHIWA REYSOL vs FC TOKYO,1-0 (0-0),Match Odds,FC TOKYO,2.60,,100,-100.00,Lost,El Dorado,Football,2016-04-10 10:23:04
2016-04-09 19:30:00,Romania,"Liga 1, Championship round",FC VIITORUL CONSTANTA vs AFC ASTRA GIURGIU,1-3 (0-1),Match Odds,AFC ASTRA GIURGIU,2.70,,100,170.00,Win,El Dorado,Football,2016-04-09 14:17:02
2016-04-09 17:00:00,Czech Republic,1st Division,FC BANIK OSTRAVA vs 1 FC SLOVACKO,2-1 (1-0),Match Odds,1 FC SLOVACKO,2.20,,100,-100.00,Lost,El Dorado,Football,2016-04-09 14:13:06
2016-04-09 16:00:00,England,League Two,YEOVIL TOWN vs EXETER CITY,0-2 (0-1),Match Odds,EXETER CITY,2.40,,100,140.00,Win,El Dorado,Football,2016-04-09 14:11:05
