Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 20:30:00,Spain,Liga BBVA,VALENCIA CF vs ESPANYOL BARCELONA,2-1 (0-0),Match Odds,VALENCIA CF,1.83,,100,83.00,Win,Eli Pickard,Football,2016-02-11 13:40:01
2016-02-13 18:30:00,England,Premier League,CHELSEA FC vs NEWCASTLE UNITED,5-1 (3-0),Asian handicap,CHELSEA FC -1.00,1.78,,100,78.00,Win,Eli Pickard,Football,2016-02-11 13:36:02
2016-02-12 21:30:00,Portugal,Liga Sagres,BENFICA LISBON vs FC PORTO,1-2 (1-1),Asian handicap,FC PORTO +0.50,1.76,,100,76.00,Win,Eli Pickard,Football,2016-02-11 13:42:06
2016-02-07 17:30:00,Germany,Bundesliga,1899 HOFFENHEIM vs SV DARMSTADT 98,0-2 (0-1),Match Odds,1899 HOFFENHEIM,2.06,,100,-100.00,Lost,Eli Pickard,Football,2016-02-07 13:08:01
2016-02-07 16:00:00,Spain,Liga BBVA,BETIS SEVILLA vs VALENCIA CF,1-0 (0-0),Draw no bet,VALENCIA CF,1.95,,100,-100.00,Lost,Eli Pickard,Football,2016-02-07 12:55:02
2016-02-07 14:30:00,England,Premier League,BOURNEMOUTH AFC vs ARSENAL FC,0-2 (0-2),Match Odds,ARSENAL FC,1.94,,100,94.00,Win,Eli Pickard,Football,2016-02-07 12:52:04
2016-02-03 20:45:00,Italy,Serie A,HELLAS VERONA vs ATALANTA BERGAMASCA,2-1 (1-1),Match Odds,HELLAS VERONA,2.45,,100,145.00,Win,Eli Pickard,Football,2016-02-03 12:38:02
2016-02-03 20:45:00,Italy,Serie A,LAZIO ROMA vs SSC NAPOLI,0-2 (0-2),Asian handicap,LAZIO ROMA +0.50,2.05,,100,-100.00,Lost,Eli Pickard,Football,2016-02-03 12:36:05
2016-02-03 20:45:00,England,Premier League,EVERTON FC vs NEWCASTLE UNITED,3-0 (1-0),Asian handicap,EVERTON FC -1.00,2.12,,100,112.00,Win,Eli Pickard,Football,2016-02-03 12:33:02
2016-02-03 20:45:00,England,Premier League,WATFORD FC vs CHELSEA FC,0-0 (0-0),Asian handicap,WATFORD FC +0.50,2.04,,100,104.00,Win,Eli Pickard,Football,2016-02-03 12:31:02
2016-02-02 20:45:00,England,Premier League,LEICESTER CITY vs LIVERPOOL FC,2-0 (0-0),Both team to score,Yes,1.83,,100,-100.00,Lost,Eli Pickard,Football,2016-02-01 19:03:02
2016-02-02 20:45:00,England,Premier League,ARSENAL FC vs SOUTHAMPTON FC,0-0 (0-0),Match Odds,ARSENAL FC,1.83,,100,-100.00,Lost,Eli Pickard,Football,2016-02-01 18:59:01
2016-01-30 19:30:00,Portugal,Liga Sagres,GD ESTORIL PRAIA vs FC PORTO,1-3 (1-2),Asian handicap,FC PORTO -1.50,2.30,,100,130.00,Win,Eli Pickard,Football,2016-01-30 13:59:02
2016-01-30 16:00:00,England,FA Cup,CRYSTAL PALACE vs STOKE CITY,1-0 (1-0),Match Odds,CRYSTAL PALACE,2.09,,100,109.00,Win,Eli Pickard,Football,2016-01-30 14:03:16
2016-01-28 20:45:00,Netherlands,Eredivisie,FEYENOORD ROTTERDAM vs SC HEERENVEEN,1-2 (0-1),Asian handicap,FEYENOORD ROTTERDAM -1.50,2.11,,100,-100.00,Lost,Eli Pickard,Football,2016-01-28 15:56:03
2016-01-24 15:00:00,Italy,Serie A,SAMPDORIA GENOA vs SSC NAPOLI,2-4 (1-2),Asian handicap,SAMPDORIA GENOA +0.50,2.50,,80,-80.00,Lost,Eli Pickard,Football,2016-01-24 13:13:06
2016-01-23 16:00:00,England,Premier League,SUNDERLAND AFC vs BOURNEMOUTH AFC,1-1 (1-1),Both team to score,Yes,1.83,,100,83.00,Win,Eli Pickard,Football,2016-01-23 12:24:04
2016-01-23 16:00:00,England,Premier League,MANCHESTER UNITED vs SOUTHAMPTON FC,0-1 (0-0),Match Odds,MANCHESTER UNITED,1.93,,100,-100.00,Lost,Eli Pickard,Football,2016-01-23 12:17:03
2016-01-23 16:00:00,England,Premier League,WATFORD FC vs NEWCASTLE UNITED,2-1 (0-0),Match Odds,WATFORD FC,2.11,,100,111.00,Win,Eli Pickard,Football,2016-01-21 17:04:02
2016-01-23 15:30:00,Germany,Bundesliga,1899 HOFFENHEIM vs BAYER LEVERKUSEN,1-1 (1-0),Both team to score,Yes,1.73,,100,69.35,Win,Eli Pickard,Football,2016-01-23 12:19:06
2016-01-22 20:00:00,Netherlands,Eredivisie,FC GRONINGEN vs NEC NIJMEGEN,0-0 (0-0),Match Odds,FC GRONINGEN,2.26,,100,-100.00,Lost,Eli Pickard,Football,2016-01-22 14:28:02
2016-01-17 20:45:00,Italy,Serie A,AC MILAN vs AC FIORENTINA,2-0 (1-0),Match Odds,AC MILAN,2.54,,100,154.00,Win,Eli Pickard,Football,2016-01-17 13:41:02
2016-01-17 15:00:00,Italy,Serie A,AS ROMA vs HELLAS VERONA,1-1 (1-0),Asian handicap,AS ROMA -1.50,1.99,,100,-100.00,Lost,Eli Pickard,Football,2016-01-17 13:44:01
2016-01-09 20:30:00,Spain,Liga BBVA,REAL MADRID vs DEPORTIVO LA CORUNA,5-0 (2-0),Asian handicap,REAL MADRID -2.50,2.03,,100,103.00,Win,Eli Pickard,Football,2016-01-09 10:13:01
2016-01-03 14:15:00,France,Coupe de France,LIMOGES FC vs OLYMPIQUE LYON,0-7 (0-2),Asian handicap,OLYMPIQUE LYON -2.00,2.05,,100,105.00,Win,Eli Pickard,Football,2016-01-03 12:15:01
2015-12-29 20:45:00,England,Championship,FULHAM FC vs ROTHERHAM UNITED,4-1 (2-1),Match Odds,FULHAM FC,2.08,,100,108.00,Win,Eli Pickard,Football,2015-12-29 13:27:02
2015-12-28 18:30:00,England,Premier League,ARSENAL FC vs BOURNEMOUTH AFC,2-0 (1-0),Asian handicap,ARSENAL FC -1.00,1.89,,100,89.00,Win,Eli Pickard,Football,2015-12-28 13:57:02
2015-12-28 16:00:00,England,Premier League,NORWICH CITY vs ASTON VILLA,2-0 (1-0),Both team to score,Yes,1.85,,100,-100.00,Lost,Eli Pickard,Football,2015-12-28 13:59:02
2015-12-26 16:00:00,England,Premier League,SWANSEA CITY vs WEST BROMWICH ALBION,1-0 (1-0),Match Odds,SWANSEA CITY,2.05,,100,105.00,Win,Eli Pickard,Football,2015-12-24 13:08:02
2015-12-26 16:00:00,England,Premier League,LIVERPOOL FC vs LEICESTER CITY,1-0 (0-0),Match Odds,LIVERPOOL FC,1.98,,100,98.00,Win,Eli Pickard,Football,2015-12-24 13:04:02
2015-12-22 16:45:00,Qatar,Stars League,LEKHWIYA SC vs AL GHARAFA SC,4-0 (0-0),Asian handicap,LEKHWIYA SC -1.50,2.05,,100,105.00,Win,Eli Pickard,Football,2015-12-22 12:49:03
2015-12-21 21:00:00,England,Premier League,ARSENAL FC vs MANCHESTER CITY,2-1 (2-0),Match Odds,Draw,3.57,,60,-60.00,Lost,Eli Pickard,Football,2015-12-21 16:16:02
2015-12-20 18:00:00,Italy,Serie A,FROSINONE CALCIO vs AC MILAN,2-4 (1-0),Match Odds,AC MILAN,1.78,,100,78.00,Win,Eli Pickard,Football,2015-12-19 20:32:02
2015-12-20 17:00:00,England,Premier League,SWANSEA CITY vs WEST HAM UNITED,0-0 (0-0),Match Odds,SWANSEA CITY,2.15,,100,-100.00,Lost,Eli Pickard,Football,2015-12-19 20:30:02
