Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 20:45:00,Italy,Serie A,JUVENTUS TURIN vs SSC NAPOLI,1-0 (0-0),Match Odds,JUVENTUS TURIN,2.19,,100,119.00,Win,Francesco Alinari,Football,2016-02-11 10:42:05
2016-02-13 18:00:00,Italy,Serie A,AC CHIEVO VERONA vs US SASSUOLO,1-1 (1-1),Match Odds,Draw,3.15,,100,215.00,Win,Francesco Alinari,Football,2016-02-13 11:54:02
2016-02-13 16:00:00,Scotland,Premier League,CELTIC FC vs ROSS COUNTY FC,2-0 (1-0),Asian Handicap 1st Half,CELTIC FC -1.50 Half time,3.00,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-13 11:27:02
2016-02-13 15:00:00,Italy,Serie B,TERNANA CALCIO vs SPORTIVA SALERNITANA,4-0 (3-0),Match Odds,TERNANA CALCIO,1.85,,100,85.00,Win,Francesco Alinari,Football,2016-02-13 14:44:02
2016-02-13 15:00:00,Italy,Serie B,VIRTUS ENTELLA vs TRAPANI CALCIO,4-0 (1-0),Match Odds,Draw,3.10,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-13 14:28:02
2016-02-13 15:00:00,Italy,Serie B,COMO CALCIO vs NOVARA CALCIO,1-1 (0-0),Match Odds,NOVARA CALCIO,2.58,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-13 09:50:02
2016-02-13 09:30:00,Australia,Hyundai A-League,MELBOURNE CITY FC vs MELBOURNE VICTORY,2-2 (2-1),Over / Under 1st Half,Over +1.50 Half time,2.25,,100,125.00,Win,Francesco Alinari,Football,2016-02-11 10:44:01
2016-02-12 20:45:00,Italy,Serie A,CARPI FC vs AS ROMA,1-3 (0-0),Match Odds,AS ROMA,1.97,,100,97.00,Win,Francesco Alinari,Football,2016-02-11 10:42:02
2016-02-12 20:30:00,France,National,RACING STRASBOURG vs SEDAN-ARDENNES,2-0 (1-0),Asian handicap,RACING STRASBOURG -1.50,3.10,,100,210.00,Win,Francesco Alinari,Football,2016-02-12 17:33:01
2016-02-12 20:30:00,Germany,Bundesliga,1 FSV MAINZ 05 vs FC SCHALKE 04,2-1 (1-0),Match Odds,FC SCHALKE 04,2.53,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-12 17:29:04
2016-02-12 20:00:00,France,Ligue 2,CHAMOIS NIORT FC vs STADE BREST,1-2 (1-1),Match Odds,Draw,3.04,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-12 17:28:15
2016-02-12 20:00:00,France,Ligue 2,PARIS FC 98 vs OLYMPIQUE NIMES,0-0 (0-0),Match Odds,Draw,3.13,,100,213.00,Win,Francesco Alinari,Football,2016-02-12 17:26:03
2016-02-12 19:00:00,Turkey,Turkcell Super Lig,FENERBAHCE vs KASIMPASA,3-1 (2-0),Asian handicap,FENERBAHCE -1.50,2.52,,100,152.00,Win,Francesco Alinari,Football,2016-02-12 17:25:08
2016-02-12 10:00:00,Australia,Hyundai A-League,BRISBANE ROAR FC vs NEWCASTLE UNITED JETS FC,2-2 (1-2),Asian Handicap 1st Half,BRISBANE ROAR FC -1.00 Half time,3.00,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-12 09:30:02
2016-02-11 19:45:00,Turkey,Turkish Cup,BASAKSEHIR FK vs CAYKUR RIZESPOR,0-2 (0-1),Over / Under,Over +2.50,1.87,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-11 09:33:02
2016-02-11 18:45:00,Egypt,Premier League,AL MOQAWLOON AL ARAB vs EL DAKLYEH,3-1 (1-0),Match Odds,Draw,3.00,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-11 10:28:02
2016-02-11 16:00:00,Egypt,Premier League,EL-ENTAG EL-HARBY vs ISMAILY SC,3-0 (0-0),Match Odds,Draw,3.00,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-11 10:27:02
2016-02-11 15:00:00,Italy,"Coppa Italia Lega Pro, Final Round",ROBUR SIENA vs TERAMO CALCIO,1-0 (0-0),Match Odds,Draw,3.90,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-11 09:12:02
2016-02-11 13:30:00,Egypt,Premier League,ASWAN FC vs AL ITTIHAD AL SAKANDARY,1-0 (1-0),Match Odds,Draw,3.05,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-11 10:26:01
2016-02-10 21:00:00,Spain,Copa del Rey,VALENCIA CF vs FC BARCELONA,1-1 (1-0),Match Odds 1st Half,FC BARCELONA Half time,2.56,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-10 11:34:01
2016-02-10 19:00:00,France,Coupe de France,FC GIRONDINS BORDEAUX vs FC NANTES,2-2 (1-1),Match Odds,Draw,3.20,,100,220.00,Win,Francesco Alinari,Football,2016-02-10 16:51:03
2016-02-10 18:45:00,Portugal,Carlsberg Cup,CS MARITIMO MADEIRA vs PORTIMONENSE SC,3-1 (2-1),Match Odds,Draw,3.64,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-10 09:54:01
2016-02-10 15:00:00,Italy,"Coppa Italia Lega Pro, Final Round",US CREMONESE vs ALESSANDRIA CALCIO,2-1 (1-1),Match Odds,Draw,3.30,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-10 09:42:02
2016-02-10 14:00:00,Italy,"Coppa Italia Lega Pro, Final Round",AKRAGAS vs US FOGGIA,4-5 (1-0),Match Odds,Draw,3.60,,100,260.00,Win,Francesco Alinari,Football,2016-02-10 09:40:04
2016-02-07 20:45:00,Italy,Serie A,AS ROMA vs SAMPDORIA GENOA,2-1 (1-0),Asian handicap,AS ROMA -1.50,2.49,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-07 17:16:02
2016-02-07 20:30:00,Spain,Liga BBVA,GRANADA CF vs REAL MADRID,1-2 (0-1),Asian handicap,REAL MADRID -2.50,2.95,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-07 12:18:06
2016-02-07 15:00:00,Italy,Serie A,AC MILAN vs UDINESE CALCIO,1-1 (0-1),Asian handicap,AC MILAN -1.50,2.57,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-07 09:35:01
2016-02-07 12:30:00,Italy,Serie A,HELLAS VERONA vs INTER MILAN,3-3 (2-1),Over / Under 1st Half,Under +0.50 Half time,3.04,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-07 09:33:03
2016-02-07 07:00:00,Australia,Hyundai A-League,NEWCASTLE UNITED JETS FC vs MELBOURNE CITY FC,2-1 (0-0),Match Odds 1st Half,MELBOURNE CITY FC Half time,2.20,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-07 01:00:07
2016-02-06 15:00:00,Italy,Serie B,AS LIVORNO vs TERNANA CALCIO,1-0 (0-0),Match Odds,Draw,3.10,,100,-100.00,Lost,Francesco Alinari,Football,2016-02-06 14:12:09
2016-02-06 09:30:00,Australia,Hyundai A-League,MELBOURNE VICTORY vs WESTERN SYDNEY,1-1 (1-0),Over / Under 1st Half Team,MELBOURNE VICTORY Over +0.50,1.93,,100,93.00,Win,Francesco Alinari,Football,2016-02-05 14:43:02
2016-02-06 07:15:00,Australia,Hyundai A-League,BRISBANE ROAR FC vs CENTRAL COAST MARINERS FC,4-0 (2-0),Asian Handicap 1st Half,BRISBANE ROAR FC -1.00 Half time,3.00,,100,200.00,Win,Francesco Alinari,Football,2016-02-05 14:42:02
2016-02-05 20:45:00,England,Championship,BRIGHTON & HOVE ALBION FC vs BRENTFORD FC,3-0 (2-0),Match Odds,BRIGHTON & HOVE ALBION FC,2.10,,100,110.00,Win,Francesco Alinari,Football,2016-02-05 12:01:02
