Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 20:45:00,Italy,Serie A,JUVENTUS TURIN vs SSC NAPOLI,1-0 (0-0),Over / Under,Over +2.50,2.58,,80,-80.00,Lost,Frankie Geary,Football,2016-02-13 18:22:01
2016-02-13 20:30:00,Spain,Liga BBVA,VALENCIA CF vs ESPANYOL BARCELONA,2-1 (0-0),Over / Under,Over +2.50,2.00,,80,80.00,Win,Frankie Geary,Football,2016-02-13 18:09:04
2016-02-13 20:00:00,Belgium,Jupiler Pro League,RSC ANDERLECHT vs SV ZULTE WAREGEM,3-0 (1-0),Both team to score,Yes,1.75,,80,-80.00,Lost,Frankie Geary,Football,2016-02-13 18:33:03
2016-02-13 20:00:00,France,Ligue 1,FC NANTES vs FC LORIENT,2-1 (2-0),Over / Under,Over +2.50,2.20,,80,96.00,Win,Frankie Geary,Football,2016-02-13 18:27:02
2016-02-13 19:45:00,Netherlands,Eredivisie,WILLEM II TILBURG vs DE GRAAFSCHAP,0-0 (0-0),Over / Under,Over +2.50,1.88,,80,-80.00,Lost,Frankie Geary,Football,2016-02-13 18:39:01
2016-02-12 02:00:00,Peru,"Primera Division, Apertura",UNIVERSITARIO DE DEPORTES vs JUAN AURICH DE CHICLAYO,2-2 (0-2),Over / Under,Over +3.50,3.80,,80,224.00,Win,Frankie Geary,Football,2016-02-11 22:59:06
2016-02-11 20:45:00,Italy,Serie A,LAZIO ROMA vs HELLAS VERONA,5-2 (1-0),Over / Under,Over +4.50,6.00,,80,400.00,Win,Frankie Geary,Football,2016-02-11 19:44:02
2016-02-02 20:45:00,England,Premier League,ARSENAL FC vs SOUTHAMPTON FC,0-0 (0-0),Match Odds,ARSENAL FC,1.80,,80,-80.00,Lost,Frankie Geary,Football,2016-02-02 12:05:02
2016-01-27 21:15:00,Portugal,Carlsberg Cup,CD FEIRENSE vs FC PORTO,2-0 (1-0),Both team to score,Yes,1.95,,80,-80.00,Lost,Frankie Geary,Football,2016-01-27 17:38:02
2016-01-27 20:45:00,Netherlands,Eredivisie,VITESSE ARNHEM vs PEC ZWOLLE,1-1 (0-0),Over / Under,Over +2.50,1.50,,80,-80.00,Lost,Frankie Geary,Football,2016-01-27 17:43:02
2016-01-26 20:45:00,England,League One,BURY FC vs CREWE ALEXANDRA FC,0-0 (0-0),Over / Under,Over +2.50,1.80,,80,-80.00,Lost,Frankie Geary,Football,2016-01-26 18:40:02
2016-01-25 20:30:00,France,Ligue 2,CLERMONT FOOT vs AC HAVRE,2-1 (0-0),Over / Under,Over +2.50,2.24,,80,99.20,Win,Frankie Geary,Football,2016-01-25 17:17:03
2016-01-25 20:30:00,Italy,Serie B,AS LIVORNO vs COMO CALCIO,1-1 (0-0),Over / Under,Over +2.50,2.25,,80,-80.00,Lost,Frankie Geary,Football,2016-01-25 17:07:02
2016-01-25 20:30:00,Spain,Liga BBVA,LEVANTE UD vs LAS PALMAS UD,3-2 (1-0),Both team to score,Yes,2.05,,80,84.00,Win,Frankie Geary,Football,2016-01-25 17:00:03
2016-01-24 19:15:00,Spain,Liga Adelante,ELCHE CF vs SD PONFERRADINA,1-0 (0-0),Match Odds,ELCHE CF,1.88,,100,88.00,Win,Frankie Geary,Football,2016-01-24 14:32:04
2016-01-24 17:00:00,Portugal,Liga Sagres,CF OS BELENENSES vs VITORIA GUIMARAES,3-3 (2-2),Match Odds,VITORIA GUIMARAES,2.92,,80,-80.00,Lost,Frankie Geary,Football,2016-01-24 15:32:02
2016-01-23 22:05:00,Spain,Liga BBVA,RAYO VALLECANO vs CELTA DE VIGO,3-0 (3-0),Over / Under,Over +2.50,2.05,,80,84.00,Win,Frankie Geary,Football,2016-01-23 14:20:02
2016-01-23 20:45:00,Netherlands,Eredivisie,SC HEERENVEEN vs WILLEM II TILBURG,3-1 (0-1),Over / Under,Over +2.50,1.74,,80,59.20,Win,Frankie Geary,Football,2016-01-23 14:26:07
