Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 19:30:00,Portugal,Liga Sagres,CD NACIONAL vs SPORTING CP,0-4 (0-1),Over / Under,Over +2.50,1.87,,50,43.50,Win,Hubert Tisci,Football,2016-02-13 18:26:05
2016-02-13 17:45:00,Switzerland,Axpo Super League,FC THUN vs FC LUGANO,2-1 (1-0),Over / Under Team,FC THUN Over +1.75,1.85,,50,21.25,Half win,Hubert Tisci,Football,2016-02-13 14:48:04
2016-02-13 16:00:00,England,Skrill South,EASTBOURNE BOROUGH vs WESTON SUPER MARE FC,3-3 (1-0),Over / Under,Over +2.50,1.76,,80,60.80,Win,Hubert Tisci,Football,2016-02-10 23:36:02
2016-02-13 15:00:00,Italy,Serie B,AS AVELLINO vs FC BARI 1908,1-1 (0-1),Asian handicap,AS AVELLINO -0.25,2.13,,80,-40.00,Half lost,Hubert Tisci,Football,2016-02-11 21:05:02
2016-02-09 20:45:00,England,Skrill South,WESTON SUPER MARE FC vs OXFORD CITY,5-2 (3-1),Over / Under,Over +2.75,1.73,,80,58.40,Win,Hubert Tisci,Football,2016-02-09 18:19:04
2016-02-09 20:30:00,International Clubs,Club Friendly Games,MALAHIDE UNITED vs CORK CITY FC,0-6 (0-3),Over / Under,Over +4.50,2.10,,40,44.00,Win,Hubert Tisci,Football,2016-02-09 11:51:02
2016-02-07 20:45:00,Italy,Serie A,AS ROMA vs SAMPDORIA GENOA,2-1 (1-0),Over / Under,Over +2.50,1.87,,60,52.20,Win,Hubert Tisci,Football,2016-02-07 19:40:02
2016-02-07 16:45:00,Netherlands,Eredivisie,FC UTRECHT vs PSV EINDHOVEN,0-2 (0-2),Asian handicap,PSV EINDHOVEN -0.25,1.90,,60,54.00,Win,Hubert Tisci,Football,2016-02-07 15:42:03
2016-02-07 07:00:00,Australia,Hyundai A-League,NEWCASTLE UNITED JETS FC vs MELBOURNE CITY FC,2-1 (0-0),Over / Under,Over +3.25,1.92,,60,-30.00,Half lost,Hubert Tisci,Football,2016-02-07 02:47:05
2016-02-06 20:00:00,Switzerland,Axpo Super League,YOUNG BOYS BERN vs GRASSHOPPER CLUB ZURICH,1-1 (1-1),Over / Under,Over +3.00,1.89,,60,-60.00,Lost,Hubert Tisci,Football,2016-02-06 04:08:02
2016-02-05 16:00:00,France,National,GS CONSOLAT MARSEILLE vs COLMAR,2-1 (1-0),Over / Under,Over +2.25,1.86,,60,51.60,Win,Hubert Tisci,Football,2016-02-05 14:14:05
2016-02-05 00:00:00,Paraguay,Primera Division,CERRO PORTENO vs GENERAL CABALLERO,3-0 (1-0),Over / Under,Over +3.25,2.07,,60,-30.00,Half lost,Hubert Tisci,Football,2016-02-04 21:47:02
2016-02-03 20:45:00,Italy,Serie A,US PALERMO vs AC MILAN,0-2 (0-2),Over / Under,Over +2.25,1.82,,80,-40.00,Half lost,Hubert Tisci,Football,2016-02-03 19:31:23
2016-02-03 19:00:00,France,Ligue 1,OGC NICE vs TOULOUSE FC,1-0 (0-0),Over / Under,Over +2.25,1.84,,40,-40.00,Lost,Hubert Tisci,Football,2016-02-02 23:44:01
2016-02-02 20:45:00,England,Premier League,SUNDERLAND AFC vs MANCHESTER CITY,0-1 (0-1),Over / Under,Over +2.50,1.78,,40,-40.00,Lost,Hubert Tisci,Football,2016-02-01 21:56:02
2016-01-31 20:30:00,Spain,Liga BBVA,REAL MADRID vs ESPANYOL BARCELONA,6-0 (4-0),Asian handicap,REAL MADRID -2.50,1.90,,40,36.00,Win,Hubert Tisci,Football,2016-01-31 02:54:02
2016-01-31 20:15:00,Portugal,Liga Sagres,MOREIRENSE FC vs BENFICA LISBON,1-4 (0-2),Over / Under,Over +2.50,1.83,,80,66.40,Win,Hubert Tisci,Football,2016-01-31 03:17:01
2016-01-30 20:00:00,France,Ligue 1,FC LORIENT vs STADE REIMS,2-0 (1-0),Over / Under,Over +2.25,1.87,,80,-40.00,Half lost,Hubert Tisci,Football,2016-01-30 01:03:02
2016-01-30 13:45:00,England,FA Cup,COLCHESTER UNITED vs TOTTENHAM HOTSPUR,1-4 (0-1),Asian handicap,TOTTENHAM HOTSPUR -1.25,1.80,,60,48.00,Win,Hubert Tisci,Football,2016-01-30 02:16:02
2016-01-29 20:00:00,France,Ligue 2,OLYMPIQUE NIMES vs AJ AUXERRE,2-1 (1-0),Over / Under Team,OLYMPIQUE NIMES Over +1.25,1.95,,60,57.00,Win,Hubert Tisci,Football,2016-01-27 23:44:02
2016-01-27 20:45:00,Netherlands,Eredivisie,SBV EXCELSIOR vs PSV EINDHOVEN,1-3 (0-1),Asian handicap,PSV EINDHOVEN -1.25,1.83,,80,66.40,Win,Hubert Tisci,Football,2016-01-27 18:24:01
2016-01-27 15:00:00,International Clubs,Club Friendly Games,FC LUZERN vs FC WOHLEN,0-1 (0-1),Over / Under,Over +3.25,1.83,,60,-60.00,Lost,Hubert Tisci,Football,2016-01-27 13:57:02
