Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-17 22:00:00,Iceland,"Iceland,Pepsideild",KR REYKJAVIK vs STJARNAN GARDABAE,1-1 (0-1),Asian handicap,STJARNAN GARDABAE +0.25,1.89,,100,44.50,Half win,Ivan Kacic,Football,2016-05-17 17:15:04
2016-05-15 20:00:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",ARGENTINOS JRS vs ATLETICO LANUS,1-1 (0-0),Asian handicap,ARGENTINOS JRS +0,1.89,,100,0.00,Void,Ivan Kacic,Football,2016-05-15 16:07:01
2016-05-14 22:00:00,Peru,"Primera Division, Clausura",CC DEPORTIVO MUNICIPAL vs UNIVERSIDAD SAN MARTIN,1-0 (1-0),Match Odds,CC DEPORTIVO MUNICIPAL,2.05,,100,105.00,Win,Ivan Kacic,Football,2016-05-14 19:39:03
2016-05-13 18:30:00,Austria,ADEG Erste Liga,FC LIEFERING vs SC AUSTRIA LUSTENAU,2-2 (2-1),Asian handicap,SC AUSTRIA LUSTENAU +0,1.75,,100,0.00,Void,Ivan Kacic,Football,2016-05-13 11:30:05
2016-05-08 20:00:00,Spain,Liga Adelante,CD MIRANDES vs SD HUESCA,1-0 (1-0),Asian handicap,SD HUESCA +0.25,2.00,,100,-100.00,Lost,Ivan Kacic,Football,2016-05-08 14:07:02
2016-05-07 13:30:00,Germany,Regionalliga Northeast,FC VIKTORIA BERLIN vs BERLINER AK 07,1-3 (0-0),Asian handicap,BERLINER AK 07 -1.25,1.88,,100,88.00,Win,Ivan Kacic,Football,2016-05-07 11:41:10
2016-05-06 20:30:00,Belgium,Jupiler Pro League,KRC GENK vs SV ZULTE WAREGEM,2-0 (0-0),Asian handicap,KRC GENK -1.25,1.89,,100,89.00,Win,Ivan Kacic,Football,2016-05-06 11:34:03
2016-04-30 21:10:00,Argentina,"Primera Division, Liguilla Pre-Libertadores",CA RIVER PLATE vs VELEZ SARSFIELD,0-0 (0-0),Asian handicap,VELEZ SARSFIELD +0.50,1.76,,100,76.00,Win,Ivan Kacic,Football,2016-04-30 19:04:02
2016-04-30 20:30:00,Argentina,Primera B Nacional,DEPORTIVO RIESTRA vs TALLERES DE REMEDIOS DE ESCALADA,1-0 (0-0),Match Odds,DEPORTIVO RIESTRA,2.30,,100,130.00,Win,Ivan Kacic,Football,2016-04-30 19:09:04
2016-04-30 16:00:00,England,Premier League,NEWCASTLE UNITED vs CRYSTAL PALACE,1-0 (0-0),Match Odds,NEWCASTLE UNITED,1.96,,100,96.00,Win,Ivan Kacic,Football,2016-04-30 11:38:02
2016-04-30 15:30:00,Germany,Bundesliga,1899 HOFFENHEIM vs FC INGOLSTADT,2-1 (1-1),Match Odds,1899 HOFFENHEIM,1.86,,100,86.00,Win,Ivan Kacic,Football,2016-04-29 17:07:02
2016-04-29 19:00:00,Romania,"Liga 1,Relegation round",FC BOTOSANI vs CS VOLUNTARI,4-2 (2-1),Match Odds,FC BOTOSANI,1.78,,100,78.00,Win,Ivan Kacic,Football,2016-04-29 17:19:03
2016-04-26 18:00:00,Algeria,Ligue 1,MC ORAN vs MOULOUDIA CLUB D'ALGER,0-0 (0-0),Match Odds,MC ORAN,1.73,,100,-100.00,Lost,Ivan Kacic,Football,2016-04-26 14:36:02
2016-04-22 20:00:00,France,National,DUNKERQUE vs LB CHATEAUROUX,1-1 (1-0),Asian handicap,DUNKERQUE -0.25,1.93,,100,-50.00,Half lost,Ivan Kacic,Football,2016-04-22 17:06:02
2016-04-21 02:45:00,Copa Libertadores,Copa Libertadores,CERRO PORTENO vs INDEPENDIENTE SANTA FE,1-0 (1-0),Asian handicap,INDEPENDIENTE SANTA FE +0,2.12,,100,-100.00,Lost,Ivan Kacic,Football,2016-04-21 00:12:01
2016-04-21 02:45:00,Copa Libertadores,Copa Libertadores,CORINTHIANS SP vs COBRESAL,6-0 (4-0),Asian handicap,CORINTHIANS SP -2.00,2.09,,100,109.00,Win,Ivan Kacic,Football,2016-04-20 23:43:02
