Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-06 01:30:00,Ecuador,"Serie A, Primera Etapa",CLUB SPORT EMELEC vs CD UNIVERSIDAD CATOLICA,2-2 (1-1),Asian handicap,CD UNIVERSIDAD CATOLICA +1.00,1.96,,60,57.60,Win,Jorge Aragundy,Football,2016-02-05 21:22:03
2015-12-12 21:30:00,Ecuador,Serie A,CD RIVER PLATE ECUADOR vs LIGA DE LOJA,2-1 (2-0),Asian handicap,CD RIVER PLATE ECUADOR -1.00,2.01,,60,0.00,Void,Jorge Aragundy,Football,2015-12-12 17:45:02
2015-11-22 01:00:00,Ecuador,Serie A,CD UNIVERSIDAD CATOLICA vs INDEPENDIENTE DEL VALLE,2-1 (1-1),Over / Under,Over +2.50,2.15,,60,69.00,Win,Jorge Aragundy,Football,2015-11-21 18:00:08
2015-11-17 22:00:00,International,World Cup Qualification,VENEZUELA vs ECUADOR,1-3 (0-2),Asian handicap,ECUADOR +0,1.86,,50,43.00,Win,Jorge Aragundy,Football,2015-11-17 19:18:03
2015-11-14 01:00:00,International,World Cup Qualification,ARGENTINA vs BRAZIL,1-1 (1-0),Asian handicap,BRAZIL +0.25,1.75,,60,22.50,Half win,Jorge Aragundy,Football,2015-11-12 18:20:05
2015-11-13 00:30:00,International,World Cup Qualification,CHILE vs COLOMBIA,1-1 (1-0),Asian handicap,CHILE -0.50,1.73,,60,-60.00,Lost,Jorge Aragundy,Football,2015-11-12 18:19:02
2015-11-12 22:00:00,International,World Cup Qualification,ECUADOR vs URUGUAY,2-1 (1-0),Over / Under,Under +2.25,1.74,,60,-60.00,Lost,Jorge Aragundy,Football,2015-11-12 18:18:03
2015-10-14 04:15:00,International,World Cup Qualification,PERU vs CHILE,3-4 (2-3),Over / Under,Over +2.00,1.90,,80,72.00,Win,Jorge Aragundy,Football,2015-10-13 09:45:10
2015-10-14 03:00:00,International,World Cup Qualification,BRAZIL vs VENEZUELA,3-1 (2-0),Over / Under,Under +3.00,1.72,,70,-70.00,Lost,Jorge Aragundy,Football,2015-10-13 09:45:04
2015-10-14 01:00:00,International,World Cup Qualification,URUGUAY vs COLOMBIA,3-0 (1-0),Asian handicap,COLOMBIA +0.25,1.85,,50,-50.00,Lost,Jorge Aragundy,Football,2015-10-13 09:44:02
2015-09-27 00:00:00,Ecuador,Serie A,INDEPENDIENTE DEL VALLE vs SD AUCAS,1-1 (0-1),Over / Under,Under +2.25,2.03,,40,20.60,Half win,Jorge Aragundy,Football,2015-09-26 17:09:25
2015-09-26 19:30:00,Ecuador,Serie A,CD UNIVERSIDAD CATOLICA vs CD RIVER PLATE ECUADOR,1-0 (0-0),Asian Handicap 1st Half,CD UNIVERSIDAD CATOLICA -5.00 Half time,1.97,,50,-50.00,Lost,Jorge Aragundy,Football,2015-09-26 17:06:03
2015-09-13 19:00:00,Ecuador,Serie A,MUSHUC RUNA vs SD AUCAS,3-1 (1-0),Asian handicap,SD AUCAS +0.25,1.89,,70,-70.00,Lost,Jorge Aragundy,Football,2015-09-13 16:35:11
2015-08-30 00:00:00,Ecuador,Serie A,CD UNIVERSIDAD CATOLICA vs LIGA DE LOJA,3-0 (2-0),Asian handicap,CD UNIVERSIDAD CATOLICA -0.50,1.72,,70,50.40,Win,Jorge Aragundy,Football,2015-08-29 16:08:05
2015-08-02 23:30:00,Ecuador,Serie A,BARCELONA GUAYAQUIL vs INDEPENDIENTE DEL VALLE,2-1 (0-0),Asian handicap,BARCELONA GUAYAQUIL -0.50,1.90,,50,45.00,Win,Jorge Aragundy,Football,2015-08-02 19:13:03
2015-08-02 21:00:00,Ecuador,Serie A,MUSHUC RUNA vs CD UNIVERSIDAD CATOLICA,1-3 (1-1),Over / Under,Over +2.25,2.05,,50,52.50,Win,Jorge Aragundy,Football,2015-08-02 19:11:54
2015-07-30 02:30:00,Ecuador,Serie A,EL NACIONAL QUITO vs MUSHUC RUNA,1-0 (1-0),Asian handicap,MUSHUC RUNA +0.50,1.85,,60,-60.00,Lost,Jorge Aragundy,Football,2015-07-29 08:40:04
2015-07-30 02:00:00,Ecuador,Serie A,LIGA DE LOJA vs BARCELONA GUAYAQUIL,1-2 (1-1),Asian handicap,BARCELONA GUAYAQUIL -0.75,1.79,,70,27.65,Half win,Jorge Aragundy,Football,2015-07-29 08:36:03
2015-07-26 01:30:00,Ecuador,Serie A,LIGA DEP UNIVERSITARIA QUITO vs CD UNIVERSIDAD CATOLICA,1-1 (1-0),Asian handicap,LIGA DEP UNIVERSITARIA QUITO -0.75,1.82,,50,-50.00,Lost,Jorge Aragundy,Football,2015-07-25 16:16:03
2015-07-25 22:00:00,Ecuador,Serie A,SD AUCAS vs LIGA DE LOJA,1-0 (0-0),Asian handicap,SD AUCAS -0.50,2.02,,60,61.20,Win,Jorge Aragundy,Football,2015-07-25 16:15:03
2015-07-19 19:00:00,Ecuador,Serie A,CD UNIVERSIDAD CATOLICA vs BARCELONA GUAYAQUIL,0-2 (0-0),Asian handicap,BARCELONA GUAYAQUIL +0.25,1.90,,60,54.00,Win,Jorge Aragundy,Football,2015-07-18 15:30:26
2015-07-19 00:00:00,Ecuador,Serie A,INDEPENDIENTE DEL VALLE vs LIGA DEP UNIVERSITARIA QUITO,1-3 (0-2),Asian handicap,LIGA DEP UNIVERSITARIA QUITO +0,1.98,,60,58.80,Win,Jorge Aragundy,Football,2015-07-18 15:27:05
2015-07-18 23:00:00,Ecuador,Serie A,EL NACIONAL QUITO vs SD AUCAS,1-0 (0-0),Asian handicap,SD AUCAS +0.50,1.86,,40,-40.00,Lost,Jorge Aragundy,Football,2015-07-18 15:28:11
2015-07-05 01:30:00,Ecuador,"Serie A, Primera Etapa",LIGA DEP UNIVERSITARIA QUITO vs SD AUCAS,1-0 (1-0),Over / Under,Under +2.50,2.19,,50,-50.00,Lost,Jorge Aragundy,Football,2015-07-04 16:08:06
2015-07-04 19:00:00,Ecuador,"Serie A, Primera Etapa",CD UNIVERSIDAD CATOLICA vs DEPORTIVO CUENCA,1-1 (0-0),Asian handicap,DEPORTIVO CUENCA +5.00,2.19,,60,71.40,Win,Jorge Aragundy,Football,2015-07-04 16:03:17
2015-06-16 01:30:00,International,Copa America,CHILE vs MEXICO,3-3 (2-2),Asian handicap,CHILE -1.00,1.92,,60,-60.00,Lost,Jorge Aragundy,Football,2015-06-15 16:10:04
2015-06-15 23:00:00,International,Copa America,ECUADOR vs BOLIVIA,2-3 (0-3),Asian handicap,ECUADOR -0.75,1.80,,70,-70.00,Lost,Jorge Aragundy,Football,2015-06-15 16:09:02
2015-05-10 01:30:00,Ecuador,"Serie A, Primera Etapa",LIGA DEP UNIVERSITARIA QUITO vs DEPORTIVO QUITO,3-1 (1-0),Over / Under,Under +2.25,2.00,,60,-60.00,Lost,Jorge Aragundy,Football,2015-05-09 08:53:03
