Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 13:00:00,Germany,2. Bundesliga,MSV DUISBURG vs KARLSRUHER SC,0-1 (0-1),Asian handicap,MSV DUISBURG +0.25,2.01,,100,-100.00,Lost,Knipser,Football,2016-02-13 10:36:02
2016-02-06 15:30:00,Germany,Bundesliga,EINTRACHT FRANKFURT vs VFB STUTTGART,2-4 (0-2),Over / Under,Over +3.00,1.98,,100,98.00,Win,Knipser,Football,2016-02-06 10:32:01
2016-02-06 15:30:00,Germany,Bundesliga,FC SCHALKE 04 vs VFL WOLFSBURG,3-0 (2-0),Asian handicap,FC SCHALKE 04 +0,1.78,,100,78.00,Win,Knipser,Football,2016-02-06 10:30:06
2016-02-05 20:30:00,Germany,Bundesliga,MONCHENGLADBACH vs WERDER BREMEN,5-1 (2-0),Over / Under,Over +3.00,1.77,,100,77.00,Win,Knipser,Football,2016-02-05 18:07:02
2016-01-31 17:30:00,Germany,Bundesliga,BAYERN MUNICH vs 1899 HOFFENHEIM,2-0 (1-0),Asian handicap,BAYERN MUNICH -2.50,1.84,,100,-100.00,Lost,Knipser,Football,2016-01-31 11:00:03
2016-01-24 15:30:00,Germany,Bundesliga,EINTRACHT FRANKFURT vs VFL WOLFSBURG,3-2 (0-1),Asian handicap,EINTRACHT FRANKFURT +0.50,1.83,,100,83.00,Win,Knipser,Football,2016-01-24 11:19:02
2015-12-20 13:30:00,Germany,2. Bundesliga,MSV DUISBURG vs VFL BOCHUM,0-0 (0-0),Asian handicap,MSV DUISBURG +0.25,2.02,,100,51.00,Half win,Knipser,Football,2015-12-20 10:59:06
2015-12-20 13:30:00,Germany,2. Bundesliga,SC FREIBURG vs 1860 MUNICH,3-0 (2-0),Asian handicap,SC FREIBURG -0.75,1.86,,100,86.00,Win,Knipser,Football,2015-12-20 10:57:07
2015-12-18 20:30:00,Germany,Bundesliga,FC SCHALKE 04 vs 1899 HOFFENHEIM,1-0 (1-0),Over / Under,Over +2.75,1.95,,100,-100.00,Lost,Knipser,Football,2015-12-18 15:34:03
2015-12-18 18:30:00,Germany,2. Bundesliga,FC UNION BERLIN vs SV SANDHAUSEN,1-0 (0-0),Over / Under,Over +2.25,1.76,,100,-100.00,Lost,Knipser,Football,2015-12-18 15:33:02
