Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-07 19:30:00,Portugal,Liga Sagres,ACADEMICA COIMBRA vs SPORTING BRAGA,0-0 (0-0),Match Odds,Draw,3.64,,100,264.00,Win,Owen Garth,Football,2016-05-06 22:44:04
2016-05-07 18:30:00,England,Premier League,LEICESTER CITY vs EVERTON FC,3-1 (2-0),Match Odds,Draw,3.90,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:19:02
2016-05-07 18:00:00,Italy,Serie A,INTER MILAN vs FC EMPOLI,2-1 (2-1),Match Odds,Draw,5.25,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:20:02
2016-05-07 17:15:00,Portugal,Liga Sagres,RIO AVE FC vs FC PORTO,1-3 (1-1),Match Odds,Draw,3.80,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:39:04
2016-05-07 16:00:00,England,Premier League,CRYSTAL PALACE vs STOKE CITY,2-1 (0-1),Match Odds,Draw,3.56,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:14:02
2016-05-07 16:00:00,England,Premier League,BOURNEMOUTH AFC vs WEST BROMWICH ALBION,1-1 (0-1),Match Odds,Draw,3.60,,100,260.00,Win,Owen Garth,Football,2016-05-06 22:08:02
2016-05-07 15:00:00,Italy,"Campionato Primavera, Girone B",CAGLIARI vs AC MILAN,3-2,Match Odds,Draw,3.40,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:22:02
2016-05-07 13:35:00,China,Chinese Super League,GUANGZHOU R&F FC vs CHONGQING LIFAN,2-0 (1-0),Match Odds,Draw,3.35,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:47:07
2016-05-07 12:15:00,Portugal,Liga Vitalis,SC FREAMUNDE vs FC PENAFIEL,1-0 (1-0),Match Odds,Draw,3.85,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 22:45:03
2016-05-07 09:30:00,China,Chinese Super League,LIAONING WHOWIN FC vs FC SHANGHAI SHENHUA,0-0 (0-0),Match Odds,Draw,3.50,,100,250.00,Win,Owen Garth,Football,2016-05-06 22:46:05
2016-05-06 20:45:00,France,Ligue 2,RED STAR FC vs DIJON FCO,3-2 (2-1),Match Odds,Draw,3.29,,100,-100.00,Lost,Owen Garth,Football,2016-05-06 19:45:03
