Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 16:00:00,England,League One,ROCHDALE FC vs MILLWALL FC,0-1 (0-0),Over / Under,Over +2.50,1.97,,100,-100.00,Lost,Radek Kovar,Football,2016-02-13 11:37:05
2016-02-12 21:30:00,Portugal,Liga Sagres,BENFICA LISBON vs FC PORTO,1-2 (1-1),Over / Under,Over +2.25,2.04,,100,104.00,Win,Radek Kovar,Football,2016-02-12 13:41:02
2016-02-12 20:45:00,Scotland,Premier League,FC DUNDEE vs FC ST JOHNSTONE,2-0 (1-0),Over / Under,Over +2.25,1.89,,100,-50.00,Half lost,Radek Kovar,Football,2016-02-12 13:07:05
2016-02-07 14:30:00,Netherlands,Jupiler League,SPARTA ROTTERDAM vs VVV VENLO,3-1 (1-1),Over / Under,Over +2.75,1.94,,100,94.00,Win,Radek Kovar,Football,2016-02-07 12:29:04
2016-02-07 14:00:00,Germany,3.Liga,FORTUNA COLOGNE vs HOLSTEIN KIEL,2-3 (1-2),Over / Under,Over +2.50,1.97,,100,97.00,Win,Radek Kovar,Football,2016-02-06 23:47:02
2016-02-06 20:00:00,Belgium,EXQI League,KSK HEIST vs CERCLE BRUGGE KSV,0-2 (0-2),Over / Under,Over +3.00,1.95,,100,-100.00,Lost,Radek Kovar,Football,2016-02-06 12:37:04
2016-02-06 20:00:00,Belgium,Jupiler Pro League,WAASLAND-BEVEREN vs OUD-HEVERLEE LEUVEN,2-2 (0-1),Over / Under,Over +2.50,1.88,,100,88.00,Win,Radek Kovar,Football,2016-02-06 12:16:02
2016-02-06 18:00:00,Turkey,Turkcell Super Lig,GALATASARAY ISTANBUL vs KONYASPOR,0-0 (0-0),Over / Under,Over +2.50,1.88,,100,-100.00,Lost,Radek Kovar,Football,2016-02-06 13:18:02
2016-02-06 18:00:00,Belgium,EXQI League,EXCELSIOR VIRTON vs MSK DEINZE,0-0 (0-0),Over / Under,Over +2.75,2.04,,100,-100.00,Lost,Radek Kovar,Football,2016-02-06 12:27:02
2016-02-06 16:00:00,Scotland,Third Division,BERWICK RANGERS vs EAST STIRLING,2-2 (1-1),Over / Under,Over +3.00,1.90,,100,90.00,Win,Radek Kovar,Football,2016-02-06 13:10:05
2016-02-06 16:00:00,England,League Two,CAMBRIDGE UNITED FC vs DAGENHAM & REDBRIDGE,1-0 (0-0),Over / Under,Over +2.50,1.96,,100,-100.00,Lost,Radek Kovar,Football,2016-02-06 12:57:02
2016-02-06 07:15:00,Australia,Hyundai A-League,BRISBANE ROAR FC vs CENTRAL COAST MARINERS FC,4-0 (2-0),Over / Under,Over +3.25,1.93,,100,93.00,Win,Radek Kovar,Football,2016-02-05 21:45:04
2016-02-05 20:30:00,Germany,Bundesliga,MONCHENGLADBACH vs WERDER BREMEN,5-1 (2-0),Over / Under,Over +3.00,1.83,,100,83.00,Win,Radek Kovar,Football,2016-02-04 21:00:07
2016-02-05 20:00:00,Netherlands,Jupiler League,FC OSS vs ACHILLES '29,1-1 (1-0),Over / Under,Over +2.75,1.90,,100,-100.00,Lost,Radek Kovar,Football,2016-02-05 14:14:02
2016-02-03 21:00:00,France,Ligue 1,PARIS ST GERMAIN vs FC LORIENT,3-1 (1-1),Over / Under,Over +3.00,1.87,,100,87.00,Win,Radek Kovar,Football,2016-02-02 10:31:02
2016-02-01 20:00:00,Netherlands,Jupiler League,FORTUNA SITTARD vs HELMOND SPORT,3-0 (1-0),Over / Under,Over +3.00,2.03,,100,0.00,Void,Radek Kovar,Football,2016-01-29 10:54:02
2016-01-30 16:00:00,England,League One,SWINDON TOWN vs BARNSLEY FC,0-1 (0-0),Over / Under,Over +2.75,1.96,,100,-100.00,Lost,Radek Kovar,Football,2016-01-30 12:27:01
2016-01-29 20:00:00,Netherlands,Jupiler League,MVV MAASTRICHT vs FC EINDHOVEN,0-2 (0-1),Over / Under,Over +3.00,2.07,,100,-100.00,Lost,Radek Kovar,Football,2016-01-29 11:14:02
