Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-13 20:30:00,Italy,Serie B,PERUGIA vs PRO VERCELLI,1-2 (0-1),Match Odds,Draw,3.20,,100,-100.00,Lost,Robert Volkan,Football,2016-05-12 14:33:02
2016-05-04 20:45:00,European cups,UEFA Champions League,REAL MADRID vs MANCHESTER CITY,1-0 (1-0),Match Odds 1st Half,REAL MADRID Half time,2.05,,100,99.75,Win,Robert Volkan,Football,2016-05-04 14:14:01
2016-04-27 20:45:00,European cups,UEFA Champions League,ATLETICO MADRID vs BAYERN MUNICH,1-0 (1-0),Over / Under,Under +0.50,9.00,,100,-100.00,Lost,Robert Volkan,Football,2016-04-26 17:17:02
2016-04-26 20:45:00,European cups,UEFA Champions League,MANCHESTER CITY vs REAL MADRID,0-0 (0-0),Over / Under,Over +3.50,3.35,,100,-100.00,Lost,Robert Volkan,Football,2016-04-26 17:23:02
2016-04-24 15:00:00,Italy,Serie A,ATALANTA BERGAMASCA vs AC CHIEVO VERONA,1-0 (0-0),Match Odds,Draw,3.56,,100,-100.00,Lost,Robert Volkan,Football,2016-04-24 02:59:02
2016-04-16 20:45:00,Italy,Serie A,INTER MILAN vs SSC NAPOLI,2-0 (2-0),Match Odds,Draw,3.35,,100,-100.00,Lost,Robert Volkan,Football,2016-04-16 17:26:04
2016-04-09 18:00:00,Italy,Serie A,AC CHIEVO VERONA vs CARPI FC,1-0 (0-0),Match Odds,Draw,3.28,,100,-100.00,Lost,Robert Volkan,Football,2016-04-09 13:23:03
2016-04-08 20:30:00,France,Ligue 1,MONTPELLIER HSC vs OLYMPIQUE LYON,0-2 (0-2),Match Odds 1st Half,OLYMPIQUE LYON Half time,2.88,,100,188.00,Win,Robert Volkan,Football,2016-04-08 19:12:03
2016-04-06 20:45:00,European cups,UEFA Champions League,VFL WOLFSBURG vs REAL MADRID,2-0 (2-0),Match Odds 1st Half,REAL MADRID Half time,2.30,,100,-100.00,Lost,Robert Volkan,Football,2016-04-06 16:05:01
2016-04-04 20:45:00,Italy,Serie A,BOLOGNA FC vs HELLAS VERONA,0-1 (0-1),Match Odds,Draw,3.62,,100,-100.00,Lost,Robert Volkan,Football,2016-04-04 17:16:01
2016-04-03 15:00:00,Italy,Serie A,ATALANTA BERGAMASCA vs AC MILAN,2-1 (1-1),Match Odds,AC MILAN,2.40,,100,-100.00,Lost,Robert Volkan,Football,2016-04-03 13:08:25
