Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 18:00:00,Italy,Serie A,AC CHIEVO VERONA vs US SASSUOLO,1-1 (1-1),Asian handicap,US SASSUOLO -0.25,2.14,,100,-50.00,Half lost,Rosario Barone,Football,2016-02-13 17:05:01
2016-02-13 15:00:00,Italy,Serie B,VIRTUS ENTELLA vs TRAPANI CALCIO,4-0 (1-0),Asian handicap,TRAPANI CALCIO +0.25,1.96,,100,-100.00,Lost,Rosario Barone,Football,2016-02-13 14:09:05
2016-02-12 20:45:00,Italy,Serie A,CARPI FC vs AS ROMA,1-3 (0-0),Match Odds,AS ROMA,1.95,,100,95.00,Win,Rosario Barone,Football,2016-02-12 11:46:02
2016-02-07 18:00:00,Italy,Serie A,ATALANTA BERGAMASCA vs FC EMPOLI,0-0 (0-0),Asian handicap,ATALANTA BERGAMASCA +0,1.95,,100,0.00,Void,Rosario Barone,Football,2016-02-07 16:39:01
2016-02-07 12:30:00,Italy,Serie A,HELLAS VERONA vs INTER MILAN,3-3 (2-1),Asian handicap,INTER MILAN -0.50,1.95,,100,-100.00,Lost,Rosario Barone,Football,2016-02-07 02:16:01
2016-02-06 20:45:00,Italy,Serie A,GENOA FC vs LAZIO ROMA,0-0 (0-0),Asian handicap,GENOA FC +0,1.89,,100,0.00,Void,Rosario Barone,Football,2016-02-06 18:00:03
2016-02-06 18:00:00,Italy,Serie A,BOLOGNA FC vs AC FIORENTINA,1-1 (0-0),Match Odds,AC FIORENTINA,2.03,,100,-100.00,Lost,Rosario Barone,Football,2016-02-06 10:55:06
2016-02-03 20:45:00,Italy,Serie A,HELLAS VERONA vs ATALANTA BERGAMASCA,2-1 (1-1),Asian handicap,HELLAS VERONA -0.50,2.47,,100,147.00,Win,Rosario Barone,Football,2016-02-03 04:24:02
2016-02-02 20:45:00,Italy,Serie A,US SASSUOLO vs AS ROMA,0-2 (0-1),Asian handicap,AS ROMA +0,1.75,,100,75.00,Win,Rosario Barone,Football,2016-02-02 16:27:02
2016-01-31 20:45:00,Italy,Serie A,AC MILAN vs INTER MILAN,3-0 (1-0),Over / Under,Over +2.50,2.50,,100,150.00,Win,Rosario Barone,Football,2016-01-31 15:15:07
2016-01-31 15:00:00,Italy,Serie A,TURIN FC vs HELLAS VERONA,0-0 (0-0),Asian handicap,HELLAS VERONA -0.75,2.12,,100,-100.00,Lost,Rosario Barone,Football,2016-01-31 13:59:04
2016-01-30 20:45:00,Italy,Serie A,AS ROMA vs FROSINONE CALCIO,3-1 (1-1),Asian Handicap 1st Half,AS ROMA -0.75 Half time,1.81,,100,-100.00,Lost,Rosario Barone,Football,2016-01-30 17:12:02
2016-01-29 20:30:00,Italy,Serie B,AS AVELLINO vs CAGLIARI CALCIO,1-2 (1-1),Over / Under,Over +2.50,2.19,,100,119.00,Win,Rosario Barone,Football,2016-01-29 17:46:02
2016-01-26 21:00:00,Italy,Coppa Italia,ALESSANDRIA CALCIO vs AC MILAN,0-1 (0-1),Asian handicap,AC MILAN -1.00,1.91,,100,0.00,Void,Rosario Barone,Football,2016-01-26 15:29:02
2016-01-24 15:00:00,Italy,Serie A,US SASSUOLO vs BOLOGNA FC,0-2 (0-0),Match Odds,US SASSUOLO,2.03,,100,-100.00,Lost,Rosario Barone,Football,2016-01-24 11:06:02
2016-01-24 12:30:00,Italy,Serie A,AC FIORENTINA vs TURIN FC,2-0 (1-0),Match Odds,AC FIORENTINA,1.86,,100,86.00,Win,Rosario Barone,Football,2016-01-24 11:09:07
2016-01-23 20:45:00,Italy,Serie A,FC EMPOLI vs AC MILAN,2-2 (1-1),Lay Match Odds,Lay FC EMPOLI,3.30,,44,44.00,Win,Rosario Barone,Football,2016-01-23 19:34:02
2016-01-23 15:00:00,Italy,Serie B,CAGLIARI CALCIO vs TERNANA CALCIO,1-0 (0-0),Over / Under,Over +2.50,2.32,,100,-100.00,Lost,Rosario Barone,Football,2016-01-23 12:06:02
2016-01-23 15:00:00,Italy,Serie B,AC CESENA vs VIRTUS ENTELLA,2-0 (1-0),Match Odds,AC CESENA,2.02,,100,102.00,Win,Rosario Barone,Football,2016-01-23 12:04:04
2016-01-20 20:45:00,Italy,Coppa Italia,LAZIO ROMA vs JUVENTUS TURIN,0-1 (0-0),Over / Under Team,LAZIO ROMA Over +1.00,2.17,,100,-100.00,Lost,Rosario Barone,Football,2016-01-20 19:56:01
2016-01-20 20:45:00,Italy,Serie A,US SASSUOLO vs TURIN FC,1-1 (1-1),Over / Under,Over +2.00,1.71,,100,0.00,Void,Rosario Barone,Football,2016-01-20 19:45:03
2016-01-19 20:45:00,Italy,Coppa Italia,SSC NAPOLI vs INTER MILAN,0-2 (0-0),Asian handicap,INTER MILAN +0.75,2.12,,100,112.00,Win,Rosario Barone,Football,2016-01-19 19:46:01
2016-01-17 15:00:00,Italy,Serie A,UDINESE CALCIO vs JUVENTUS TURIN,0-4 (0-4),Over / Under 1st Half Team,JUVENTUS TURIN Over +0.50,1.81,,100,81.00,Win,Rosario Barone,Football,2016-01-17 11:32:02
2016-01-17 15:00:00,Italy,Serie A,AS ROMA vs HELLAS VERONA,1-1 (1-0),Match Odds 1st Half,AS ROMA Half time,1.83,,100,83.00,Win,Rosario Barone,Football,2016-01-17 11:24:05
2016-01-17 12:30:00,Italy,Serie A,GENOA FC vs US PALERMO,4-0 (1-0),Asian handicap,GENOA FC -0.50,1.79,,100,79.00,Win,Rosario Barone,Football,2016-01-17 09:39:02
2016-01-16 18:00:00,Italy,Serie A,TURIN FC vs FROSINONE CALCIO,4-2 (3-1),Asian handicap,FROSINONE CALCIO +1.50,1.94,,100,-100.00,Lost,Rosario Barone,Football,2016-01-16 16:50:01
2016-01-16 15:00:00,Italy,Serie B,AS AVELLINO vs SPORTIVA SALERNITANA,1-0 (0-0),Over / Under,Over +2.50,2.20,,100,-100.00,Lost,Rosario Barone,Football,2016-01-16 12:26:06
2016-01-13 21:00:00,Italy,Coppa Italia,AC MILAN vs CARPI FC,2-1 (2-0),Asian handicap,AC MILAN -1.25,2.01,,100,-50.00,Half lost,Rosario Barone,Football,2016-01-13 16:15:04
2016-01-09 20:45:00,Italy,Serie A,AS ROMA vs AC MILAN,1-1 (1-0),Match Odds,AS ROMA,2.21,,100,-100.00,Lost,Rosario Barone,Football,2016-01-09 19:48:02
2016-01-09 18:00:00,Italy,Serie A,AC FIORENTINA vs LAZIO ROMA,1-3 (0-1),Over / Under,Over +2.50,2.13,,100,113.00,Win,Rosario Barone,Football,2016-01-09 12:24:02
2016-01-06 18:00:00,Italy,Serie A,FC EMPOLI vs INTER MILAN,0-1 (0-1),Over / Under Team,FC EMPOLI Under +0.75,2.17,,100,117.00,Win,Rosario Barone,Football,2016-01-06 14:59:03
2016-01-06 15:00:00,Italy,Serie A,US PALERMO vs AC FIORENTINA,1-3 (0-2),Match Odds,AC FIORENTINA,1.91,,100,91.00,Win,Rosario Barone,Football,2016-01-05 11:25:01
2016-01-05 20:45:00,Italy,Serie A,GENOA FC vs SAMPDORIA GENOA,2-3 (0-2),Over / Under,Under +2.25,1.97,,100,-100.00,Lost,Rosario Barone,Football,2016-01-05 07:15:02
2015-12-27 15:00:00,Italy,Serie B,CAGLIARI CALCIO vs PRO VERCELLI,3-0 (2-0),Match Odds 1st Half,CAGLIARI CALCIO Half time,1.92,,100,92.00,Win,Rosario Barone,Football,2015-12-27 11:49:02
2015-12-23 20:30:00,Italy,Serie B,FC CROTONE vs TRAPANI CALCIO,0-0 (0-0),Match Odds,FC CROTONE,1.75,,100,-100.00,Lost,Rosario Barone,Football,2015-12-23 10:37:02
2015-12-23 20:30:00,Italy,Serie B,NOVARA CALCIO vs AC CESENA,0-0 (0-0),Match Odds,NOVARA CALCIO,2.00,,100,-100.00,Lost,Rosario Barone,Football,2015-12-23 10:36:02
2015-12-22 20:30:00,Italy,Serie B,AS AVELLINO vs VIRTUS ENTELLA,2-0 (1-0),Asian handicap,AS AVELLINO -0.50,1.87,,100,87.00,Win,Rosario Barone,Football,2015-12-22 09:25:02
2015-12-20 18:00:00,Italy,Serie A,SAMPDORIA GENOA vs US PALERMO,2-0 (0-0),Match Odds,SAMPDORIA GENOA,2.23,,100,123.00,Win,Rosario Barone,Football,2015-12-20 10:35:05
2015-12-20 15:00:00,Italy,Serie A,AS ROMA vs GENOA FC,2-0 (1-0),Over / Under 1st Half Team,AS ROMA Over +0.75,2.01,,100,50.50,Half win,Rosario Barone,Football,2015-12-20 04:30:02
2015-12-20 15:00:00,Italy,Serie A,HELLAS VERONA vs US SASSUOLO,1-1 (1-1),Asian handicap,HELLAS VERONA -0.25,2.31,,100,-50.00,Half lost,Rosario Barone,Football,2015-12-20 04:15:02
2015-12-19 20:45:00,Italy,Serie A,BOLOGNA FC vs FC EMPOLI,2-3 (2-2),Asian handicap,BOLOGNA FC +0,1.95,,100,-100.00,Lost,Rosario Barone,Football,2015-12-19 18:11:04
2015-12-19 15:00:00,Italy,Serie B,LATINA CALCIO vs FC CROTONE,2-2 (1-0),Asian handicap,FC CROTONE +0,2.02,,100,0.00,Void,Rosario Barone,Football,2015-12-19 10:43:04
2015-12-19 15:00:00,Italy,Serie B,BRESCIA CALCIO vs SPEZIA CALCIO,1-1 (0-1),Asian handicap,BRESCIA CALCIO +0,1.83,,100,0.00,Void,Rosario Barone,Football,2015-12-19 05:58:01
2015-12-17 16:00:00,Italy,Coppa Italia,LAZIO ROMA vs UDINESE CALCIO,2-1 (0-0),Asian handicap,LAZIO ROMA -1.00,2.00,,100,0.00,Void,Rosario Barone,Football,2015-12-17 14:03:03
2015-12-16 14:30:00,Italy,Coppa Italia,AS ROMA vs SPEZIA CALCIO,2-4 (0-0),Asian handicap,AS ROMA +1.50,2.17,,100,-100.00,Lost,Rosario Barone,Football,2015-12-16 13:58:02
2015-12-15 21:00:00,Italy,Coppa Italia,INTER MILAN vs CAGLIARI CALCIO,3-0 (1-0),Match Odds 1st Half,INTER MILAN Half time,2.02,,100,102.00,Win,Rosario Barone,Football,2015-12-15 12:05:02
2015-12-14 20:45:00,Italy,Serie A,LAZIO ROMA vs SAMPDORIA GENOA,1-1 (0-0),Asian handicap,SAMPDORIA GENOA +0.50,2.67,,100,167.00,Win,Rosario Barone,Football,2015-12-14 11:21:01
2015-12-13 18:00:00,Italy,Serie A,SSC NAPOLI vs AS ROMA,0-0 (0-0),Match Odds,SSC NAPOLI,1.75,,100,-100.00,Lost,Rosario Barone,Football,2015-12-13 16:06:02
2015-12-12 20:45:00,Italy,Serie A,UDINESE CALCIO vs INTER MILAN,0-4 (0-2),Match Odds,INTER MILAN,2.04,,100,104.00,Win,Rosario Barone,Football,2015-12-12 17:12:02
2015-12-12 15:00:00,Italy,Serie B,SPORTIVA SALERNITANA vs ASCOLI,2-0 (1-0),Match Odds,SPORTIVA SALERNITANA,1.91,,100,91.00,Win,Rosario Barone,Football,2015-12-12 11:24:05
2015-12-12 15:00:00,Italy,Serie B,AS AVELLINO vs VIRTUS LANCIANO,3-2 (0-1),Match Odds,AS AVELLINO,2.04,,100,104.00,Win,Rosario Barone,Football,2015-12-12 11:23:15
2015-12-10 19:00:00,European cups,UEFA Europa League,SSC NAPOLI vs LEGIA WARSAW,5-2 (2-0),Over / Under,Under +3.00,1.94,,100,-100.00,Lost,Rosario Barone,Football,2015-12-10 14:52:04
2015-12-09 20:45:00,European cups,UEFA Champions League,AS ROMA vs FC BATE BORISOV,0-0 (0-0),Asian Handicap 1st Half,AS ROMA +0.75 Half time,2.11,,100,-100.00,Lost,Rosario Barone,Football,2015-12-07 15:16:02
2015-12-09 18:30:00,Italy,Serie B,COMO CALCIO vs FC CROTONE,0-1 (0-0),Asian handicap,FC CROTONE +0.25,1.71,,100,71.00,Win,Rosario Barone,Football,2015-12-09 11:25:02
2015-12-09 18:30:00,Italy,Serie B,VIRTUS LANCIANO vs CAGLIARI CALCIO,1-3 (0-2),Asian handicap,CAGLIARI CALCIO -0.50,1.88,,100,88.00,Win,Rosario Barone,Football,2015-12-09 11:23:03
2015-12-08 20:45:00,European cups,UEFA Champions League,SEVILLA FC vs JUVENTUS TURIN,1-0 (0-0),Over / Under 1st Half,Under +1.00 Half time,1.81,,100,81.00,Win,Rosario Barone,Football,2015-12-07 15:04:01
2015-12-08 15:00:00,Italy,Serie B,ASCOLI vs TERNANA CALCIO,1-0 (1-0),Over / Under 1st Half,Under +0.75 Half time,2.11,,100,-50.00,Half lost,Rosario Barone,Football,2015-12-08 10:02:01
2015-12-08 15:00:00,Italy,Serie B,FC MODENA vs FC BARI 1908,2-1 (2-0),Over / Under,Under +2.25,1.72,,100,-100.00,Lost,Rosario Barone,Football,2015-12-08 09:19:01
2015-12-06 18:00:00,Italy,Serie A,SAMPDORIA GENOA vs US SASSUOLO,1-3 (0-3),Match Odds,SAMPDORIA GENOA,2.50,,100,-100.00,Lost,Rosario Barone,Football,2015-12-01 17:45:03
2015-12-06 15:00:00,Italy,Serie A,ATALANTA BERGAMASCA vs US PALERMO,3-0 (2-0),Match Odds,ATALANTA BERGAMASCA,1.80,Bwin,100,80.00,Win,Rosario Barone,Football,2015-12-06 12:09:02
2015-12-06 15:00:00,Italy,Serie A,AC FIORENTINA vs UDINESE CALCIO,3-0 (1-0),Both team to score,No,1.83,,100,83.00,Win,Rosario Barone,Football,2015-12-02 18:13:02
2015-12-06 15:00:00,Italy,Serie A,HELLAS VERONA vs FC EMPOLI,0-1 (0-0),Match Odds,HELLAS VERONA,2.99,,100,-100.00,Lost,Rosario Barone,Football,2015-12-02 17:24:03
2015-12-06 12:30:00,Italy,Serie A,BOLOGNA FC vs SSC NAPOLI,3-2 (2-0),Over / Under,Under +2.75,1.78,,100,-100.00,Lost,Rosario Barone,Football,2015-12-06 09:47:02
2015-12-05 15:00:00,Italy,Serie B,FC CROTONE vs AC CESENA,2-0 (0-0),Asian handicap,FC CROTONE -0.25,1.95,,100,95.00,Win,Rosario Barone,Football,2015-12-05 11:25:02
2015-12-04 21:00:00,Italy,Serie B,PERUGIA vs FC MODENA,1-0 (1-0),Match Odds,PERUGIA,1.98,,100,98.00,Win,Rosario Barone,Football,2015-12-04 15:40:02
2015-12-04 19:00:00,Italy,Serie B,VIRTUS ENTELLA vs BRESCIA CALCIO,0-0 (0-0),Over / Under,Under +2.25,1.94,,100,94.00,Win,Rosario Barone,Football,2015-12-04 18:25:02
2015-12-03 21:00:00,Italy,Coppa Italia,US SASSUOLO vs CAGLIARI CALCIO,0-1 (0-1),Both team to score,Yes,1.80,,100,-100.00,Lost,Rosario Barone,Football,2015-12-01 16:48:05
2015-12-02 15:00:00,Italy,Coppa Italia,US PALERMO vs ALESSANDRIA CALCIO,2-3 (0-2),Over / Under,Over +2.50,1.90,,100,90.00,Win,Rosario Barone,Football,2015-12-02 09:58:01
2015-11-30 19:00:00,Italy,Serie A,US SASSUOLO vs AC FIORENTINA,1-1 (1-1),Both team to score,Yes,1.75,Bwin,100,75.00,Win,Rosario Barone,Football,2015-11-25 14:47:01
2015-11-29 20:45:00,Italy,Serie A,US PALERMO vs JUVENTUS TURIN,0-3 (0-0),Over / Under Team,US PALERMO Under +0.75,1.72,,100,72.00,Win,Rosario Barone,Football,2015-11-24 04:42:05
2015-11-29 18:00:00,Italy,Serie A,FC EMPOLI vs LAZIO ROMA,1-0 (1-0),Asian handicap,LAZIO ROMA +0,1.84,,100,-100.00,Lost,Rosario Barone,Football,2015-11-29 11:52:05
2015-11-29 15:00:00,Italy,Serie A,FROSINONE CALCIO vs HELLAS VERONA,3-2 (2-0),Asian handicap,HELLAS VERONA -0.25,2.48,,100,-100.00,Lost,Rosario Barone,Football,2015-11-29 11:58:02
2015-11-28 15:00:00,Italy,Serie B,FC MODENA vs VIRTUS ENTELLA,0-1 (0-0),Over / Under 1st Half,Under +0.75 Half time,2.05,,100,105.00,Win,Rosario Barone,Football,2015-11-28 13:50:06
2015-11-28 15:00:00,Italy,Serie B,AS AVELLINO vs PERUGIA,1-2 (1-0),Both team to score,Yes,1.83,,100,83.00,Win,Rosario Barone,Football,2015-11-28 13:49:01
2015-11-27 19:00:00,Italy,Serie B,SPEZIA CALCIO vs FC CROTONE,0-1 (0-1),Both team to score,Yes,1.91,,100,-100.00,Lost,Rosario Barone,Football,2015-11-27 12:15:03
2015-11-26 21:05:00,European cups,UEFA Europa League,CLUB BRUGGE vs SSC NAPOLI,0-1 (0-1),Over / Under,Over +2.50,1.75,,100,-100.00,Lost,Rosario Barone,Football,2015-11-26 17:30:02
2015-11-26 19:00:00,European cups,UEFA Europa League,LAZIO ROMA vs DNIPRO DNIPROPETROVSK,3-1 (1-0),Match Odds,LAZIO ROMA,1.80,,100,80.00,Win,Rosario Barone,Football,2015-11-26 12:23:05
2015-11-26 19:00:00,European cups,UEFA Europa League,FC BASEL vs AC FIORENTINA,2-2 (1-2),Over / Under 1st Half,Under +1.00 Half time,1.88,,100,-100.00,Lost,Rosario Barone,Football,2015-11-26 12:21:03
2015-11-23 20:00:00,Italy,"Lega Pro Prima Divisione, Girone B",SPAL 2013 vs SC PISA,1-2 (1-0),Asian handicap,SPAL 2013 -0.25,1.94,,100,-100.00,Lost,Rosario Barone,Football,2015-11-23 11:56:02
2015-11-22 15:00:00,Italy,Serie A,UDINESE CALCIO vs SAMPDORIA GENOA,1-0 (1-0),Both team to score,Yes,1.83,,100,-100.00,Lost,Rosario Barone,Football,2015-11-22 11:53:03
2015-11-22 15:00:00,Italy,Serie A,LAZIO ROMA vs US PALERMO,1-1 (0-1),Over / Under,Over +2.25,1.71,,100,-50.00,Half lost,Rosario Barone,Football,2015-11-22 11:28:18
2015-11-22 15:00:00,Italy,Serie A,GENOA FC vs US SASSUOLO,2-1 (0-0),Both team to score,Yes,1.80,,100,80.00,Win,Rosario Barone,Football,2015-11-22 11:26:15
2015-11-22 15:00:00,Italy,Serie A,AC FIORENTINA vs FC EMPOLI,2-2 (0-2),Match Odds,Draw,4.58,,100,358.00,Win,Rosario Barone,Football,2015-11-16 17:21:02
2015-11-22 12:30:00,Italy,Serie A,HELLAS VERONA vs SSC NAPOLI,0-2 (0-0),Asian Handicap 1st Half,SSC NAPOLI -0.50 Half time,1.97,,100,-100.00,Lost,Rosario Barone,Football,2015-11-22 10:45:11
2015-11-21 18:00:00,Italy,Serie A,BOLOGNA FC vs AS ROMA,2-2 (1-0),Match Odds,Draw,3.84,,100,284.00,Win,Rosario Barone,Football,2015-11-16 17:17:02
2015-11-21 15:00:00,Italy,Serie B,VICENZA CALCIO vs AC CESENA,1-1 (1-1),Match Odds 1st Half,Draw Half time,2.05,,100,105.00,Win,Rosario Barone,Football,2015-11-21 11:33:10
2015-11-21 15:00:00,Italy,Serie B,FC CROTONE vs TERNANA CALCIO,3-0 (0-0),Match Odds,FC CROTONE,2.19,,100,119.00,Win,Rosario Barone,Football,2015-11-21 10:33:02
2015-11-20 20:30:00,Italy,Serie B,PESCARA CALCIO vs AS AVELLINO,3-2 (1-0),Over / Under,Over +2.25,1.80,,100,80.00,Win,Rosario Barone,Football,2015-11-20 12:20:17
2015-11-17 20:45:00,International,International Friendly Games,ITALY vs ROMANIA,2-2 (0-1),Match Odds,ITALY,1.77,,100,-100.00,Lost,Rosario Barone,Football,2015-11-17 10:43:04
2015-11-15 15:00:00,Italy,Serie B,ASCOLI vs PERUGIA,1-0 (0-0),Over / Under 1st Half,Under +0.75 Half time,1.99,,100,99.00,Win,Rosario Barone,Football,2015-11-15 10:47:10
