Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-12 20:30:00,Belgium,Jupiler Pro League,KAA GENT vs ROYAL MOUSCRON,2-0 (0-0),Asian handicap,KAA GENT -1.50,2.04,,100,104.00,Win,Rufus Rasco,Football,2016-02-12 15:59:02
2016-02-12 20:00:00,Netherlands,Jupiler League,ALMERE CITY FC vs FC EINDHOVEN,1-2 (0-1),Over / Under,Over +3.50,2.82,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-12 16:46:04
2016-02-12 20:00:00,France,Ligue 2,PARIS FC 98 vs OLYMPIQUE NIMES,0-0 (0-0),Match Odds,Draw,3.18,,100,218.00,Win,Rufus Rasco,Football,2016-02-12 16:04:04
2016-02-12 20:00:00,Netherlands,Eredivisie,CAMBUUR LEEUWARDEN vs FC UTRECHT,0-2 (0-0),Asian handicap,FC UTRECHT -1.00,2.75,,100,175.00,Win,Rufus Rasco,Football,2016-02-12 15:54:01
2016-02-12 18:30:00,Germany,2. Bundesliga,FSV FRANKFURT vs GREUTHER FURTH,1-2 (0-2),Over / Under,Over +2.50,2.15,,100,115.00,Win,Rufus Rasco,Football,2016-02-12 16:10:05
2016-02-12 10:00:00,Australia,Hyundai A-League,BRISBANE ROAR FC vs NEWCASTLE UNITED JETS FC,2-2 (1-2),Asian Handicap 1st Half,BRISBANE ROAR FC -1.00 Half time,2.75,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-11 14:27:02
2016-02-11 19:45:00,Turkey,Turkish Cup,BASAKSEHIR FK vs CAYKUR RIZESPOR,0-2 (0-1),Asian handicap,BASAKSEHIR FK -1.00,2.76,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-11 12:16:02
2016-02-11 16:10:00,Saudi Arabia,Saudi Professional League,AL QADISIYAH vs AL TAAWON,1-2 (1-1),Over / Under,Over +3.00,2.65,,100,0.00,Void,Rufus Rasco,Football,2016-02-11 12:20:02
2016-02-10 20:45:00,Scotland,Premier League,ROSS COUNTY FC vs HEART OF MIDLOTHIAN,0-3 (0-0),Over / Under,Over +2.75,2.30,,100,65.00,Half win,Rufus Rasco,Football,2016-02-10 15:42:04
2016-02-10 19:00:00,France,Coupe de France,FC GIRONDINS BORDEAUX vs FC NANTES,2-2 (1-1),Match Odds,Draw,3.23,,100,223.00,Win,Rufus Rasco,Football,2016-02-10 15:46:01
2016-02-10 18:00:00,Austria,ÖFB Stiegl Cup,SK RAPID VIENNA vs ADMIRA WACKER,0-1 (0-0),Asian Handicap 1st Half,SK RAPID VIENNA -0.50 Half time,2.08,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-10 15:25:03
2016-02-10 17:45:00,Turkey,Turkish Cup,AKHISAR BLD SPOR vs GALATASARAY ISTANBUL,1-2 (0-0),Asian handicap,GALATASARAY ISTANBUL -0.75,2.67,,100,83.50,Half win,Rufus Rasco,Football,2016-02-10 15:33:02
2016-02-09 21:00:00,France,Coupe de France,FC SOCHAUX vs AS MONACO,2-1 (1-1),Match Odds,Draw,3.85,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-09 17:03:02
2016-02-09 20:45:00,England,Championship,MILTON KEYNES DONS vs MIDDLESBROUGH FC,1-1 (1-0),Asian handicap,MIDDLESBROUGH FC -1.00,2.79,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-09 16:16:02
2016-02-09 20:45:00,England,League Two,HARTLEPOOL UNITED vs STEVENAGE FC,1-2 (0-1),Over / Under,Over +2.75,2.28,,100,64.00,Half win,Rufus Rasco,Football,2016-02-09 16:08:02
2016-02-09 19:00:00,Austria,ÖFB Stiegl Cup,FK AUSTRIA VIENNA vs LASK LINZ,1-0 (1-0),Asian Handicap 1st Half,FK AUSTRIA VIENNA -0.75 Half time,2.75,,100,87.50,Half win,Rufus Rasco,Football,2016-02-09 16:13:02
2016-02-08 20:30:00,Italy,Serie B,TRAPANI CALCIO vs COMO CALCIO,2-2 (0-1),Asian handicap,TRAPANI CALCIO -1.00,2.72,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-08 15:29:02
2016-02-08 20:30:00,France,Ligue 2,AC HAVRE vs DIJON FCO,0-2 (0-0),Match Odds,DIJON FCO,2.83,,100,183.00,Win,Rufus Rasco,Football,2016-02-08 14:13:03
2016-02-08 20:30:00,Spain,Liga BBVA,ESPANYOL BARCELONA vs REAL SOCIEDAD,0-5 (0-2),Match Odds,ESPANYOL BARCELONA,2.62,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-08 14:09:04
2016-02-08 20:00:00,Portugal,Liga Sagres,SPORTING CP vs RIO AVE FC,0-0 (0-0),Asian Handicap 1st Half,SPORTING CP -1.00 Half time,2.53,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-08 14:20:05
2016-02-08 18:30:00,Greece,Super League,PANIONIOS ATHENS vs PANAITOLIKOS,2-0 (0-0),Asian handicap,PANIONIOS ATHENS -0.75,2.63,,100,163.00,Win,Rufus Rasco,Football,2016-02-08 14:16:02
2016-02-06 20:30:00,Belgium,Jupiler Pro League,SV ZULTE WAREGEM vs ROYAL CHARLEROI SC,2-3 (1-1),Over / Under,Over +3.00,2.45,,100,145.00,Win,Rufus Rasco,Football,2016-02-06 13:24:06
2016-02-06 16:00:00,Spain,Liga BBVA,ATLETICO MADRID vs SD EIBAR,3-1 (0-0),Asian handicap,ATLETICO MADRID -1.75,2.65,,100,82.50,Half win,Rufus Rasco,Football,2016-02-06 13:47:05
2016-02-06 16:00:00,England,League One,GILLINGHAM FC vs SWINDON TOWN,0-0 (0-0),Asian handicap,GILLINGHAM FC -1.00,2.54,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-06 13:43:05
2016-02-06 16:00:00,England,Championship,MIDDLESBROUGH FC vs BLACKBURN ROVERS,1-1 (0-0),Asian Handicap 1st Half,MIDDLESBROUGH FC -0.50 Half time,2.40,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-06 13:34:06
2016-02-06 16:00:00,England,Premier League,TOTTENHAM HOTSPUR vs WATFORD FC,1-0 (0-0),Asian handicap,TOTTENHAM HOTSPUR -1.50,2.49,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-06 13:19:04
2016-02-06 15:00:00,Turkey,Turkcell Super Lig,BURSASPOR vs BASAKSEHIR FK,3-3 (1-0),Over / Under,Over +2.50,1.98,,100,98.00,Win,Rufus Rasco,Football,2016-02-06 13:39:07
2016-02-06 15:00:00,Italy,Serie B,CAGLIARI CALCIO vs VIRTUS ENTELLA,1-0 (0-0),Asian handicap,CAGLIARI CALCIO -1.75,3.00,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-06 13:37:05
2016-02-06 07:15:00,Australia,Hyundai A-League,BRISBANE ROAR FC vs CENTRAL COAST MARINERS FC,4-0 (2-0),Asian Handicap 1st Half,BRISBANE ROAR FC -1.00 Half time,3.00,,100,200.00,Win,Rufus Rasco,Football,2016-02-05 16:48:02
2016-02-06 04:00:00,Mexico,"Primera Division, Clausura",JAGUARES DE CHIAPAS vs UANL TIGRES,1-3 (1-1),Asian handicap,UANL TIGRES +1.00,2.67,,100,167.00,Win,Rufus Rasco,Football,2016-02-05 16:53:02
2016-02-05 20:30:00,Italy,Serie B,FC BARI 1908 vs FC CROTONE,2-3 (0-1),Match Odds,FC CROTONE,3.05,,100,205.00,Win,Rufus Rasco,Football,2016-02-05 15:54:05
2016-02-05 20:30:00,Germany,Bundesliga,MONCHENGLADBACH vs WERDER BREMEN,5-1 (2-0),Asian handicap,MONCHENGLADBACH -1.00,2.38,,100,138.00,Win,Rufus Rasco,Football,2016-02-05 15:43:02
2016-02-05 20:00:00,Netherlands,Jupiler League,ALMERE CITY FC vs RKC WAALWIJK,3-1 (1-0),Over / Under,Over +4.00,3.52,,100,0.00,Void,Rufus Rasco,Football,2016-02-05 16:07:06
2016-02-05 20:00:00,Netherlands,Jupiler League,HELMOND SPORT vs FC EMMEN,3-2 (1-1),Over / Under,Over +3.50,2.55,,100,155.00,Win,Rufus Rasco,Football,2016-02-05 16:00:02
2016-02-05 18:30:00,Saudi Arabia,Saudi Professional League,AL AHLI JEDDAH vs AL KHALEEJ,1-1 (1-1),Asian Handicap 1st Half,AL AHLI JEDDAH -1.00 Half time,2.38,,100,-100.00,Lost,Rufus Rasco,Football,2016-02-05 16:40:02
2016-02-05 01:00:00,Bolivia,"Liga Profesional Boliviano, Clausura",UNIVERSITARIO DE SUCRE vs CLUB PETROLERO,1-1 (1-0),Asian Handicap 1st Half,UNIVERSITARIO DE SUCRE -1.00 Half time,3.00,,100,0.00,Void,Rufus Rasco,Football,2016-02-04 16:56:03
2016-02-05 00:00:00,Paraguay,Primera Division,CERRO PORTENO vs GENERAL CABALLERO,3-0 (1-0),Over / Under,Over +3.50,2.50,Bwin,100,-100.00,Lost,Rufus Rasco,Football,2016-02-04 17:02:03
2016-02-04 23:30:00,Copa Libertadores,Copa Libertadores,INDEPENDIENTE DEL VALLE vs CLUB GUARANI,1-0 (1-0),Asian handicap,INDEPENDIENTE DEL VALLE -1.00,2.39,,100,0.00,Void,Rufus Rasco,Football,2016-02-04 14:16:02
