Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-02-13 20:45:00,Italy,Serie A,JUVENTUS TURIN vs SSC NAPOLI,1-0 (0-0),Lay Match Odds,Lay JUVENTUS TURIN,2.28,,78,-99.84,Lost,Silvio Bonatti,Football,2016-02-13 18:33:06
2016-02-13 20:30:00,Spain,Liga BBVA,VALENCIA CF vs ESPANYOL BARCELONA,2-1 (0-0),Over / Under 1st Half Team,VALENCIA CF Over +0.50,1.86,,100,-100.00,Lost,Silvio Bonatti,Football,2016-02-13 02:53:01
2016-02-13 18:30:00,Germany,Bundesliga,1 FC COLOGNE vs EINTRACHT FRANKFURT,3-1 (1-1),Asian handicap,1 FC COLOGNE -0.50,1.72,,100,72.00,Win,Silvio Bonatti,Football,2016-02-13 18:16:02
2016-02-13 18:30:00,England,Premier League,CHELSEA FC vs NEWCASTLE UNITED,5-1 (3-0),Match Odds,CHELSEA FC,1.40,,100,40.00,Win,Silvio Bonatti,Football,2016-02-13 17:51:06
2016-02-13 16:00:00,England,Premier League,EVERTON FC vs WEST BROMWICH ALBION,0-1 (0-1),Asian handicap,EVERTON FC -1.25,2.17,,100,-100.00,Lost,Silvio Bonatti,Football,2016-02-13 03:55:05
2016-02-13 15:30:00,Germany,Bundesliga,VFL WOLFSBURG vs FC INGOLSTADT,2-0 (2-0),Match Odds,VFL WOLFSBURG,1.82,,100,82.00,Win,Silvio Bonatti,Football,2016-02-13 15:15:02
2016-02-11 20:45:00,Italy,Serie A,LAZIO ROMA vs HELLAS VERONA,5-2 (1-0),Over / Under,Over +2.50,1.90,,100,90.00,Win,Silvio Bonatti,Football,2016-02-11 20:23:06
2016-02-11 20:30:00,Spain,Copa del Rey,CELTA DE VIGO vs SEVILLA FC,2-2 (1-0),Over / Under,Over +3.00,2.14,,100,114.00,Win,Silvio Bonatti,Football,2016-02-11 17:59:02
2016-02-07 20:45:00,Italy,Serie A,AS ROMA vs SAMPDORIA GENOA,2-1 (1-0),Match Odds,AS ROMA,1.53,,100,53.00,Win,Silvio Bonatti,Football,2016-02-07 19:13:01
2016-02-07 14:30:00,England,Premier League,BOURNEMOUTH AFC vs ARSENAL FC,0-2 (0-2),Asian handicap,ARSENAL FC -0.50,1.94,,100,94.00,Win,Silvio Bonatti,Football,2016-02-07 13:45:03
2016-02-07 12:30:00,Italy,Serie A,HELLAS VERONA vs INTER MILAN,3-3 (2-1),Asian handicap,INTER MILAN -0.75,2.25,,100,-100.00,Lost,Silvio Bonatti,Football,2016-02-07 01:57:04
2016-02-06 20:00:00,Belgium,EXQI League,RFC SERAING vs FC DESSEL SPORT,1-2 (0-0),Match Odds,RFC SERAING,1.85,,100,-100.00,Lost,Silvio Bonatti,Football,2016-02-06 19:37:02
2016-02-06 20:00:00,France,Ligue 1,SC BASTIA vs TROYES AC,2-0 (1-0),Asian handicap,TROYES AC +0.50,2.16,,80,-80.00,Lost,Silvio Bonatti,Football,2016-02-06 19:35:02
2016-02-06 20:00:00,France,Ligue 1,GAZELEC AJACCIO vs EA GUINGAMP,0-0 (0-0),Asian handicap,EA GUINGAMP +0.50,1.51,,100,51.00,Win,Silvio Bonatti,Football,2016-02-06 19:33:02
2016-02-06 19:45:00,Netherlands,Eredivisie,SC HEERENVEEN vs FC TWENTE ENSCHEDE,1-3 (1-1),Asian handicap,FC TWENTE ENSCHEDE +0.25,2.32,,100,132.00,Win,Silvio Bonatti,Football,2016-02-06 19:31:02
2016-02-06 16:00:00,England,Premier League,NEWCASTLE UNITED vs WEST BROMWICH ALBION,1-0 (1-0),Asian handicap,NEWCASTLE UNITED -0.50,2.20,,100,120.00,Win,Silvio Bonatti,Football,2016-02-06 15:02:02
2016-02-06 16:00:00,England,Premier League,SWANSEA CITY vs CRYSTAL PALACE,1-1 (1-0),Asian handicap,SWANSEA CITY -0.50,2.17,,100,-100.00,Lost,Silvio Bonatti,Football,2016-02-06 14:58:02
2016-02-06 15:30:00,Germany,Bundesliga,HANNOVER 96 vs 1 FSV MAINZ 05,0-1 (0-1),Asian handicap,HANNOVER 96 +0,2.07,,80,-80.00,Lost,Silvio Bonatti,Football,2016-02-06 15:25:02
2016-02-06 15:30:00,Germany,Bundesliga,EINTRACHT FRANKFURT vs VFB STUTTGART,2-4 (0-2),Asian Handicap 1st Half,VFB STUTTGART +0 Half time,1.92,,100,92.00,Win,Silvio Bonatti,Football,2016-02-06 14:46:03
2016-02-05 20:30:00,Germany,Bundesliga,MONCHENGLADBACH vs WERDER BREMEN,5-1 (2-0),Asian handicap,MONCHENGLADBACH -0.75,1.90,,100,90.00,Win,Silvio Bonatti,Football,2016-02-05 19:46:03
2016-02-05 20:00:00,France,Ligue 2,FC SOCHAUX vs RED STAR FC,1-2 (1-0),Asian handicap,FC SOCHAUX +0,1.58,,100,-100.00,Lost,Silvio Bonatti,Football,2016-02-05 19:41:01
2016-02-03 20:45:00,Italy,Serie A,FC EMPOLI vs UDINESE CALCIO,1-1 (0-1),Asian handicap,UDINESE CALCIO +0.50,1.85,,100,85.00,Win,Silvio Bonatti,Football,2016-02-03 20:10:03
2016-02-03 20:45:00,Italy,Serie A,HELLAS VERONA vs ATALANTA BERGAMASCA,2-1 (1-1),Asian handicap,HELLAS VERONA -0.75,3.00,,100,100.00,Half win,Silvio Bonatti,Football,2016-02-03 03:20:03
2016-02-02 21:00:00,England,Premier League,WEST BROMWICH ALBION vs SWANSEA CITY,1-1 (0-0),Lay Match Odds,Lay WEST BROMWICH ALBION,2.74,,58,58.00,Win,Silvio Bonatti,Football,2016-02-02 19:37:02
2016-02-02 20:45:00,Italy,Serie A,US SASSUOLO vs AS ROMA,0-2 (0-1),Asian handicap,AS ROMA +0,1.83,,100,83.00,Win,Silvio Bonatti,Football,2016-02-02 19:39:03
2016-01-31 20:45:00,Italy,Serie A,AC MILAN vs INTER MILAN,3-0 (1-0),Over / Under,Over +2.25,2.14,,100,114.00,Win,Silvio Bonatti,Football,2016-01-31 19:22:03
2016-01-31 16:00:00,Spain,Liga BBVA,VALENCIA CF vs SPORTING GIJON,0-1 (0-0),Asian handicap,VALENCIA CF -1.00,2.33,,100,-100.00,Lost,Silvio Bonatti,Football,2016-01-31 15:06:04
2016-01-31 15:00:00,Italy,Serie A,TURIN FC vs HELLAS VERONA,0-0 (0-0),Asian handicap,HELLAS VERONA +0,5.25,,100,0.00,Void,Silvio Bonatti,Football,2016-01-31 04:02:02
2016-01-30 20:00:00,France,Ligue 1,SC BASTIA vs OLYMPIQUE LYON,1-0 (0-0),Asian handicap,OLYMPIQUE LYON -0.50,1.76,,100,-100.00,Lost,Silvio Bonatti,Football,2016-01-30 17:43:02
2016-01-29 20:30:00,France,Ligue 1,OLYMPIQUE MARSEILLE vs LILLE OSC,1-1 (0-0),Match Odds 1st Half,OLYMPIQUE MARSEILLE Half time,2.67,,100,-100.00,Lost,Silvio Bonatti,Football,2016-01-29 18:46:04
2016-01-26 21:00:00,Italy,Coppa Italia,ALESSANDRIA CALCIO vs AC MILAN,0-1 (0-1),Asian handicap,AC MILAN -1.00,2.01,,100,0.00,Void,Silvio Bonatti,Football,2016-01-26 20:21:02
2016-01-26 20:45:00,Netherlands,Eredivisie,AJAX AMSTERDAM vs HERACLES ALMELO,0-0 (0-0),Asian handicap,AJAX AMSTERDAM -1.00,1.44,,100,-100.00,Lost,Silvio Bonatti,Football,2016-01-26 19:46:02
2016-01-24 21:00:00,France,Ligue 1,OLYMPIQUE LYON vs OLYMPIQUE MARSEILLE,1-1 (0-0),Asian handicap,OLYMPIQUE LYON -0.50,2.16,,100,-100.00,Lost,Silvio Bonatti,Football,2016-01-24 19:57:09
