Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-08 20:45:00,Italy,Serie A,TURIN FC vs SSC NAPOLI,1-2 (0-2),Asian handicap,TURIN FC +1.25,1.98,,100,49.00,Half win,Simeone Tassini,Football,2016-05-08 14:16:01
2016-05-07 15:00:00,Italy,Serie B,AS LIVORNO vs PERUGIA,1-1 (1-0),Asian handicap,AS LIVORNO -1.00,2.10,,100,-100.00,Lost,Simeone Tassini,Football,2016-05-07 11:34:03
2016-04-28 21:05:00,European cups,UEFA Europa League,VILLARREAL CF vs LIVERPOOL FC,1-0 (0-0),Asian handicap,VILLARREAL CF +0,1.93,,100,93.00,Win,Simeone Tassini,Football,2016-04-28 16:03:03
2016-04-26 20:45:00,European cups,UEFA Champions League,MANCHESTER CITY vs REAL MADRID,0-0 (0-0),Asian handicap,REAL MADRID +0,1.78,,100,0.00,Void,Simeone Tassini,Football,2016-04-26 14:43:02
2016-04-23 15:00:00,Italy,Serie B,PESCARA CALCIO vs BRESCIA CALCIO,2-1 (0-1),Match Odds,PESCARA CALCIO,1.75,,100,75.00,Win,Simeone Tassini,Football,2016-04-23 11:58:11
2016-04-20 20:45:00,Italy,Serie A,US PALERMO vs ATALANTA BERGAMASCA,2-2 (1-1),Match Odds,US PALERMO,2.50,,100,-100.00,Lost,Simeone Tassini,Football,2016-04-20 17:54:02
2016-04-17 20:45:00,Italy,Serie A,SAMPDORIA GENOA vs AC MILAN,0-1 (0-0),Asian handicap,SAMPDORIA GENOA +0.25,1.88,,100,-100.00,Lost,Simeone Tassini,Football,2016-04-16 18:33:03
2016-04-17 15:00:00,Italy,Serie A,UDINESE CALCIO vs AC CHIEVO VERONA,0-0 (0-0),Match Odds,UDINESE CALCIO,1.97,,100,-100.00,Lost,Simeone Tassini,Football,2016-04-16 18:32:03
2016-04-17 15:00:00,Italy,Serie A,AC FIORENTINA vs US SASSUOLO,3-1 (1-0),Asian handicap,ACF FIORENTINA -0.50,1.90,,100,90.00,Win,Simeone Tassini,Football,2016-04-16 18:28:17
2016-04-17 12:30:00,Italy,Serie A,ATALANTA BERGAMASCA vs AS ROMA,3-3 (2-2),Asian handicap,ATALANTA BERGAMASCA +0.50,2.19,,100,119.00,Win,Simeone Tassini,Football,2016-04-16 18:28:02
2016-04-09 20:45:00,Italy,Serie A,AC MILAN vs JUVENTUS TURIN,1-2 (1-1),Match Odds,JUVENTUS TURIN,2.16,,100,116.00,Win,Simeone Tassini,Football,2016-04-09 13:57:09
2016-04-09 15:00:00,Italy,Serie B,SPEZIA CALCIO vs NOVARA CALCIO,1-0 (1-0),Asian handicap,NOVARA CALCIO +0.25,1.97,,100,-100.00,Lost,Simeone Tassini,Football,2016-04-09 13:59:02
2016-04-09 15:00:00,Italy,Serie B,AC CESENA vs VICENZA CALCIO,1-1 (0-1),Match Odds,AC CESENA,1.95,,100,-100.00,Lost,Simeone Tassini,Football,2016-04-09 13:58:03
2016-04-03 15:00:00,Italy,Serie A,ATALANTA BERGAMASCA vs AC MILAN,2-1 (1-1),Asian handicap,ATALANTA BERGAMASCA +0.25,2.08,,100,108.00,Win,Simeone Tassini,Football,2016-04-03 13:39:04
2016-04-03 15:00:00,Italy,Serie A,AC FIORENTINA vs SAMPDORIA GENOA,1-1 (1-1),Asian handicap,ACF FIORENTINA -1.00,2.08,,100,-100.00,Lost,Simeone Tassini,Football,2016-04-03 13:38:02
2016-03-31 22:00:00,Brazil,Paulista Serie A1,SAO BERNARDO SP vs MOGI MIRIM SP,1-1 (1-1),Asian handicap,SAO BERNARDO SP -0.75,1.84,,100,-100.00,Lost,Simeone Tassini,Football,2016-03-31 20:12:01
2016-03-30 20:30:00,European cups,UEFA Champions League Women,ACF BRESCIA vs VFL WOLFSBURG,0-3 (0-2),Asian handicap,VFL WOLFSBURG -2.50,2.17,,100,117.00,Win,Simeone Tassini,Football,2016-03-30 16:05:01
2016-03-26 15:00:00,Italy,Serie B,TERNANA CALCIO vs PESCARA CALCIO,1-0 (0-0),Asian handicap,TERNANA CALCIO -0.25,2.14,,100,114.00,Win,Simeone Tassini,Football,2016-03-26 13:46:02
2016-03-26 15:00:00,Italy,Serie B,AS LIVORNO vs PRO VERCELLI,0-1 (0-0),Match Odds,AS LIVORNO,1.84,,100,-100.00,Lost,Simeone Tassini,Football,2016-03-26 13:45:02
2016-03-20 20:45:00,Italy,Serie A,AC MILAN vs LAZIO ROMA,1-1 (1-1),Asian handicap,LAZIO ROMA +0.50,1.90,,100,90.00,Win,Simeone Tassini,Football,2016-03-20 13:24:03
