Date,Category,League,Event,Event result,Type of bet,Selection,Odds,Bookmaker,Stake (in units),Profit,Result,Tipster,Sport,Publication date
2016-05-18 02:45:00,Copa Libertadores,Copa Libertadores,INDEPENDIENTE DEL VALLE vs UNAM PUMAS,2-1 (1-0),Asian handicap,UNAM PUMAS +0.50,1.76,,100,-100.00,Lost,Socceroo,Football,2016-05-17 08:49:03
2016-05-17 19:00:00,Denmark,Superliga,AGF AARHUS vs AALBORG BK,2-0 (0-0),Asian handicap,AALBORG BK +0,1.72,,100,-100.00,Lost,Socceroo,Football,2016-05-16 22:18:02
2016-05-17 16:30:00,Belarus,Vysshaya League,FC GRANIT MIKASHEVICHI vs SLUTSKSAKHAR SLUTSK,2-1 (1-0),Match Odds,FC GRANIT MIKASHEVICHI,1.98,,100,98.00,Win,Socceroo,Football,2016-05-17 09:15:02
2016-05-16 21:15:00,Iceland,"Iceland,Pepsideild",FH HAFNARFJORDUR vs FJOLNIR REYKJAVIK,2-0 (1-0),Asian handicap,FH HAFNARFJORDUR -1.00,1.88,,100,88.00,Win,Socceroo,Football,2016-05-16 15:20:07
2016-05-16 18:00:00,Norway,OBOS-ligaen,KRISTIANSUND BK vs HODD,2-0 (0-0),Match Odds,KRISTIANSUND BK,1.83,,80,66.40,Win,Socceroo,Football,2016-05-16 16:25:04
2016-05-15 15:30:00,Germany,2. Bundesliga,FSV FRANKFURT vs 1860 MUNICH,2-1 (0-0),Asian handicap,1860 MUNICH +0,2.82,,100,-100.00,Lost,Socceroo,Football,2016-05-12 20:46:02
2016-05-15 15:30:00,Germany,2. Bundesliga,FC UNION BERLIN vs SC FREIBURG,2-1 (0-0),Over / Under,Over +3.00,1.94,,100,0.00,Void,Socceroo,Football,2016-05-12 14:16:02
2016-05-15 13:40:00,Germany,Regionalliga Northeast,BERLINER AK 07 vs ZFC MEUSELWITZ,3-1 (1-1),Asian handicap,BERLINER AK 07 -2.50,2.21,,100,-100.00,Lost,Socceroo,Football,2016-05-15 10:35:02
2016-05-14 21:00:00,Brazil,Brasilero Serie B,SAMPAIO CORREA MA vs VASCO DA GAMA RJ,0-4 (0-2),Asian handicap,VASCO DA GAMA RJ +0,1.79,,100,79.00,Win,Socceroo,Football,2016-05-13 13:33:02
2016-05-14 14:00:00,Germany,Regionalliga Southwest,SPVGG ELVERSBERG 07 vs SV WALDHOF MANNHEIM,3-1 (1-0),Over / Under,Under +2.50,2.15,,100,-100.00,Lost,Socceroo,Football,2016-05-13 18:25:02
